
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nou
interfacelogistics_weathermap                   Temperatură

interfaceplanning_wall							Pereți
interfaceplanning_object						Obiecte
interfaceplanning_route							Poteci
interfaceplanning_clear							Șterge
interfaceplanning_zone1							Zona 1
interfaceplanning_zone2							Zona 2
interfaceplanning_zone3							Zona 3
interfaceplanning_zone4							Zona 4
interfaceplanning_zone5							Zona 5
interfaceplanning_zone6							Zona 6
interfaceplanning_zone7							Zona 7
interfaceplanning_zone8							Zona 8
interfaceplanning_zone9							Zona 9

interfacecontraband_source                      Pericole
interfacecontraband_day                         -24 De Ore
interfacecontraband_week                        -7 Zile
interfacecontraband_alltime                     -30 De Zile
interfacecontraband_stolenfrom					Furat de la
interfacecontraband_informants                  Informatori
interfacecontraband_gangs                       Găști

interfacecallout_fireengine                     Camion de pompieri
interfacecallout_riotpolice                     Jandarmerie
interfacecallout_armedpolice                    Poliţişti înarmaţi
interfacecallout_paramedics                     Paramedici
interfacecallout_soldiers                       Soldaţi

interfaceclone_copy                             Copiază
interfaceclone_paste                            Lipește
interfaceclone_cancel                           Anulează construirea rapidă
interfaceclone_clone                            Clonă

interfacetopbar_todo							De Făcut
interfacetopbar_balance							Bancă *B
interfacetopbar_budget							Flux De Numerar *C
interfacetopbar_income							Venit *I
interfacetopbar_expenses						Cheltuieli *C
interfacetopbar_day								ZI *D

interfacetopbar_title_balance					Sold
interfacetopbar_title_budget					Flux Zilnic De Numerar
interfacetopbar_title_cctv						CCTV
interfacetopbar_title_day						Zi
interfacetopbar_title_prisoners					Deţinuţi
interfacetopbar_title_guards					Paznici
interfacetopbar_title_tension                   Pericol
interfacetopbar_title_weathericon               Condiții meteo

interfacetopbar_tooltip_balance					Ce fonduri ai în bancă.\n\nDă Click pentru a crește fondurile prin intermediul listei de Subvenții.
interfacetopbar_tooltip_budget					Suma de bani pe care o vei primi zilnic, după ce cheltuielile sunt scăzute din venit.\n\nDă click pentru a accesa un desfășurător detaliat al finanțelor.
interfacetopbar_tooltip_cctv					Numărul de camere CCTV și monitoare pe care le ai.
interfacetopbar_tooltip_day						De cât timp conduci închisoarea.
interfacetopbar_tooltip_prisoners				Numărul de deţinuţi pe care îi ai și numărul maxim de deţinuţi pe care îi poți ține în închisoarea asta.
interfacetopbar_tooltip_guards					Numărul de paznici pe care îi ai disponibili în închisoarea ta.
interfacetopbar_tooltip_tension                 Nivelul de risc total al închisori, conform șefului securității.
interfacetopbar_tooltip_weathericon             Temperatură și condiții meteo actuale

interfacetopbar_tooltip_recenttransactions      Tranzacții Recente

interfacetopbar_tooltip_gametime                Timp Jucat În Total : *X ore, *Y minute, *Z secunde

interfacetopbar_tooltip_totalguards             *X Paznici În Total
interfacetopbar_tooltip_guardincapacitated      *X Indisponibili
interfacetopbar_tooltip_guardstationed          *X Staționați
interfacetopbar_tooltip_guardpatrolling         *X În Patrulă
interfacetopbar_tooltip_guardavailable          *X Disponibili
interfacetopbar_tooltip_guardresting            *X Se Odihnesc
interfacetopbar_tooltip_guardonbreak            *X în pauză
interfacetopbar_tooltip_guardwantsabreak        (*X are/au nevoie de pauză)
interfacetopbar_tooltip_guardactive             (*X Răspund La Incidente)
interfacetopbar_tooltip_guarddoingjob           *X Muncesc
interfacetopbar_tooltip_idle                    (*X Nu Fac Nimic)
interfacetopbar_tooltip_guardsstriking          *X ÎN GREVĂ

interfacetopbar_tooltip_regularguards			Există *X gardieni obnișnuiți
interfacetopbar_tooltip_armedguards             Există *X gardieni înarmați
interfacetopbar_tooltip_dogs                    Există *X agenți cu câini
interfacetopbar_tooltip_snipers					Există *X lunetiști

interfacetopbar_unlimitedfunds                  FONDURI NELIMITATE
interfacetopbar_cheatsenabled					CHEAT-URI ACTIVATE

interfacetopbar_budget_moneyin					Bani Primiți: $*M /zi
interfacetopbar_budget_moneyout					Bani Cheltuiți: $*M /zi
interfacetopbar_budget_cantgonegative           Nu poți avea flux negativ de numerar (în alte cuvinte, să ai mai multe cheltuieli decât venit) până când nu angajezi un Contabil să se ocupe de finanțele tale.

interfacetopbar_prisoners_types					Deții *X Deţinuţi:
interfacetopbar_prisoners_capacity              Capacitatea Maximă Sigură: *X
interfacetopbar_prisonercells_shared            Capacitate Comună: *X
interfacetopbar_prisonercells_unlocked          Capacitate Zone Descuiate: *X
interfacetopbar_prisonercells_minseconly        Capacitate Minimă: *X
interfacetopbar_prisonercells_medseconly        Capacitate Medie: *X
interfacetopbar_prisonercells_maxseconly        Capacitate Maximă: *X
interfacetopbar_prisonercells_protectedonly     Capacitate Custodie: *X
interfacetopbar_prisonercells_supermaxonly      Capacitate Super Maximă: *X
interfacetopbar_prisonercells_deathrowonly      Capacitate Condamnați La Moarte: *X
interfacetopbar_prisonercells_staffonly         Indisponibil: *X
interfacetopbar_prisoners_nocells               *X Deţinuţi nu pot fi desemnați unei celule
interfacetopbar_prisonercells_parents           Capacitate părinte: *X

interfacetopbar_cctv_current					Funcționează *C camere
interfacetopbar_cctv_cap						Ai loc pentru *C camere

interfacetopbar_tension_currentlevel            Nivelul de pericol e *X
interfacetopbar_tension_currentlevellow         Redus
interfacetopbar_tension_currentlevelmedium      Mediu
interfacetopbar_tension_currentlevelhigh        Ridicat
interfacetopbar_tension_increasing              și e în creștere
interfacetopbar_tension_decreasing              și e în scădere
interfacetopbar_tension_description             FACTORI:
interfacetopbar_tension_happyprisoners          - *X deţinuţi zic că sunt bine tratați
interfacetopbar_tension_unhappyprisoners        + *X deţinuţi au plângeri serioase
interfacetopbar_tension_lockedupprisoners       + *X deţinuţi sunt încătușați în celulele lor sau în carceră
interfacetopbar_tension_riotingprisoners        + *X deţinuţi se revoltă
interfacetopbar_tension_wellfedprisoners        - *X deţinuţi sunt bine hrăniți
interfacetopbar_tension_suppressedprisoners     = *X deţinuţi sunt docili (ascultători)
interfacetopbar_tension_activeriotguards        + *X jandarmi sunt la fața locului
interfacetopbar_tension_activearmedguards       + *X paznici înarmați sunt angajați
interfacetopbar_tension_recentdeaths            + *X oameni au fost uciși recent
interfacetopbar_tension_recentsearches          + *X deţinuţi au fost percheziționați recent, fără să fie necesar
interfacetopbar_tension_angrygangmembers        + *X MEMBRI AI UNOR GĂȘTI SUNT NERVOȘI (liderul este pedepsit)
interfacetopbar_tension_recentpunishments       = (MIJLOC DE INTIMIDARE) *X pedepse au fost decise recent
interfacetopbar_tension_recentcalmed            - *X deţinuţi au fost calmați recent
interfacetopbar_tension_staffmorale_low			+ Moralul personalului este scăzut
interfacetopbar_tension_staffmorale_high		- Moralul personalului este ridicat
interfacetopbar_tension_staffonstrike           + Personalul tău este în grevă
interfacetopbar_tension_dangerzone				+ ZONĂ PERICULOASĂ!

interfacetopbar_staffmorale_title				MORAL PERSONAL
interfacetopbar_staffmorale_happystaff			+ *X angajați sunt mulțumiți de locul de muncă
interfacetopbar_staffmorale_unhappystaff		- *X angajați au nemulțumiri grave
interfacetopbar_staffmorale_injuredstaff		- *X angajați sunt răniți
interfacetopbar_staffmorale_staffdeaths			- *X angajați au decedat în timpul serviciului
interfacetopbar_staffmorale_staffpayverygood	+ Personalul este incredibil de bine plătit
interfacetopbar_staffmorale_staffpaygood		+ Personalul este bine plătit
interfacetopbar_staffmorale_staffpaybad 		- Personalul nu este plătit suficient

interfacecontrol_mainmenu                       Meniu Principal (Esc)
interfacecontrol_mainmenu_tooltip               Accesează meniul principal (Nou/Încarcă/Salvează/Ieși etc)
interfacecontrol_todo                           Listă De Treburi
interfacecontrol_todo_tooltip                   Accesează lista de treburi
interfacecontrol_research                       Birocrație
interfacecontrol_research_tooltip               Deschide ecranul de Birocrație, în care poți desemna administraori să deblocheze obiecte noi, tipuri de personal și facilități.
interfacecontrol_grading                        Evaluare
interfacecontrol_grading_tooltip                Deschide ecranul de Evaluare, în care poți vedea o notă reprezentativă a succesului tău.

interface_confirmlandbuy                        Ești sigur că dorești să cumperi acest pământ cu $*X?
interface_loadconfirm                           Ești sigur că dorești să încarci această hartă? Tot progresul nesalvat este pierdut.
interface_saveconfirm                           Ești sigur că dorești să salvezi progresul sub acest nume? Datele deja existente vor fi suprascrise.

interface_landbuylabel                          *Xm x *Ym. Zonă de *A metri pătrați în total. *C

interface_action_dismantle                      Demontează
interface_action_dump                           Aruncă
interface_action_repair                         Repară
interface_action_medicalbay                     Aripă Medicală
interface_action_search                         Percheziționează
interface_action_searchcell                     Percheziționează Celula
interface_action_searchcellblock                Percheziționează Blocul
interface_action_searchtoilets                  Căutare toalete
interface_action_sack                           Revocă
interface_action_dooropen                       Deschide uşa
interface_action_doormodenormal                 Mod Ușă: Normal
interface_action_doormodelockedshut             Lacăt închis
interface_action_doormodelockedopen             Lacăt deschis
interface_action_switchon                       Activează
interface_action_switchoff                      Dezactivează
interface_action_sellobject                     Vinde Obiect
interface_action_dismiss                        Concedia
interface_action_connect                        Conectează
interface_action_clearconnections               Șterge Conexiuni
interface_action_servoopen                      Deschide Cu Mechanism De Declanșare
interface_action_servoclose                     Închide Cu Mechanism De Declanșare
interface_action_follow                         Urmăreşte
interface_action_rapsheet                       Afişează cazierul

interface_contents_container                    Conținut : *X
interface_contents_stack                        Conținut : *X x *Y

interface_skip                                  SĂRI

interface_error_riotmove                        Nu Poți Intra: Revoltă

interface_foundationsinprogress                 Fundații în desfășurare
riot_underway                                   REVOLTĂ ÎN DESFĂȘURARE
riot_status_prisoners                           *X deţinuţi se revoltă
shakedown_underway                              PERCHEZIȚIE GENERALĂ ÎN DESFĂȘURARE
shakedown_found                                 Găsit:

gameover_caption                                Apasă ESC să Continui

sector_jobs_max                                 Sarcini Maxime *X
sector_jobs_qualified                           Deţinuţi Calificați: *X
sector_jobs_required                            (Necesari: *X)
sector_noaccess                                 FĂRĂ ACCES
sector_insecure                                 NESIGURĂ


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Test De Compatibilitate Hardware
hardware_compat_message					Am dori să adunăm următoarele informații legate de hardware, cu permisiunea dumneavoastră.\n\nAceastă informație este complet anonimă și ne va ajuta să asigurăm că Prison Architect este funcțional pe cât mai multe computere posibil.\n\nVă mulțumim!
hardware_compat_accept					Accept
hardware_compat_decline					Refuz

connectionmenu_connect                  Conectează
connectionmenu_disconnect               Deconectează
connectionmenu_clear                    Șterge
connectionmenu_done                     Terminat


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Construiește
buildtoolbar_reports                    Rapoarte
buildtoolbar_bangup                     Închidere
buildtoolbar_lockdown                   Închidere Generală
buildtoolbar_shakedown                  Percheziție Generală
buildtoolbar_weaponsfree                Permite Forță Letală

buildtoolbar_tooltip_reports			Deschide fereastra de rapoarte pentru a vedea informații despre deţinuţi, personal, venit, subvenții și altele.
buildtoolbar_tooltip_bangup				Trimite toți deţinuţi (dispuși) înapoi în celule. Asta îi va enerva foarte tare pe deţinuţi, dacă rămân închiși pentru prea mult timp.
buildtoolbar_tooltip_lockdown			Închide instant toate ușile din închisoare.
buildtoolbar_tooltip_shakedown          Ordonă o percheziție imediată a tuturor celulelor. Asta o să dureze o vreme și îi va enerva în draci pe deținuți.
buildtoolbar_tooltip_weaponsfree        Autorizează paznicii tăi armaţi să folosească forţa letală. Lunetiştii nu vor mai trage focuri de avertisment înainte să doboare o ţintă.
buildtoolbar_tooltip_nostrike           Nu este disponibil în timpul grevelor personalului.

buildtoolbar_cost						Preț: $*C
buildtoolbar_cost_sqrft					Preț: $*C /m²
buildtoolbar_wages						Salarii : $*W pe zi
buildtoolbar_upkeep						Cheltuieli de întreținere: *W $ pe zi
buildtoolbar_outdoor					Doar Exterior
buildtoolbar_indoor						Doar Interior
buildtoolbar_walk_speed					Viteză De Deplasare : *S
buildtoolbar_walk_speed_slow			Încet
buildtoolbar_walk_speed_norm			Normal
buildtoolbar_walk_speed_fast			Rapid
buildtoolbar_locked                     BLOCAT
buildtoolbar_locked_research			BLOCAT (Ai nevoie de *B)
buildtoolbar_locked_administrator		BLOCAT (*B este necesar)
buildtoolbar_room						Cameră

buildtoolbar_electrical                 - Electric
buildtoolbar_highpower                  - Necesitate Electrică Ridicată
buildtoolbar_water                      - Necesită Conducte De Apă
buildtoolbar_wired                      - Cablat (conectat cu alte obiecte Cablate)- Cablat (conectat cu alte obiecte Cablate)
buildtoolbar_modcontent                 - Conținut Moduri

buildtoolbar_popup_foundations			Construiește/Demolează construcții să stabilești forma închisorii tale.
buildtoolbar_popup_construction			Tipuri diferite de podele și pereți.
buildtoolbar_popup_planning				Planifică închisoarea ta, fără să îți faci griji că muncitorii tăi nu vor face nimic.
buildtoolbar_popup_designation			Desemnează zonele închisorii cu funcții specifice.
buildtoolbar_popup_objects				Pune obiecte utile în jurul închisorii.
buildtoolbar_popup_overlays				Identifică vizual slăbiciunile închisorii tale.
buildtoolbar_popup_utilities			Sisteme de instalații sanitare și electrice.
buildtoolbar_popup_staff				Angajează personalul necesar pentru a întreține închisoarea.
buildtoolbar_popup_deployment			Desemnează personalul în zone ale închisorii.
buildtoolbar_popup_logistics            Desemnează deţinuţi să muncească în închisoare. Aici ai și control manual asupra sarcinilor cantinei și spălătoriei.
buildtoolbar_popup_research				Deblochează posibilități noi pentru închisoarea ta.
buildtoolbar_popup_emergencies			Cheamă servicii de urgență dacă situația scapă de sub control.
buildtoolbar_popup_clone				Copiază și lipește construcții existente.
buildtoolbar_popup_properties			Află diferite căcaturi.
buildtoolbar_popup_contraband           Arată sursele contrabandei și toată marfa confiscată recent din închisoarea ta. De asemenea poți vedea Informatorii Confidențiali și informațiile lor.
buildtoolbar_popup_grading              Vezi nota închisorii tale în următoarele domenii – Pedeapsă, Reformă, Securitate și Sănătate. Poți vedea și rata de recidivă a închisorii tale.
buildtoolbar_popup_prefabs              Copiază şi inserează părţile existente ale închisorii sau amplasează camere predefinite.
buildtoolbar_popup_room_cell			Unde locuiesc deţinuţii.
buildtoolbar_popup_room_holdingcell		O cameră în care sunt puși deţinuţii noi, până le este găsită o celulă.
buildtoolbar_popup_room_solitary		O formă izolată de deținere pentru cei mai răi dintre cei mai răi.
buildtoolbar_popup_room_dormitory       O cameră de dimensiuni variabile, care poate găzdui mai mulţi deţinuţi. Cu cât camera este mai mare, cu atât poate găzdui mai mulţi deţinuţi.
buildtoolbar_popup_room_familycell      Locul unde sunt cazaţi deţinuţii dacă au copii.
buildtoolbar_popup_room_sharedcell      O celulă comună, cu locuri pentru mai mulţi deţinuţi. Poate găzdui până la 8 deţinuţi.
buildtoolbar_popup_room_canteen			Aici vor lua deţinuţii ceaiul de după-amiază.
buildtoolbar_popup_room_kitchen			Zona în care bucătarii prepară mâncare pentru deţinuţi.
buildtoolbar_popup_room_shower			Folosită să îți mențină deţinuţii curați și fără păduchi.
buildtoolbar_popup_room_yard			Lasă-ți deţinuţii să vadă soarele pentru câteva ore pe zi, sub vegherea lunetiștilor tăi.
buildtoolbar_popup_room_storage			Zonă pregătită să dețină materiale de care are nevoie personalul tău.
buildtoolbar_popup_room_deliveries		Unde sunt lăsate bunuri, materiale și deţinuţi.
buildtoolbar_popup_room_garbage			De unde sunt colectate deșeurile.
buildtoolbar_popup_room_execution		Unde trimiți deţinuţii să moară.
buildtoolbar_popup_room_workshop		Unde trimiți deţinuţii să moară de plictiseală, cât timp îți fac plăcuțe de înmatriculare auto.
buildtoolbar_popup_room_security		Birouri pentru Ofițerii tăi.
buildtoolbar_popup_room_office			O zonă în care să lucreze personalul administrativ.
buildtoolbar_popup_room_medicalward		Zonă în care să lucreze personalul medical.
buildtoolbar_popup_room_morgue			Unde trimiți deţinuţii și angajații morți.
buildtoolbar_popup_room_commonroom		Le permite deţinuţilor să se relaxeze pentru o vreme.
buildtoolbar_popup_room_kennel          Unde locuiesc câini tăi.
buildtoolbar_popup_room_chapel          Ce se întâmplă când un comitet birocratic se strânge să găsească o soluție pentru nevoile religioase ale deținuților? O 'cameră de rugăciune pentru credințe multiple' se întâmplă. Noi îi spunem Capelă.
buildtoolbar_popup_room_paroleroom      Deţinuţi tăi vor fi eligibili pentru eliberare condiționată după ce vor servi 50%-70% din sentința lor. Soarta lor va fi decisă în această cameră, cu Directorul de Închisoare și cu Șeful Securității.\n\nNb Este recomandată securitate în plus. Deţinuţii devin foarte supărați uneori, când eliberarea condiționată le este refuzată.
buildtoolbar_popup_room_library         Cutii pline cu cărți folosite sau aruncate, din toată țara, vor fi trimise închisorii tale. Va fi necesar ca deţinuţii să ordoneze aceste cărți în rafturi.
buildtoolbar_popup_room_intake          Primul loc în care sunt duși deţinuţii, după ce ajung.
buildtoolbar_popup_room_nursery         Cameră de activităţi pentru deţinuţi cu copii.
buildtoolbar_popup_room_shop            Magazinele le oferă deținuților tăi posibilitatea de a-și cheltui banii câștigați cu greu, pentru a-și satisface nevoia de produse de lux. Poate contribui, de asemenea, la igienă, alimentație și divertisment. Vei primi bani pentru fiecare vânzare plus un comision zilnic pentru totalul mărfurilor vândute.

buildtoolbar_popup_obj_bed				Nu prea moale, nu prea tare, perfect. Eh..defapt, foarte tare și prea mic.
buildtoolbar_popup_obj_toilet			Un drept fundamental al omului, asta daca îi crezi pe toți demenții ăia.
buildtoolbar_popup_obj_table			Merge la fix cu un scaun.
buildtoolbar_popup_obj_chair			Merge genial cu o masă.
buildtoolbar_popup_obj_bench			Pentru stat pe ea.
buildtoolbar_popup_obj_electricchair	Pentru a livra 2000V de justiție.
buildtoolbar_popup_obj_jaildoor			Ține deţinuţii acolo unde le este locul.
buildtoolbar_popup_obj_jaildoorlarge	Ține mulți deţinuţi acolo unde le este locul.
buildtoolbar_popup_obj_door				O ușă simplă.
buildtoolbar_popup_obj_solitarydoor		O ușă solidă care împiedică evadarea, până și a celor mai forțoși deţinuţi.
buildtoolbar_popup_obj_staffdoor		O ușă încuiată care poate fi deschisă de orice angajat al închisorii, nu doar de paznici.
buildtoolbar_popup_obj_window			Să vezi puțin soare prin ea.
buildtoolbar_popup_obj_windowlarge		Să vezi mult soare prin ea.
buildtoolbar_popup_obj_tree				Să luăm măsuri împotriva încălzirii globale este reponsabilitatea fiecăruia dintre noi.
buildtoolbar_popup_obj_light			Asigură-te că îți poți vedea deţinuţii în orice moment al zilei.
buildtoolbar_popup_obj_cooker			Oferă-le deţinuţilor o viață luxoasă printr-o masă caldă.
buildtoolbar_popup_obj_fridge			Nu lăsa proviziile alimentare să putrezească.
buildtoolbar_popup_obj_bin				Când vine vorba de contrabandă, curățenia este foarte importantă.
buildtoolbar_popup_obj_sink				Toţi angajaţii trebuie să se spele pe mâini. Vor termina mai repede dacă se spală cu apă caldă.
buildtoolbar_popup_obj_servingtable		Pune mâncare în farfurie pentru deţinuţi.
buildtoolbar_popup_obj_officedesk		Personalul tău trebuie să scrie mult și des. Oferă-le un birou strălucitor pe care să facă asta.
buildtoolbar_popup_obj_filingcabinet	Personalul tău trebuie să ordoneze frumos lucrurile pe care le scriu.
buildtoolbar_popup_obj_morgueslab		Asigură un loc respectuos pe care se pot odihni morții înainte să îi muți.
buildtoolbar_popup_obj_drain			Scapă de apa de pe podea.
buildtoolbar_popup_obj_sprinkler	In caz incendiu, stropește zona automat.
buildtoolbar_popup_obj_metaldetector	Găsește marfă de contrabandă pe deţinuţii care trec prin astea. Va fi necesar un paznic în apropiere să confiște contrabanda.
buildtoolbar_popup_obj_weightsbench		Permite deţinuţilor să facă exerciți fizice, ceea ce îi face fericiți.
buildtoolbar_popup_obj_tv				Calmează deținuții scufundându-i într-o mediocritate care să îi amorțească. Este nevoie de un loc unde deținuții să poată sta în fața televizorului.
buildtoolbar_popup_obj_largetv			Lasă-ți deținuții să se bucure de un aflux de informații inutile. Este nevoie de un loc unde deținuții să poată sta în fața televizorului.
buildtoolbar_popup_obj_pooltable		Scapă de monotonia vieții în închisoare, cu ajutorul unui joc de biliard.
buildtoolbar_popup_obj_dismantleobject	Elimină un obiect din închisoarea ta.
buildtoolbar_popup_obj_altar            Trimite rugăciunile tale, direct la cea mai înaltă putere aleasă.
buildtoolbar_popup_obj_pews             Locuri pentru credincioși. Făcute din cel mai dur și mai necăptușit lemn.
buildtoolbar_popup_obj_prayermat        Protejează-ți deţinuţii de podeaua murdară, cât timp se roagă.
buildtoolbar_popup_obj_guardtower       Un turn de unde lunetiştii (angajaţi separat) pot supraveghea deţinuţii.

buildtoolbar_popup_staff_guard			Folosiți să fie cu ochii pe deţinuţi și să îi țină departe de necazuri.
buildtoolbar_popup_staff_armedguard     Având în veder că e înarmat cu o pușcă, deţinuţii se vor gândi de două ori înainte să îl atace pe individul acesta.\n\nNotiță: Fiecare paznic înarmat are nevoie de propriul dulap în Armurărie.
buildtoolbar_popup_staff_doctor			Vindecă automat toți oamenii răniți din apropiere, indiferent dacă sunt paznici sau deţinuţi.
buildtoolbar_popup_staff_cook			Hrăneste deţinuţii cu mesele preparate de el.
buildtoolbar_popup_staff_gardener		Îți menține terenul curat și îngrijit.
buildtoolbar_popup_staff_janitor		Păstrează curățenia în interiorul închisorii. Poate să și ajute la spălatul rufelor.

buildtoolbar_popup_uts_powerstation		Generează curent electric pentru închisoarea ta.
buildtoolbar_popup_uts_capacitor		Crește cantitatea de electricitate generată, dacă este așezat lângă o Centrală Electrică.
buildtoolbar_popup_uts_electricalcable	Distribuie curent electric prin închisoarea ta.
buildtoolbar_popup_uts_powerswitch		Controlează disponibilitatea electricității în orice cablu conectat la el.\n\nDă click dreapta pentru a activa/dezactiva.
