# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Fullständig ändringslogg
# Materials - Names
# =============================================================================

material_newmud	Lera
material_mud	Lera
material_yutaniwall	Mur (Yutani)










material_solacofloor	Solaco
material_gratefloor	Galler

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Träd (snötäckt barrträd)


object_palmtree	Träd (palm)
object_plant	Växt

object_bush	Buske

object_streetlamp	Gatulykta

object_floodlight	Lykta (strålkastare)








object_bleachers	Läktare
object_smallbench	Bänk (liten)
object_smalltable	Bord (litet)
object_showerpillar	Duschpelare


object_doorMat	Dörrmatta

object_GuardPavilion	Vaktpaviljong
object_GuardPavilionCorner	Vaktpaviljong (hörn)

object_OfficeChair	Stol (kontor)




















object_visitorDoor	Dörr för besökare
object_ironingBoardShort	Strykbräda (liten)
object_fencegatestaff	Stängselgrind (personal)
object_fencegatestandard	Stängselgrind (huvud)
object_fencegatevisitor	Stängselgrind (besökare)












object_walllight	Murstrålkastare
object_securedoor	Dörr (säkerhetsdörr)
object_secretdoor	Dörr (dold)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	Det är lera, och det är gratis!
buildtoolbar_popup_mat_yutaniwall	Bygg murar med ett högteknologiskt utseende på olika underlag för att skapa nya områden och rum. Passar perfekt med lastgolv eller Solaco-golv.

buildtoolbar_popup_mat_newbblockwall	Bygg murar av slaggstensblock på olika underlag för att skapa nya områden och rum.
buildtoolbar_popup_mat_newbarredwall	Bygg avdelningar med gallerförsedda murar på olika underlag för att skapa nya områden och rum.
buildtoolbar_popup_mat_newtiledwall	Bygg tegelstensmurar på olika underlag för att skapa nya områden och rum.
buildtoolbar_popup_mat_newhedgewall	Höga men veka häckar. Mer för den allmänna trivseln än som ett verkligt säkerhetsalternativ.









buildtoolbar_popup_mat_solacofloor	Ge våra fängelsegolv ett högteknologiskt utseende. Passar perfekt med Yutani-väggarna.
buildtoolbar_popup_mat_gratefloor	Ge våra fängelsegolv ett högteknologiskt utseende.
buildtoolbar_popup_mat_newcargofloor	Ge fängelsegolven ett skräddarsytt utseende.
buildtoolbar_popup_mat_newironfloor	Ge fängelsegolven ett skräddarsytt utseende.
buildtoolbar_popup_mat_newcheckeredfloor	De här skulle säkert passa i kök eller matsalar.
buildtoolbar_popup_mat_snow	Som vatten, bara kallare och snyggare.





buildtoolbar_popup_obj_snowyconifertree	Skulle passa bäst på snötäckt mark.


buildtoolbar_popup_obj_palmtree	De växer normalt på land men nu kan du odla dem vart som helst.


buildtoolbar_popup_obj_bush	Dekorera dina utomhusytor.

buildtoolbar_popup_obj_streetlamp	För att lysa upp vägar och gångbanor.

buildtoolbar_popup_obj_floodlight	En hög utomhuslykta som kan belysa större områden, exempelvis fängelsegårdar.








buildtoolbar_popup_obj_bleachers	Klassiska läktare för fängelsegårdar där större grupper av interner kan sitta och överväga sina nästa drag.
buildtoolbar_popup_obj_smallbench	För att sitta på.
buildtoolbar_popup_obj_smalltable	För att äta vid.
buildtoolbar_popup_obj_showerpillar	Placeras i mitten av ett duschrum med ett duschhuvud på vardera sida.


buildtoolbar_popup_obj_doorMat	En billig badrumsmatta i gummi som kan passa bra i dörröppningar.


buildtoolbar_popup_obj_guardPavilion	Placera på gårdar och öppna ytor så att vakter och beväpnade vakter kan bevaka dina interner.\n Tilldela vakter uppgifter via utplaceringsmenyn.\n -Ökar begränsningsnivån i området.\n -Vakterna skyddas från väder och vind.
buildtoolbar_popup_obj_guardPavilionCorner	Placera i gårdshörn och öppna ytor så att vakter och beväpnade vakter kan bevaka dina interner.\n Tilldela vakter uppgifter via utplaceringsmenyn.\n -Ökar begränsningsnivån i området.\n -Vakterna skyddas från väder och vind.

buildtoolbar_popup_obj_officeChair	En stol där personal kan sitta centralt vid ett skrivbord.




















buildtoolbar_popup_obj_visitorDoor	En dörr där besökare till fängelset kan passera utan att en vakt behöver öppna dörren. Vakter och annan personal kan också använda dörren, men inte internerna.
buildtoolbar_popup_obj_ironingBoardShort	En kortare strykbräda.
buildtoolbar_popup_obj_fencegatestaff	En grind som är snygg kombinerad med stängsel och fungerar på samma sätt som en dörr.
buildtoolbar_popup_obj_fencegatestandard	En grind som är snygg kombinerad med stängsel och fungerar på samma sätt som en dörr.
buildtoolbar_popup_obj_fencegatevisitor	En grind som är snygg kombinerad med stängsel och fungerar på samma sätt som en dörr.












buildtoolbar_popup_obj_walllight	En lampa i bunkerstil som kan hängas på murar.
buildtoolbar_popup_obj_securedoor	En dörr gjord för enkelceller med översvämningslucka. Vakterna kan överlämna mat på en bricka genom en öppning i dörren så att de inte behöver gå in i cellen.


interfacedeployment_guards	Tilldela vakter
buildtoolbar_deployment_Guards	Tilldela vakter till ditt fängelses olika sektorer.

interfacedeployment_Dogs	Tilldela hundförare
buildtoolbar_deployment_Dogs	Tilldela hundförare till ditt fängelses olika sektorer.

interfacedeployment_ArmedGuards	Tilldela beväpnade vakter
buildtoolbar_deployment_ArmedGuards	Tilldela beväpnade vakter till ditt fängelses olika sektorer.

interfacedeployment_patrols	Tilldela vakter
buildtoolbar_deployment_Patrols	Tilldela vakter till ditt fängelses patrullrundor.

interfacedeployment_dogpatrols	Tilldela hundförare
buildtoolbar_deployment_DogPatrols	Tilldela hundförare till ditt fängelses patrullrundor.

interfacedeployment_armedpatrols	Tilldela beväpnade vakter
buildtoolbar_deployment_ArmedPatrols	Tilldela beväpnade vakter till ditt fängelses patrullrundor.

buildtoolbar_popup_help_Guards_1	Med vaktverktyget kan du stationera vakter i zonerna. En stationerad vakt rör sig slumpmässigt runt i sin tilldelade zon och utför alla vaktuppgifter inom området, som att öppna dörrar.\n\n
buildtoolbar_popup_help_Guards_2	~Vänsterklicka för att öka antalet hundförare inom ett visst område. Högerklicka för att ta bort en vakt.\n\n
buildtoolbar_popup_help_Guards_3	^Tips
buildtoolbar_popup_help_Guards_4	- Om Mikrohantering är olåst har du tillgång till Schemaläggaren för utplacering. Detta gör det möjligt för sig att skapa ett schema för när vakterna tilldelas vissa områden. om du exempelvis bara ville ha Vakter utplacerade i Matsalen under Ätregimen skulle du kunna klicka på varje block i Schemaläggaren som tidsmässigt överensstämmer med Ätregimen, och sedan flytta tidsreglaget in i det blocket och klicka på din matsal för att tillsätta vakter.
buildtoolbar_popup_help_Guards_5	Du har nio olika tidsblock att planera, förutom standardläget ”Alltid aktiv”, som hjälper dig att skapa komplexa utplaceringsrutiner som matchar ditt fängelses behov.
buildtoolbar_popup_help_Guards_6	- Om du inte väljer ett tidsblock manuellt när du tilldelar uppgifter till hundförare kommer schemaläggaren att använda den aktuella tiden. Se till att rätt tidsperiod har valts när du ändrar en utplacering!

buildtoolbar_popup_help_Dogs_1	Med hundförarverktyget kan du stationera ut hundförare i olika zoner. En utstationerad vakt rör sig slumpmässigt runt i sin tilldelade zon och utför alla vaktuppgifter inom området, som att öppna dörrar.\n\n
buildtoolbar_popup_help_Dogs_2	~Vänsterklicka för att öka antalet hundförare inom ett visst område. Högerklicka för att ta bort en hundförare.\n\n
buildtoolbar_popup_help_Dogs_3	^Tips
buildtoolbar_popup_help_Dogs_4	- Om Mikrohantering är olåst har du tillgång till Schemaläggaren för utplacering. Detta gör det möjligt för sig att skapa ett schema för när Hundförarna tilldelas vissa områden. om du exempelvis bara ville ha Hundförare utplacerade i Matsalen under Ätregimen skulle du kunna klicka på varje block i Schemaläggaren som tidsmässigt överensstämmer med Ätregimen, och sedan flytta tidsreglaget in i det blocket och klicka på din matsal för att tillsätta Hundförare.
buildtoolbar_popup_help_Dogs_5	Du har nio olika tidsblock att planera, förutom standardläget ”Alltid aktiv”, som hjälper dig att skapa komplexa utplaceringsrutiner som matchar ditt fängelses behov.
buildtoolbar_popup_help_Dogs_6	- Om du inte väljer ett tidsblock manuellt när du tilldelar uppgifter till hundförare kommer schemaläggaren att använda den aktuella tiden. Se till att rätt tidsperiod har valts när du ändrar en utplacering!

buildtoolbar_popup_help_ArmedGuards_1	Med vaktverktyget kan du stationera beväpnade vakter i zonerna. En utstationerad vakt rör sig slumpmässigt runt i sin tilldelade zon och utför alla vaktuppgifter inom området, som att öppna dörrar.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Vänsterklicka för att öka antalet hundförare som utplaceras till en viss zon. Högerklicka för att ta bort en vakt.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^Tips
buildtoolbar_popup_help_ArmedGuards_4	- Om Mikrohantering är olåst har du tillgång till Schemaläggaren för utplacering. Detta gör det möjligt för sig att skapa ett schema för när vakterna tilldelas vissa områden. om du exempelvis bara ville ha Beväpnade vakter utplacerade i Matsalen under Ätregimen skulle du kunna klicka på varje block i Schemaläggaren som tidsmässigt överensstämmer med Ätregimen, och sedan flytta tidsreglaget in i det blocket och klicka på din matsal för att tillsätta Beväpnade vakter.
buildtoolbar_popup_help_ArmedGuards_5	Du har nio olika tidsblock att planera, förutom standardläget ”Alltid aktiv”, som hjälper dig att skapa komplexa utplaceringsrutiner som matchar ditt fängelses behov.
buildtoolbar_popup_help_ArmedGuards_6	- Om du inte väljer ett tidsblock manuellt när du tilldelar uppgifter till beväpnade vakter kommer schemaläggaren att använda den aktuella tiden. Se till att rätt tidsperiod har valts när du ändrar en utplacering!

interfacedeployment_PrioritizeArea	Prioritera område (*X)
buildtoolbar_deployment_PrioritizeGuard	Använd det här alternativet för att prioritera tilldelningen av vakter till specifika sektorer i ditt fängelse. Om du har ont om personal kommer vakterna att täcka de prioriterade zonerna först. Det finns två prioriteringsnivåer: "Hög" (>>) och "Mycket hög" (>>>).

interfacedeployment_BluePatrol	Blå patrull
buildtoolbar_deployment_BluePatrol	Färglagda patrullrutter gör det möjligt att överlappa och tilldela dem till olika vakter. Klicka och dra för att skapa en blå patrullrutt. Högerklicka och dra för att ta bort en blå patrullrutt. Använd knappen Tilldela vakter för att lägga till vakter till en patrullrutt.

interfacedeployment_MagentaPatrol	Magentafärgad patrull
buildtoolbar_deployment_MagentaPatrol	Färglagda patrullrutter gör det möjligt att överlappa och tilldela dem till olika vakter. Klicka och dra för att skapa en magentafärgad patrullrutt. Högerklicka och dra för att ta bort en magentafärgad patrullrutt. Använd knappen Tilldela vakter för att lägga till vakter till en patrullrutt.

interfacedeployment_PrioritizePatrol	Prioritera patrull
buildtoolbar_deployment_PrioritizePatrol	Använd det här alternativet för att prioritera tilldelningen av vakter till specifika rutter i ditt fängelse. Om du har ont om personal kommer vakterna att täcka de prioriterade rutterna  först. Det finns två prioriteringsnivåer: "Hög" (>>) och "Mycket hög" (>>>).

buildtoolbar_popup_filter_title	Filtrera lista
buiildtoolbar_popup_filter_toggle	Klicka på knappen för att växla
buildtoolbar_popup_filter_default	Standardinställning
buildtoolbar_popup_filter_az	A-Ö
buildtoolbar_popup_filter_owned	Ägd
buildtoolbar_popup_filter_costhighlow	Kostnad (hög-låg)
buildtoolbar_popup_filter_costlowhigh	Kostnad (låg-hög)
buildtoolbar_popup_filter_indooroutdoor	Inne-ute
buildtoolbar_popup_filter_outdoorindoor	Ute-inne
buildtoolbar_popup_filter_quantity	Ägd mängd
buildtoolbar_popup_filter_byroom	Efter rum






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	DUBBELKLICKA: Flytta objekt

double_click_add_door	Vänsterklicka två gånger för att lägga till dörrar.

codex_option_bureaucracyresearched	Byråkrati undersökt
codex_tooltip_bureaucracyresearched	Starta ett nytt spel efter att det fullständiga Byråkratiträdet har undersökts.

codex_option_jungle	Djungeltomt
codex_tooltip_jungle	Skapa en tomt att bygga på som liknar en tät djungel.

codex_option_snowy	Snötäckt tomt
codex_tooltip_snowy	Skapa en tomt att bygga på som är täckt av snö.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Tvätt

action_Stretching	Träning
action_PlayChess	Spela schack


plant_tree_location	Plantera träd på *X

report_intake_cat_SuperMax	SuperMax

interface_undo	Ångra

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	Kunde inte spara fängelse.
codex_changelog_next	Nästa >
codex_changelog_prev	< Föregående
codex_credits	Krediter

codex_options_screenshotmode	Skärmbildsläge
codex_tooltip_screenshotmode	Håll tangenten [*K] nedtryckt i skärmbildsläget och tryck sedan på [*E] för att stänga av eller sätta på ALLA användargränssnitt och HUD.
codex_sso_content_message	Du har nu slutfört din registrering av ett Paradox-konto.\n\nSom tack har nya vaktpaviljongstorn låsts upp i spelet! Hitta dem i objektsmenyn
codex_options_borderless_windowed	Utan kanter
codex_options_monitor	Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Visningsläge
codex_options_borderless_fullscreen	Helskärm utan kanter
codex_options_display_monitor	Bildskärm
codex_options_windowed_resolution	Fönsterupplösning

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Vägg (art déco)
material_blueWall	Elegant vägg (blårandig)
material_burgundyWall	Elegant vägg (vinröd)
material_greenWall	Elegant vägg (grön)
material_orientalWall	Vägg (orientalisk)
material_cushionedwall	Vägg (vadderad)

material_sandstone	Sandsten
material_limestonefloor	Kalksten
material_blueCarpet	Matta (blå)
material_redCarpet	Matta (röd)
material_brownCarpet	Matta (brun)
material_paddedfloor	Vadderad
material_grassstones	Gräs och sten
material_grasscornerfloor	Gräshörn
material_grasscornerfloor1	Gräshörn
material_grasscornerfloor2	Gräshörn
material_grasscornerfloor3	Gräshörn
material_lunarfloor	Måne

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Träd (kusligt)
object_cactustree	Träd (kaktus)
object_sakuratree	Träd (körsbär)
object_plantcactus	Växt (kaktus)
object_tyrestack	Däckhög
object_lamp	Ljus (lampa)
object_bathroomSink	Handfat
object_bathroomHandDryer	Handtork
object_chestOfDrawers	Byrå
object_woodenStool	Träpall
object_woodenTable	Träbord
object_bucket	Hink
object_shortbookcase	Bokhylla (kort)
object_outdoorTable	Utebord
object_mooseHead	Älghuvud
object_toiletSign	Skylt (toaletter)
object_rightArrowSign	Skylt (högerpil)
object_leftArrowSign	Skylt (vänsterpil)
object_infirmarySign	Skylt (sjukstuga)
object_canteenSign	Skylt (matsal)
object_showerSign	Skylt (dusch)
object_armourySign	Skylt (vapenförråd)
object_jaildoorred	Fängelsedörr (röd)
object_jaildoorgrey	Fängelsedörr (grå)
object_jaildoororange	Fängelsedörr (orange)
object_jaildoorYellow	Fängelsedörr (gul)
object_jaildoorlargered	Stor fängelsedörr (röd)
object_jaildoorlargegrey	Stor fängelsedörr (grå)
object_jaildoorlargeorange	Stor fängelsedörr (orange)
object_jaildoorlargeyellow	Stor fängelsedörr (gul)
object_coatstand	Klädhängare
object_dogbowl	Hundskål
object_footbridge	Gångbro
object_footbridgesteel	Gångbro (stål)
object_footbridgeb	Gångbro B
object_footbridgesteelb	Gångbro B (stål)
object_windowclassy	Elegant fönster
object_windowclassyLarge	Elegant fönster (stort)
object_gravestone	Gravsten
object_psychiatrist	Psykiater
object_orderly	Skötare
object_rorschachTest	Rorschachtest
object_anatomyModel	Anatomimodell
object_flipboard	Anteckningstavla
object_medicineCabinetPsych	Medicinskåp
object_leatherchair	Läderfåtölj
object_leatherSofa	Lädersoffa
object_parkbench	Bänk (park)
object_fencegateguard	Stängselgrind (vakt)
object_oaktable	Bord (ek)
object_oakbench	Bänk (ek)
object_BoomBoxRoundHouse	Stereo

object_classic	Klassisk
object_dalmation	Dalmatin
object_husky	Husky
object_companion	Kompanjon
object_cat	Katt
object_direwoof	Skräckhund

equipment_fountainPen	Reservoarpenna
equipment_goldPocketWatch	Guldfickur
equipment_sedativeShot	Lugnande medel (spruta)
equipment_sedativesyringe	Lugnande (spruta)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Bygg art déco-väggar för att ge fängelset en 20-talsstil.
buildtoolbar_popup_mat_blueWall	Bygg eleganta väggar på fundament för att skapa nya personalrum eller personalområden.
buildtoolbar_popup_mat_burgundywall	Bygg eleganta väggar på fundament för att skapa nya personalrum eller personalområden.
buildtoolbar_popup_mat_greenwall	Bygg eleganta väggar på fundament för att skapa nya personalrum eller personalområden.
buildtoolbar_popup_mat_orientalwall	Bygg orientaliska väggar för att ge delar av fängelset en gammal japansk känsla.
buildtoolbar_popup_mat_cushionedwall	Bygg väggsektioner på fundament för att skapa nya områden eller rum med en prålig läderstil.
buildtoolbar_popup_mat_sandstone	Lägg ner sandstensklossar i utomhusområden.
buildtoolbar_popup_mat_limestonefloor	Golvet är färgat som dov lime.
buildtoolbar_popup_mat_blueCarpet	Lägg ner en mysig matta. Perfekt för personalutrymmen.
buildtoolbar_popup_mat_redCarpet	Lägg ner en mysig matta. Perfekt för personalutrymmen.
buildtoolbar_popup_mat_brownCarpet	Lägg ner en mysig matta. Perfekt för personalutrymmen.
buildtoolbar_popup_mat_paddedfloor	Kompletterar de vadderade väggarna och skapar en helt vadderad cell för psykiskt störda interner.
buildtoolbar_popup_mat_grassstones	Ett gräsområde med flaggstenar.
buildtoolbar_popup_mat_grassscornerfloor	Ett gräshörn med jord. Bra för vinklade gångar.
buildtoolbar_popup_mat_lunarfloor	En hård stenyta med rymdkänsla.
buildtoolbar_popup_obj_spookytree	Ett kusligt gammalt träd.
buildtoolbar_popup_obj_cactustree	Passar bäst på torra land.
buildtoolbar_popup_obj_sakuratree	Ett vackert körsbärsträd med rosa blommor.
buildtoolbar_popup_obj_plant	En fin krukväxt.
buildtoolbar_popup_obj_plantcactus	En kaktus i kruka.
buildtoolbar_popup_obj_tyrestack	Fungerar som en liten vägg som interner och personal går runt.
buildtoolbar_popup_obj_lamp	En stående prydnadslampa, perfekt för kontor och personalområden.
buildtoolbar_popup_obj_bathroomSink	Obligatorisk i alla hygieniska badrum.
buildtoolbar_popup_obj_bathroomHandDryer	Det perfekta komplementet till ett handfat.
buildtoolbar_popup_obj_chestOfDrawers	En byrå i trä.
buildtoolbar_popup_obj_woodenStool	Passar perfekt med ett träbord.
buildtoolbar_popup_obj_woodenTable	Passar perfekt med en trästol.
buildtoolbar_popup_obj_bucket	Bara en hink.
buildtoolbar_popup_obj_shortbookcase	En mindre hylla för böcker.
buildtoolbar_popup_obj_outdoorTable	När internerna ska sätta sig ner och äta utomhus.
buildtoolbar_popup_obj_mooseHead	Ett vackert, handbearbetat älghuvud på en platta.
buildtoolbar_popup_obj_toiletSign	En väggskylt med en toalettsymbol.
buildtoolbar_popup_obj_rightArrowSign	En väggskylt med en pil som pekar åt höger.
buildtoolbar_popup_obj_leftArrowSign	En väggskylt med en pil som pekar åt vänster.
buildtoolbar_popup_obj_infirmarySign	En väggskylt med en sjukstugesymbol.
buildtoolbar_popup_obj_canteenSign	En väggskylt med en matsalssymbol.
buildtoolbar_popup_obj_showerSign	En väggskylt med en duschsymbol.
buildtoolbar_popup_obj_armourySign	En väggskylt med en vapenförrådssymbol.
buildtoolbar_popup_obj_jaildoorred	En färgad fängelsedörr för högsäkerhetsavdelningen.
buildtoolbar_popup_obj_jaildoorgrey	En färgad fängelsedörr för lågsäkerhetsavdelningen.
buildtoolbar_popup_obj_jaildoororange	En färgad fängelsedörr för medelsäkerhetsavdelningen.
buildtoolbar_popup_obj_jaildooryellow	En färgad fängelsedörr för skyddshäktesavdelningen.
buildtoolbar_popup_obj_jaildoorlargered	En stor, färgad fängelsedörr för högsäkerhetsavdelningen.
buildtoolbar_popup_obj_jaildoorlargegrey	En stor, färgad fängelsedörr för lågsäkerhetsavdelningen.
buildtoolbar_popup_obj_jaildoorlargeorange	En stor, färgad fängelsedörr för medelsäkerhetsavdelningen.
buildtoolbar_popup_obj_jaildoorlargeYellow	En stor, färgad fängelsedörr för skyddshäktesavdelningen.
buildtoolbar_popup_obj_coatstand	En plats där personalens jackor och mössor kan ta en paus.
buildtoolbar_popup_obj_dogbowl	För vatten och mat till trötta vakthundar.\nÖkar en hunds uthållighet lite grann.
buildtoolbar_popup_obj_secretdoor	En lönndörr förklädd till bokhylla. Glider upp så personal kan komma in.
buildtoolbar_popup_obj_parkbench	En parkbänk att ställa utomhus.
buildtoolbar_popup_obj_fencegateguard	En grind som passar bra med stängsel. Kan bara öppnas av vakter.
buildtoolbar_popup_obj_oaktable	Att äta vid.
buildtoolbar_popup_obj_oakbench	Att sitta på. Passar bra ihop med ekbordet.

buildtoolbar_popup_obj_classic	En klassisk vakthund. Gammal men erfaren.
buildtoolbar_popup_obj_dalmation	En bondhund som gått upp sig i världen.
buildtoolbar_popup_obj_husky	En dödlig fälla för den som försöker rymma i snön.
buildtoolbar_popup_obj_companion	Vaktens bästa vän.
buildtoolbar_popup_obj_cat	Alla gillar inte hundar.
buildtoolbar_popup_obj_direwoof	Rymningen är över innan den ens börjat.

buildtoolbar_popup_filter_mostused	Mest använt
buildtoolbar_caters_safety	Lämpad för säkerhetsbehovet.

interfacedeployment_orderly	Placera skötare
buildtoolbar_deployment_orderly	Placera ut skötare i sektorerna i fängelset.

interfacedeployment_orderlypatrols	Placera skötare
buildtoolbar_deployment_orderlypatrols	Placera ut skötare på patrullrutterna i fängelset.

room_PaddedCell	Vadderad cell
room_PaddedHoldingCell	Vadderad häktescell
room_PsychiatristOffice	Psykiaterkontor

interfaceplanning_BuildPlan	Bygg ritning
interfaceplanning_ClearPlan	Rensa ritning
interfaceplanning_Door	Dörrar

buildtoolbar_improvement	- Höjer betyget på en *R
buildtoolbar_improvement_windows	(när den är vänd utåt)

buildplan_title	Välj väggtyp
buildplan_message	Är du beredd att bygga din ritning?\n	Du kan inte ångra det här.\n\n	Alla väggar som byggs kommer att vara av samma typ.\n	Du kan välja väggtyp nedan.
clearplan_title	Rensa ritning
clearplan_message	Vill du verkligen rensa alla ritningar?\n \n	Du kan inte ångra det här.

d11_custom_planning	Fri planering

buildtoolbar_popup_planning	Planera ditt fängelse utan att vara rädd för att dina arbetare faktiskt gör någonting innan du är klar. I planeringsmenyn kan du välja att bygga alla planerade byggnader och dörrar, ta bort delar av ritningarna eller rensa hela ritningen och börja om.

buildtoolbar_popup_help_planningDoor_1	Den dörrtyp du väljer kommer användas när du placerar ut nya dörrar i ritningen.
buildtoolbar_popup_help_quickBuildWall_1	Den väggtyp du väljer kommer användas i nästa snabbygge.


buildtoolbar_popup_mat_blueclassywall	Bygg eleganta väggar på fundament för att skapa nya personalrum eller personalområden.
buildtoolbar_popup_mat_burgundyclassywall	Bygg eleganta väggar på fundament för att skapa nya personalrum eller personalområden.
buildtoolbar_popup_mat_greenclassywall	Bygg eleganta väggar på fundament för att skapa nya personalrum eller personalområden.

buildtoolbar_popup_obj_windowclassy	Gör att utsidan ser bättre ut än den egentligen är.
buildtoolbar_popup_obj_windowclassyLarge	Gör att utsidan ser bättre ut än den egentligen är.
buildtoolbar_popup_obj_gravestone	Du får en gravsten för varje dödsfall i fängelset.

buildtoolbar_popup_staff_psychiatrist	En anställd som hjälper psykiskt störda interner.\nNär fängelset har ett psykvårdsprogram kommer psykiater regelbundet att träffa de störda internerna för hålla dem lugna. \nOm vi har många interner som behöver psykisk vård borde vi anställa flera psykiater för att hjälpa alla. De måste ha varsitt kontor också.

buildtoolbar_popup_staff_orderly	Vårdpersonal, specialtränad för att ta hand om psykiskt störda brottslingar.
buildtoolbar_popup_obj_leatherchair	Matchar lädersoffan. Perfekt för personal och definitivt för fin för internerna.

buildtoolbar_popup_obj_rorschachTest	Rorschachtestet är det allra senaste inom rättspsykiatrisk vård och kommer förbättra psykiaters behandling av psykiskt störda interner.
buildtoolbar_popup_obj_anatomyModel	Anatomimodellen är av högsta relevans inom rättspsykiatrisk vård och kommer förbättra psykiaters behandling av psykiskt störda interner.
buildtoolbar_popup_obj_flipboard	Anteckningstavlan med en bild av hjärnan ger klarhet inom rättspsykiatrisk vård och kommer förbättra psykiaters behandling av psykiskt störda interner.
buildtoolbar_popup_obj_medicineCabinetPsych	Medicinskåpet innehåller alla lösningar inom rättspsykiatrisk vård och kommer förbättra psykiaters behandling av psykiskt störda interner.
buildtoolbar_popup_obj_leatherchair	Matchar lädersoffan. Perfekt för personal och definitivt för fin för internerna.
buildtoolbar_popup_obj_leatherSofa	Lädersoffan ökar bekvämligheten inom rättspsykiatrisk vård och kommer förbättra psykiaters behandling av psykiskt störda interner.

buildtoolbar_deployment_insaneseczone	Endast interner i behov av rättspsykiatrisk vård är tillåtna i denna sektor.

failuremessage_maximumcountreachedgeneric	Högsta antal placerade

