
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Новая игра
interfacemode_utilities	Инженерные сети
interfacemode_staff	Персонал
interfacemode_deployment	Расстановка
interfacemode_logistics	Логистика
interfacemode_prisoners	Заключенные
interfacemode_needs	Нужды
interfacemode_threats	Угрозы
interfacemode_overlays	Слои
interfacemode_research	Бюрократия
interfacemode_emergencies	Экстренные службы
interfacemode_clone	Клонирование
interfacemode_contraband	Разведка
interfacemode_grading	Оценка
interfacemode_spawn	(Место появления)
interfacemode_properties	(Свойства)
interfacemode_cutscenes	(Кат-сцены)
interfacemode_selection	Выбрать
interfacemode_prefabs	Быстрое строительство

interfaceoverlay_security	Охрана
interfaceoverlay_patrols	Патрули
interfaceoverlay_decay	Грязь
interfaceoverlay_territory	Территория
interfaceoverlay_contraband	Контрабанда

interfaceproperty_indoor	Внутренние помещения
interfaceproperty_visible	Видимость
interfaceproperty_territoryprisoner	Банды
interfaceproperty_territoryguard	Охранники
interfaceproperty_sectorprisoner	Бунт
interfaceproperty_tunnel	Туннель

interfacedeployment_guards	Охранники
interfacedeployment_patrols	Патруль охраны
interfacedeployment_dogpatrols	Патруль с собаками
interfacedeployment_armedpatrols	Вооруженный патруль
interfacedeployment_removeguards	Убрать охранников
interfacedeployment_clearpatrols	Очистить патрули
interfacedeployment_targetting	Логистика
interfacedeployment_targettingfood	Логистика - Питание
interfacedeployment_targettinglaundry	Логистика - Прачечная
interfacedeployment_securearea	ОхраняемаяТерритория
interfacedeployment_sharedzone	Зона общего пользования
interfacedeployment_staffonlyzone	Зона для персонала
interfacedeployment_maxseczone	Зона строгого режима
interfacedeployment_medseczone	Зона среднего режима
interfacedeployment_minseczone	Зона общего режима
interfacedeployment_protectedzone	Зона защитной изоляции
interfacedeployment_supermaxzone	Зона сверхстрогого режима
interfacedeployment_deathrowzone	Зона для смертников
interfacedeployment_unlockedzone	Незапертая зона
interfacedeployment_zonered	Красное крыло
interfacedeployment_zonegreen	Зеленное крыло
interfacedeployment_zoneblue	Синее крыло
interfacedeployment_zoneyellow	Желтое крыло
interfacedeployment_zoning	Зонирование
interfacedeployment_accessonly	Ограниченный проход
interfacedeployment_prisonerdirection	Направление для заключенных
interfacedeployment_staffdirection	Другое направление

interfacelogistics_jobs	Трудоустройство заключенных
interfacelogistics_removejobs	Отменить назначение на работу
interfacelogistics_targettingfood	Распределение - Питание
interfacelogistics_targettinglaundry	Распределение - Прачечная
interfacelogistics_roomquality	Оценка качества камер
interfacelogistics_weathermap	Температура

interfaceplanning_wall	Стены
interfaceplanning_object	Объекты
interfaceplanning_route	Дорожки
interfaceplanning_clear	Очистить
interfaceplanning_zone1	Зона 1
interfaceplanning_zone2	Зона 2
interfaceplanning_zone3	Зона 3
interfaceplanning_zone4	Зона 4
interfaceplanning_zone5	Зона 5
interfaceplanning_zone6	Зона 6
interfaceplanning_zone7	Зона 7
interfaceplanning_zone8	Зона 8
interfaceplanning_zone9	Зона 9

interfacecontraband_source	Зоны риска
interfacecontraband_day	-24 часа
interfacecontraband_week	-7 дней
interfacecontraband_alltime	-30 дней
interfacecontraband_stolenfrom	Где украдено
interfacecontraband_informants	Информаторы
interfacecontraband_gangs	Банды

interfacecallout_fireengine	Пожарная машина
interfacecallout_riotpolice	Отряд полиции особого назначения
interfacecallout_armedpolice	Вооруженная полиция
interfacecallout_paramedics	Парамедики
interfacecallout_soldiers	Солдаты

interfaceclone_copy	Скопировать
interfaceclone_paste	Вставить
interfaceclone_cancel	Отменить быстрое строительство
interfaceclone_clone	Клонировать

interfacetopbar_todo	Список дел
interfacetopbar_balance	Банк *B
interfacetopbar_budget	Прибыль *C
interfacetopbar_income	Доходы *I
interfacetopbar_expenses	Расходы *C
interfacetopbar_day	ДЕНЬ *D

interfacetopbar_title_balance	Состояние банковского счета
interfacetopbar_title_budget	Ежедневная прибыль
interfacetopbar_title_cctv	Видеонаблюдение
interfacetopbar_title_day	День
interfacetopbar_title_prisoners	Заключенные
interfacetopbar_title_guards	Охранники
interfacetopbar_title_tension	Опасность
interfacetopbar_title_weathericon	Погода

interfacetopbar_tooltip_balance	Состояние банковского счета.\n\nНажмите, чтобы получить деньги через список Грантов.
interfacetopbar_tooltip_budget	Ежедневная прибыль исходя из текущих расходов и доходов.\n\nНажмите, чтобы получить подробную информацию о финансах.
interfacetopbar_tooltip_cctv	Количество установленных видеокамер и пультов наблюдения.
interfacetopbar_tooltip_day	Общий срок управления этой тюрьмой.
interfacetopbar_tooltip_prisoners	Текущее и максимальное количество заключенных в этой тюрьме.
interfacetopbar_tooltip_guards	Доступное количество охранников в этой тюрьме.
interfacetopbar_tooltip_tension	Общий уровень опасности в тюрьме по данным начальника охраны.
interfacetopbar_tooltip_weathericon	Погода и температура в настоящее время.

interfacetopbar_tooltip_recenttransactions	Недавние сделки

interfacetopbar_tooltip_gametime	Игровое время: *X часов, *Y минут, *Z секунд

interfacetopbar_tooltip_totalguards	Всего охранников: *X чел.
interfacetopbar_tooltip_guardincapacitated	Нетрудоспособных: *X чел.
interfacetopbar_tooltip_guardstationed	На посту: *X чел.
interfacetopbar_tooltip_guardpatrolling	В патруле: *X чел.
interfacetopbar_tooltip_guardavailable	Доступно: *X чел.
interfacetopbar_tooltip_guardresting	Отдыхают: *X чел.
interfacetopbar_tooltip_guardonbreak	*X на перерыве
interfacetopbar_tooltip_guardwantsabreak	(*X нужен перерыв)
interfacetopbar_tooltip_guardactive	(Урегулируют ситуацию: *X чел.)
interfacetopbar_tooltip_guarddoingjob	(Работают: *X чел.)
interfacetopbar_tooltip_idle	(Без дела: *X чел.)
interfacetopbar_tooltip_guardsstriking	*X СОТРУДН. БАСТУЕТ

interfacetopbar_tooltip_regularguards	Обычных охранников: *X чел.
interfacetopbar_tooltip_armedguards	Вооруженных охранников: *X чел.
interfacetopbar_tooltip_dogs	Кинологов: *X чел.
interfacetopbar_tooltip_snipers	Снайперов: *X чел.

interfacetopbar_unlimitedfunds	НЕОГРАНИЧЕННЫЕ СРЕДСТВА
interfacetopbar_cheatsenabled	РАЗРЕШИТЬ ЧИТ-КОДЫ

interfacetopbar_budget_moneyin	Доходы: *M$ в день
interfacetopbar_budget_moneyout	Расходы: *M$ в день
interfacetopbar_budget_cantgonegative	Прибыль не может быть отрицательной (т.е. нельзя иметь больше расходов, чем доходов), пока вы не наняли Бухгалтера для управления финансами.

interfacetopbar_prisoners_types	Количество Заключенных в настоящий момент: *X чел.
interfacetopbar_prisoners_capacity	Рекомендуемая вместимость зоны строгого режима: *X чел.
interfacetopbar_prisonercells_shared	Вместимость общих камер: *X чел.
interfacetopbar_prisonercells_unlocked	Вместимость незапертой зоны: *X чел.
interfacetopbar_prisonercells_minseconly	Вместимость зоны общего режима: *X чел.
interfacetopbar_prisonercells_medseconly	Вместимость зоны среднего режима: *X чел.
interfacetopbar_prisonercells_maxseconly	Вместимость зоны строгого режима: *X чел.
interfacetopbar_prisonercells_protectedonly	Вместимость зоны защитной изоляции: *X чел.
interfacetopbar_prisonercells_supermaxonly	Вместимость зоны сверхстрогого режима: *X чел.
interfacetopbar_prisonercells_deathrowonly	Вместимость зоны для смертников: *X чел.
interfacetopbar_prisonercells_staffonly	Недоступно: *X чел.
interfacetopbar_prisoners_nocells	Не хватает камер для *X Заключенных
interfacetopbar_prisonercells_parents	Количество мест для родителей: *X

interfacetopbar_cctv_current	Работающих камер наблюдения: *C
interfacetopbar_cctv_cap	Можно установить *C камер наблюдения

interfacetopbar_tension_currentlevel	Уровень опасности *X
interfacetopbar_tension_currentlevellow	Низкий
interfacetopbar_tension_currentlevelmedium	Средний
interfacetopbar_tension_currentlevelhigh	Высокий
interfacetopbar_tension_increasing	и растет
interfacetopbar_tension_decreasing	и уменьшается
interfacetopbar_tension_description	ФАКТОРЫ:
interfacetopbar_tension_happyprisoners	- довольных заключенных: *X чел.
interfacetopbar_tension_unhappyprisoners	+ заключенных с жалобами: *X чел.
interfacetopbar_tension_lockedupprisoners	+ заключенных заперто в камере/карцере: *X чел.
interfacetopbar_tension_riotingprisoners	+ бунтующих заключенных: *X чел.
interfacetopbar_tension_wellfedprisoners	- сытых заключенных: *X чел.
interfacetopbar_tension_suppressedprisoners	= послушных (подавленных) заключенных: *X чел.
interfacetopbar_tension_activeriotguards	+ омоновцев на территории: *X чел.
interfacetopbar_tension_activearmedguards	+ вооруженных охранников на службе: *X чел.
interfacetopbar_tension_recentdeaths	+ убито за последнее время: *X чел.
interfacetopbar_tension_recentsearches	+ проведен обыск без оснований у: *X чел.
interfacetopbar_tension_angrygangmembers	+ ЧЛЕНОВ БАНДЫ В ЯРОСТИ (лидер наказан): *X чел.
interfacetopbar_tension_recentpunishments	= наказано последнее время (УСТРАШЕНИЕ): *X чел.
interfacetopbar_tension_recentcalmed	- недавно усмиренных заключенных: *X чел.
interfacetopbar_tension_staffmorale_low	+ Моральный дух сотрудников низок
interfacetopbar_tension_staffmorale_high	- Моральный дух сотрудников высок'
interfacetopbar_tension_staffonstrike	+ Ваши сотрудники бастуют
interfacetopbar_tension_dangerzone	+ ОПАСНАЯ ЗОНА!

interfacetopbar_staffmorale_title	МОРАЛЬНЫЙ ДУХ СОТРУДНИКОВ
interfacetopbar_staffmorale_happystaff	+ *X сотрудн. довольны своей работой
interfacetopbar_staffmorale_unhappystaff	- У *X сотрудн. имеются серьезные жалобы
interfacetopbar_staffmorale_injuredstaff	- *X сотрудн. получило травмы
interfacetopbar_staffmorale_staffdeaths	- *X сотрудн. погибло при исполнении обязанностей
interfacetopbar_staffmorale_staffpayverygood	+ Работа сотрудников оплачивается невероятно хорошо
interfacetopbar_staffmorale_staffpaygood	+ Работа сотрудников оплачивается хорошо
interfacetopbar_staffmorale_staffpaybad	- Работа сотрудников оплачивается недостаточно хорошо

interfacecontrol_mainmenu	Главное меню (Esc)
interfacecontrol_mainmenu_tooltip	Перейти в главное меню (Новая игра/Загрузить/Сохранить/Выйти и пр.)
interfacecontrol_todo	Список дел
interfacecontrol_todo_tooltip	Открыть/скрыть список дел
interfacecontrol_research	Бюрократия
interfacecontrol_research_tooltip	Открывает экран Бюрократия, где можно разблокировать новые элементы, сотрудников и объекты.
interfacecontrol_grading	Оценка тюрьмы
interfacecontrol_grading_tooltip	Открывает экран Оценка тюрьмы с информацией о том, насколько вы успешны в роли управляющего тюрьмой.

interface_confirmlandbuy	Уверены, что хотите купить этот участок земли за *X$?
interface_loadconfirm	Уверены, что хотите загрузить эту карту? Все несохраненные данные будут потеряны.
interface_saveconfirm	Уверены, что хотите сохранить файл с таким же именем? Существующие данные будут перезаписаны.

interface_landbuylabel	*X м x *Y м. Общая площадь *A кв. м. *C

interface_action_dismantle	Демонтировать
interface_action_dump	Выбросить
interface_action_repair	Починить
interface_action_medicalbay	Медпункт
interface_action_search	Обыскать
interface_action_searchcell	Обыскать Камеру
interface_action_searchcellblock	Обыскать Блок
interface_action_searchtoilets	Поиск туалетов
interface_action_sack	Уволить
interface_action_dooropen	Открыть дверь
interface_action_doormodenormal	Режим двери: Обычный
interface_action_doormodelockedshut	Заперто
interface_action_doormodelockedopen	Открыто
interface_action_switchon	Включить
interface_action_switchoff	Выключить
interface_action_sellobject	Продать объект
interface_action_dismiss	Распустить
interface_action_connect	Соединить
interface_action_clearconnections	Отменить Соединения
interface_action_servoopen	Привод двери: ВКЛ
interface_action_servoclose	Привод двери: ВЫКЛ
interface_action_follow	Следовать
interface_action_rapsheet	Показать нарушения

interface_contents_container	Содержимое: *X
interface_contents_stack	Содержимое: *X x *Y

interface_skip	ПРОПУСТИТЬ

interface_error_riotmove	Вход невозможен: Бунт

interface_foundationsinprogress	Идет процесс строительства
riot_underway	ИДЕТ БУНТ
riot_status_prisoners	Бунтующих заключенных: *X чел.
shakedown_underway	ИДЕТ ОБЫСК
shakedown_found	Найдено:

gameover_caption	Нажмите ESC для продолжения

sector_jobs_max	Рабочих мест: *X
sector_jobs_qualified	Квалифицированных Заключенных: *X чел.
sector_jobs_required	(Необходимо: *X чел.)
sector_noaccess	НЕТ ДОСТУПА
sector_insecure	НЕБЕЗОПАСНЫЙ


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title	Проверка совместимости с компьютером
hardware_compat_message	С вашего позволения мы соберем данные о технических характеристиках вашего компьютера.\n\nЭта информация поможет обеспечить совместимость игры Prison Architect с компьютерами любой конфигурации. Конфиденциальность гарантируется.\n\nСпасибо!
hardware_compat_accept	Принять
hardware_compat_decline	Отклонить

connectionmenu_connect	Соединить
connectionmenu_disconnect	Отключить
connectionmenu_clear	Очистить
connectionmenu_done	Завершено


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title	Построить
buildtoolbar_reports	Отчеты
buildtoolbar_bangup	В камеры
buildtoolbar_lockdown	Блокировка дверей
buildtoolbar_shakedown	Обыск
buildtoolbar_weaponsfree	Огонь на поражение

buildtoolbar_tooltip_reports	Открывает окно с отчетами для просмотра информации о заключенных, персонале, доходах, грантах и прочем.
buildtoolbar_tooltip_bangup	Отправляет всех (согласных) заключенных по камерам. Помните, что они сильно разозлятся, если продержать их там слишком долго.
buildtoolbar_tooltip_lockdown	Немедленно запирает все двери в тюрьме.
buildtoolbar_tooltip_shakedown	Внеплановый обыск всех Камер. Может занять продолжительное время и привести к недовольству среди заключенных.
buildtoolbar_tooltip_weaponsfree	Разрешает охранникам применять огнестрельное оружие. Снайперы больше не будут делать предупредительные выстрелы перед выстрелом на поражение.
buildtoolbar_tooltip_nostrike	Не доступно во время забастовок сотрудников.

buildtoolbar_cost	Цена: *C$
buildtoolbar_cost_sqrft	Цена: *C$ за кв. м.
buildtoolbar_wages	Зарплата: *W$ в день
buildtoolbar_upkeep	Содержание: $*W в сутки
buildtoolbar_outdoor	Только снаружи
buildtoolbar_indoor	Только в помещении
buildtoolbar_walk_speed	Скорость перемещения: *S
buildtoolbar_walk_speed_slow	Медленная
buildtoolbar_walk_speed_norm	Обычная
buildtoolbar_walk_speed_fast	Быстрая
buildtoolbar_locked	ЗАКРЫТО
buildtoolbar_locked_research	ЗАКРЫТО (вам требуется *B)
buildtoolbar_locked_administrator	ЗАКРЫТО (требуется *B)
buildtoolbar_room	Комната

buildtoolbar_electrical	- Питание от электросети
buildtoolbar_highpower	- Высокое потребление энергии
buildtoolbar_water	- Требуется Водоснабжение
buildtoolbar_wired	- Соединение с другими устройствами через провода
buildtoolbar_modcontent	- Мод-контент

buildtoolbar_popup_foundations	Стройте и сносите здания, чтобы создать уникальную тюрьму.
buildtoolbar_popup_construction	Различные типы пола и стен.
buildtoolbar_popup_planning	Планировка тюрьмы возможна до начала строительства.
buildtoolbar_popup_designation	Вы решаете, какую функцию выполняет та или иная зона.
buildtoolbar_popup_objects	Размещайте полезные объекты на территории тюрьме.
buildtoolbar_popup_overlays	Слабые места в планировке тюрьмы заметны визуально.
buildtoolbar_popup_utilities	Водопровод и электроснабжение.
buildtoolbar_popup_staff	Нанимайте персонал для поддержания тюрьмы в рабочем состоянии.
buildtoolbar_popup_deployment	Назначайте сотрудников в выбранные зоны тюрьмы.
buildtoolbar_popup_logistics	Устраивайте заключенных на работы в тюрьме. Управляйте столовой и прачечной.
buildtoolbar_popup_research	Откройте новые возможности для вашей тюрьмы.
buildtoolbar_popup_emergencies	Вызывайте экстренные службы, если ситуация выходит из-под контроля.
buildtoolbar_popup_clone	Копируйте и вставляйте готовые участки.
buildtoolbar_popup_properties	Что-то не догоняешь? Здесь подробнее.
buildtoolbar_popup_contraband	Показывает источники контрабанды, а также все запрещенные предметы, недавно обнаруженные на территории тюрьмы.
buildtoolbar_popup_grading	Узнать оценку тюрьмы по 4 главным параметрам — Наказание, Реформа, Безопасность и Здоровье. Также прогнозирует уровень рецидивной преступности для ваших заключенных.
buildtoolbar_popup_prefabs	Копируйте и вставляйте существующие части своей тюрьмы или размещайте заранее готовые помещения.
buildtoolbar_popup_room_cell	Здесь живут заключенные.
buildtoolbar_popup_room_holdingcell	Здесь размещают недавно прибывших зэков, пока им не найдут камеру.
buildtoolbar_popup_room_solitary	Изолятор для самых отъявленных негодяев.
buildtoolbar_popup_room_dormitory	Многоместная камера с изменяемыми размерами для размещения множества заключенных. Чем больше многоместная камера, тем больше заключенных в ней поместится.
buildtoolbar_popup_room_familycell	Здесь живут заключенные со своими детьми.
buildtoolbar_popup_room_sharedcell	Многоместная камера для содержания нескольких заключенных. Здесь можно разместить до 8 заключенных.
buildtoolbar_popup_room_canteen	Место для изысканной трапезы и "файв-о-клока".
buildtoolbar_popup_room_kitchen	Здесь повара готовят баланду для заключенных.
buildtoolbar_popup_room_shower	Здесь осужденные принимают душ и выводят вшей.
buildtoolbar_popup_room_yard	Место, где можно по-быстрому принять солнечную ванну под бдительным взором охранников.
buildtoolbar_popup_room_storage	Здесь хранятся материалы для нужд персонала тюрьмы.
buildtoolbar_popup_room_deliveries	Сюда привозят продукты, материалы и заключенных.
buildtoolbar_popup_room_garbage	Отсюда забирают мусор.
buildtoolbar_popup_room_execution	Место, откуда большинство осужденных не возвращается.
buildtoolbar_popup_room_workshop	Здесь заключенные увлекательно проводят время за производством номерных знаков для автомобилей.
buildtoolbar_popup_room_security	Кабинет охраны.
buildtoolbar_popup_room_office	Офисное помещение для администрации.
buildtoolbar_popup_room_medicalward	Здесь работает медицинский персонал. Заключенные без сознания выздоравливать дольше, но не переживайте — они в хороших руках.
buildtoolbar_popup_room_morgue	Сюда отправляют всех, кто умер в тюрьме.
buildtoolbar_popup_room_commonroom	Здесь заключенные могут немного отдохнуть.
buildtoolbar_popup_room_kennel	Осторожно, злые собаки.
buildtoolbar_popup_room_chapel	Что будет, если поручить бюрократическому комитету заботиться о религиозных нуждах заключенных? "Универсальный зал для молитвы", вот что. Мы называем его Часовней.
buildtoolbar_popup_room_paroleroom	Заключенные имеют право на условно-досрочное освобождение по прошествии 50% и 75% срока заключения. Их судьба решается в этой комнате, в присутствии начальника тюрьмы и начальника охраны.\n\nРекомендуется привлечь дополнительную охрану. Когда осужденным отказывают в УДО, они нередко расстраиваются.
buildtoolbar_popup_room_library	В тюрьму присылают коробки с подержанными книгами из разных уголков страны. Обязанность заключенных — расставить книги по полкам.
buildtoolbar_popup_room_intake	Сюда приводят вновь прибывших заключенных.
buildtoolbar_popup_room_nursery	Помещение для игр и занятий для заключенных с детьми.
buildtoolbar_popup_room_shop	Магазины дают вашим заключенным возможность потратить свои кровно заработанные деньги на удовлетворение своих потребностей в предметах роскоши. Кроме того, магазины могут помочь в приобретении предметов гигиены, продуктов питания и продукции для отдыха. Вы будете получать деньги за каждую продажу, а также ежедневные комиссионные со всего объема проданных товаров.

buildtoolbar_popup_obj_bed	Не слишком мягкая, не слишком твердая, в самый раз. Хотя, если честно, очень жесткая и крошечная.
buildtoolbar_popup_obj_toilet	Одно из основополагающих прав человека (по версии идиотов).
buildtoolbar_popup_obj_table	Прекрасно сочетается со стулом.
buildtoolbar_popup_obj_chair	Прекрасно сочетается со столом.
buildtoolbar_popup_obj_bench	Чтобы сидеть.
buildtoolbar_popup_obj_electricchair	2 000 вольт чистого правосудия.
buildtoolbar_popup_obj_jaildoor	Мешает заключенным сбежать.
buildtoolbar_popup_obj_jaildoorlarge	Мешает толпе заключенных сбежать.
buildtoolbar_popup_obj_door	Просто дверь.
buildtoolbar_popup_obj_solitarydoor	Самая мощная дверь, способная остановить даже опаснейших зэков.
buildtoolbar_popup_obj_staffdoor	Эту дверь может открыть любой сотрудник, а не только охрана.
buildtoolbar_popup_obj_window	Из него иногда видно солнце.
buildtoolbar_popup_obj_windowlarge	Из него видно солнце немного чаще.
buildtoolbar_popup_obj_tree	Бороться с глобальным потеплением — долг каждого из нас.
buildtoolbar_popup_obj_light	Позволяет видеть заключенных в любое время дня и ночи.
buildtoolbar_popup_obj_cooker	Обеспечивает заключенных горячей едой.
buildtoolbar_popup_obj_fridge	Не дает продуктам испортиться.
buildtoolbar_popup_obj_bin	Важно соблюдать порядок, когда речь заходит о контрабанде.
buildtoolbar_popup_obj_sink	Все сотрудники обязаны мыть руки. Для ускорения процесса лучше подключить горячую воду.
buildtoolbar_popup_obj_servingtable	Здесь заключенные берут тарелки с едой.
buildtoolbar_popup_obj_officedesk	Вашим сотрудникам приходится много писать. Для этого им нужен новенький офисный стол.
buildtoolbar_popup_obj_filingcabinet	Для аккуратного хранения всей писанины.
buildtoolbar_popup_obj_morgueslab	Чтобы усопшие могли уйти с достоинством.
buildtoolbar_popup_obj_drain	Чтобы вода не скапливалась на полу.
buildtoolbar_popup_obj_sprinkler	Автоматически разбрызгивает воду в случае пожара.
buildtoolbar_popup_obj_metaldetector	При проходе сквозь него заключенных сканируют на предмет контрабанды. Рядом должна быть охрана для изъятия запрещенных предметов.
buildtoolbar_popup_obj_weightsbench	Спорт — залог счастливой отсидки.
buildtoolbar_popup_obj_tv	Зомбоящик тоже делает заключенных счастливыми. Требуется место, чтобы заключенные могли сидеть у телевизора.
buildtoolbar_popup_obj_largetv	Массовый сеанс зомбирования для заключенных. Требуется место, чтобы заключенные могли сидеть у телевизора.
buildtoolbar_popup_obj_pooltable	Разбавляет монотонную тюремную жизнь игрой в шары.
buildtoolbar_popup_obj_dismantleobject	Убирает объект из тюрьмы.
buildtoolbar_popup_obj_altar	Направляет молитву прямо в уши высшей силы (на ваш выбор).
buildtoolbar_popup_obj_pews	Места для верующих из самого твердого и неудобного дерева.
buildtoolbar_popup_obj_prayermat	Не всем заключенным нравится касаться грязного пола во время молитвы.

buildtoolbar_popup_staff_guard	Следят за заключенными и обеспечивают порядок.
buildtoolbar_popup_staff_armedguard	Любой зэк дважды подумает, прежде чем напасть на этого охранника с дробовиком.\n\nОбратите внимание, что каждому вооруженному охраннику требуется свой шкафчик в Оружейной комнате.
buildtoolbar_popup_staff_doctor	Автоматически лечит всех раненых сотрудников и заключенных в зоне видимости.
buildtoolbar_popup_staff_cook	Кормит заключенных едой, которую они же и приготовили.
buildtoolbar_popup_staff_gardener	Ухаживает за газонами и растениями на территории тюрьмы.
buildtoolbar_popup_staff_janitor	Следит за чистотой и порядком в тюрьме. Также может помочь в прачечной.

buildtoolbar_popup_uts_powerstation	Вырабатывает электричество для вашей тюрьмы.
buildtoolbar_popup_uts_capacitor	Увеличивает мощность генератора, рядом с которым находится.
buildtoolbar_popup_uts_electricalcable	Распределяет электроэнергию по территории тюрьмы.
buildtoolbar_popup_uts_powerswitch	Регулирует подачу питания на выбранный кабель.\n\nЩелкните правой кнопкой мыши для включения или выключения.
buildtoolbar_popup_uts_waterpumpstation	Снабжает тюрьму водой.
buildtoolbar_popup_uts_pipevalve	Включает или выключает подачу воды через любую подсоединенную трубу.
buildtoolbar_popup_uts_pipelarge	Позволяет организовать подачу большого объема воды. Достаточно габаритна, чтобы вдохновить заключенных на побег по покилометровой реке дерьма.\n\nНапор воды в этой трубе слишком велик, чтобы напрямую подключать ее к туалетам, душевым насадкам и т.п. Для этих целей лучше подойдет малая труба.
buildtoolbar_popup_uts_pipesmall	Нужна для подключения туалетов, душа, раковин и т.п. к основному трубопроводу. Напор воды в ней значительно ниже, к тому же он будет уменьшаться пропорционально длине малой трубы, пока не достигнет критической отметки.
buildtoolbar_popup_uts_cctv	Следите за порядком в тюрьме без постоянного присутствия охраны.\n\nВидеокамеры следует соединить с Пультом наблюдения.
buildtoolbar_popup_uts_cctvmonitor	Предназначен для установки в Комнате охраны; управляется Охранником. Показывает изображение с камер наблюдения.\n\nВыберите инструмент Соединить для подключения видеокамер к Пульту наблюдения.\n\nОдновременно можно просматривать до 8 камер. Если их больше, изображение с камер будет появляться на пульте поочередно, что может негативно сказаться на безопасности.
buildtoolbar_popup_uts_DoorControlSystem	Предназначен для установки в Комнате охраны; управляется Охранником. Автоматически открывает тюремные двери.\n\nВыберите инструмент Соединить для подключения Приводов дверей к системе управления. Привод следует установить прямо над выбранной дверью.\n\nСистема позволяет управлять неограниченным количеством Приводов, однако Охранник может открыть не более двух дверей в секунду.
