
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Nuevo
soundparametereditor_title	Parámetro de sonido
soundparametereditor_typetitle	Tipo
soundparametereditor_linktitle	Vinculado a
soundparametereditor_updatetitle	Tipo de actualización
soundparametereditor_smoothing	Fundir
soundparametereditor_chaintitle	Cadena

soundeditor_newdsp	Añadir DSP
sounddspeditor_title	Editor DSP
samplebankeditor_title	Editor de muestras
samplebankeditor_addsample	Añadir  Sonido
samplebank	(Banco de muestras)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done	Completado
interfacemode_destroy	Eliminar
interfacemode_foundations	Cimientos
interfacemode_construction	Materiales
interfacemode_planning	Plano
interfacemode_objects	Objetos
interfacemode_designation	Salas
interfacemode_utilities	Servicios públicos
interfacemode_staff	Personal
interfacemode_deployment	Despliegue
interfacemode_logistics	Logística
interfacemode_prisoners	Reclusos
interfacemode_needs	Necesidades
interfacemode_threats	Amenazas
interfacemode_overlays	Capa de utilidades
interfacemode_research	Burocracia
interfacemode_emergencies	Emergencias
interfacemode_clone	Duplicar
interfacemode_contraband	Inteligencia
interfacemode_grading	Calificaciones
interfacemode_spawn	(Base)
interfacemode_properties	(Propiedades)
interfacemode_cutscenes	(Escenas de corte)
interfacemode_selection	Seleccionar
interfacemode_prefabs	Construcción rápida

interfaceoverlay_security	Seguridad
interfaceoverlay_patrols	Patrullas
interfaceoverlay_decay	Deterioro
interfaceoverlay_territory	Territorios
interfaceoverlay_contraband	Contrabando

interfaceproperty_indoor	Interior
interfaceproperty_visible	Visible
interfaceproperty_territoryprisoner	Pandillas
interfaceproperty_territoryguard	Guardias
interfaceproperty_sectorprisoner	Amotinamiento
interfaceproperty_tunnel	Túnel

interfacedeployment_guards	Guardias
interfacedeployment_patrols	Patrullas de guardias
interfacedeployment_dogpatrols	Patrullas de perros
interfacedeployment_armedpatrols	Patrullas armadas
interfacedeployment_removeguards	Eliminar guardias
interfacedeployment_clearpatrols	Eliminar patrullas
interfacedeployment_targetting	Logística
interfacedeployment_targettingfood	Logística de alimentos
interfacedeployment_targettinglaundry	Logística de lavandería
interfacedeployment_securearea	ZonaSegura
interfacedeployment_sharedzone	Compartido
interfacedeployment_staffonlyzone	Solo personal
interfacedeployment_maxseczone	Solo Máx. Seg.
interfacedeployment_medseczone	Solo Med. Seg.
interfacedeployment_minseczone	Solo Mín. Seg.
interfacedeployment_protectedzone	Solo Protegido
interfacedeployment_supermaxzone	Solo Súper-Máxima
interfacedeployment_deathrowzone	Solo corredor de la muerte
interfacedeployment_unlockedzone	Desbloqueado
interfacedeployment_zonered	Ala Roja
interfacedeployment_zonegreen	Ala Verde
interfacedeployment_zoneblue	Ala Azul
interfacedeployment_zoneyellow	Ala Amarilla
interfacedeployment_zoning	Distribución de zonas
interfacedeployment_accessonly	Solo Acceso
interfacedeployment_prisonerdirection	Dirección del recluso
interfacedeployment_staffdirection	Dirección de los demás

interfacelogistics_jobs	Trabajos de presos
interfacelogistics_removejobs	Quitar trabajo
interfacelogistics_targettingfood	Distribución de alimentos
interfacelogistics_targettinglaundry	Distribución de lavandería
interfacelogistics_roomquality	Calidad de las salas
interfacelogistics_weathermap	Temperatura

interfaceplanning_wall	Paredes
interfaceplanning_object	Objetos
interfaceplanning_route	Vías
interfaceplanning_clear	Quitar
interfaceplanning_zone1	Zona 1
interfaceplanning_zone2	Zona 2
interfaceplanning_zone3	Zona 3
interfaceplanning_zone4	Zona 4
interfaceplanning_zone5	Zona 5
interfaceplanning_zone6	Zona 6
interfaceplanning_zone7	Zona 7
interfaceplanning_zone8	Zona 8
interfaceplanning_zone9	Zona 9

interfacecontraband_source	Peligros
interfacecontraband_day	24 horas
interfacecontraband_week	7 días
interfacecontraband_alltime	30 días
interfacecontraband_stolenfrom	Robado a
interfacecontraband_informants	Informantes
interfacecontraband_gangs	Pandillas

interfacecallout_fireengine	Camión de bomberos
interfacecallout_riotpolice	Policía antidisturbios
interfacecallout_armedpolice	Policía armada
interfacecallout_paramedics	Paramédicos
interfacecallout_soldiers	Soldados

interfaceclone_copy	Copiar
interfaceclone_paste	Pegar
interfaceclone_cancel	Cancelar construcción rápida
interfaceclone_clone	Clonar

interfacetopbar_todo	Tareas
interfacetopbar_balance	Banco *B
interfacetopbar_budget	Flujo de caja *C
interfacetopbar_income	Ingresos *I
interfacetopbar_expenses	Gastos *C
interfacetopbar_day	DIA *D

interfacetopbar_title_balance	Balance banco
interfacetopbar_title_budget	Flujo de caja diario
interfacetopbar_title_cctv	Cámaras de seguridad
interfacetopbar_title_day	Día
interfacetopbar_title_prisoners	Reclusos
interfacetopbar_title_guards	Guardias
interfacetopbar_title_tension	Peligro
interfacetopbar_title_weathericon	Clima

interfacetopbar_tooltip_balance	El dinero que tienes en el banco.\n\nPulsa aquí para obtener más fondos a través de la lista de Subvenciones.
interfacetopbar_tooltip_budget	El total de dinero que recibirás diariamente según tus gastos e ingresos actuales.\n\nPulsa para acceder al desglose detallado de ingresos y gastos.
interfacetopbar_tooltip_cctv	El número de cámaras de seguridad y monitores que tienes actualmente.
interfacetopbar_tooltip_day	La duración de tu puesto en la prisión
interfacetopbar_tooltip_prisoners	La cantidad de reclusos que tienes actualmente y la capacidad de la prisión
interfacetopbar_tooltip_guards	Los guardias disponibles para trabajar en tu prisión
interfacetopbar_tooltip_tension	El nivel de riesgo global de la prisión según el jefe de seguridad.
interfacetopbar_tooltip_weathericon	Clima y temperatura actual.

interfacetopbar_tooltip_recenttransactions	Transacciones recientes

interfacetopbar_tooltip_gametime	Tiempo total jugado : *X horas, *Y minutos, *Z segundos

interfacetopbar_tooltip_totalguards	*X guardias en total
interfacetopbar_tooltip_guardincapacitated	*X Incapacitados
interfacetopbar_tooltip_guardstationed	*X Estacionados
interfacetopbar_tooltip_guardpatrolling	*X Patrullando
interfacetopbar_tooltip_guardavailable	*X Disponibles
interfacetopbar_tooltip_guardresting	*X Descansando
interfacetopbar_tooltip_guardonbreak	*X están descansando
interfacetopbar_tooltip_guardwantsabreak	(*X necesitan un descanso)
interfacetopbar_tooltip_guardactive	(*X Respondiendo a incidentes)
interfacetopbar_tooltip_guarddoingjob	*X Realizando trabajos
interfacetopbar_tooltip_idle	(*X Inactivos)
interfacetopbar_tooltip_guardsstriking	*X ESTÁN EN HUELGA

interfacetopbar_tooltip_regularguards	Hay *X guardias ordinarios
interfacetopbar_tooltip_armedguards	Hay *X guardias armados
interfacetopbar_tooltip_dogs	Hay *X adiestradores de perros
interfacetopbar_tooltip_snipers	Hay *X francotiradores

interfacetopbar_unlimitedfunds	FONDOS ILIMITADOS
interfacetopbar_cheatsenabled	TRUCOS ACTIVADOS

interfacetopbar_budget_moneyin	Ingresos: *M$ /día
interfacetopbar_budget_moneyout	Gastos: *M$ /día
interfacetopbar_budget_cantgonegative	No es posible tener flujo de caja negativo (es decir, tener más gastos que ingresos) hasta que contrates a un Contable para administrar sus finanzas.

interfacetopbar_prisoners_types	*X presos en la prisión actualmente:
interfacetopbar_prisoners_capacity	Capacidad máxima: *X
interfacetopbar_prisonercells_shared	Capacidad celdas compartidas: *X
interfacetopbar_prisonercells_unlocked	Capacidad zonas desbloqueadas: *X
interfacetopbar_prisonercells_minseconly	Capacidad mín. seg: *X
interfacetopbar_prisonercells_medseconly	Capacidad med. seg: *X
interfacetopbar_prisonercells_maxseconly	Capacidad máx. seg: *X
interfacetopbar_prisonercells_protectedonly	Capacidad protegidos: *X
interfacetopbar_prisonercells_supermaxonly	Capacidad Súper-máxima: *X
interfacetopbar_prisonercells_deathrowonly	Capacidad corredor de la muerte: *X
interfacetopbar_prisonercells_staffonly	No disponible: *X
interfacetopbar_prisoners_nocells	*X presos no pueden asignarse a una celda
interfacetopbar_prisonercells_parents	Capacidad progenitora: *X

interfacetopbar_cctv_current	*C cámaras funcionando actualmente
interfacetopbar_cctv_cap	Espacio para *C cámaras

interfacetopbar_tension_currentlevel	El nivel de peligro es *X
interfacetopbar_tension_currentlevellow	bajo
interfacetopbar_tension_currentlevelmedium	medio
interfacetopbar_tension_currentlevelhigh	alto
interfacetopbar_tension_increasing	y está aumentando
interfacetopbar_tension_decreasing	y está disminuyendo
interfacetopbar_tension_description	FACTORES:
interfacetopbar_tension_happyprisoners	- *X presos dicen que están bien tratados
interfacetopbar_tension_unhappyprisoners	+ *X presos tienen serias quejas
interfacetopbar_tension_lockedupprisoners	+ *X presos están encadenados en sus celdas o en aislamiento
interfacetopbar_tension_riotingprisoners	+ *X presos están amotinados
interfacetopbar_tension_wellfedprisoners	- *X presos están bien alimentados
interfacetopbar_tension_suppressedprisoners	= *X presos están reprimidos (sumisos)
interfacetopbar_tension_activeriotguards	+ *X policías antidisturbios en el lugar
interfacetopbar_tension_activearmedguards	+ *X guardias armados en servicio
interfacetopbar_tension_recentdeaths	+ *X personas muertas recientemente
interfacetopbar_tension_recentsearches	+ *X presos innecesariamente registrados recientemente
interfacetopbar_tension_angrygangmembers	+*X PANDILLEROS ESTAN FURIOSOS (líder castigado)
interfacetopbar_tension_recentpunishments	= (DISUASORIO) *X castigos se han ejecutado recientemente
interfacetopbar_tension_recentcalmed	*X presos calmados recientemente
interfacetopbar_tension_staffmorale_low	+ El personal tiene la moral baja
interfacetopbar_tension_staffmorale_high	- El personal tiene la moral alta
interfacetopbar_tension_staffonstrike	+ Tu personal está en huelga
interfacetopbar_tension_dangerzone	+ ¡ZONA DE PELIGRO!

interfacetopbar_staffmorale_title	MORAL DEL PERSONAL
interfacetopbar_staffmorale_happystaff	+ *X miembros del personal están contentos en su trabajo
interfacetopbar_staffmorale_unhappystaff	- *X miembros del personal tienen quejas serias
interfacetopbar_staffmorale_injuredstaff	- *X miembros del personal están heridos
interfacetopbar_staffmorale_staffdeaths	- *X miembros del personal han fallecido mientras realizaban su trabajo
interfacetopbar_staffmorale_staffpayverygood	+ El personal está muy bien pagado
interfacetopbar_staffmorale_staffpaygood	+ El personal está bien pagado
interfacetopbar_staffmorale_staffpaybad	- El personal no está bien pagado

interfacecontrol_mainmenu	Menú principal (Esc)
interfacecontrol_mainmenu_tooltip	Alternar menú principal (Nuevo/Cargar/Guardar/Salir, etc.)
interfacecontrol_todo	Lista de tareas
interfacecontrol_todo_tooltip	Alternar lista de tareas
interfacecontrol_research	Burocracia
interfacecontrol_research_tooltip	Abre la pantalla de Burocracia, donde puedes designar a tus administradores para desbloquear elementos nuevos, personal e instalaciones.
interfacecontrol_grading	Calificación de la prisión
interfacecontrol_grading_tooltip	Abre la pantalla de Calificación de la prisión, que muestra la calificación general del éxito obtenido

interface_confirmlandbuy	¿Seguro  que quieres comprar esta parcela de terreno por *X$?
interface_loadconfirm	¿Seguro que quieres cargar este mapa? Perderás los progresos no guardados.
interface_saveconfirm	¿Seguro que quieres guardar con este nombre? Se sobrescribirán los datos existentes.

interface_landbuylabel	*Xm x *Ym. Área total *A metros cuadrados. *C

interface_action_dismantle	Desmontar
interface_action_dump	Tirar
interface_action_repair	Arreglar
interface_action_medicalbay	Enfermería
interface_action_search	Registrar
interface_action_searchcell	Registrar celda
interface_action_searchcellblock	Registrar bloque de celdas
interface_action_searchtoilets	Buscar aseos
interface_action_sack	Despedir
interface_action_dooropen	Abrir puerta
interface_action_doormodenormal	Modo puerta: Normal
interface_action_doormodelockedshut	Cerrojo cerrado
interface_action_doormodelockedopen	Cerrojo abierto
interface_action_switchon	Activar
interface_action_switchoff	Desactivar
interface_action_sellobject	Vender objeto
interface_action_dismiss	Despedir
interface_action_connect	Conectar
interface_action_clearconnections	Borrar conexiones
interface_action_servoopen	Abrir al disparar
interface_action_servoclose	Cerrar al disparar
interface_action_follow	Seguir
interface_action_rapsheet	Mostrar antecedentes

interface_contents_container	Contenido : *X
interface_contents_stack	Contenido : *X x *Y

interface_skip	SALTAR

interface_error_riotmove	Imposible entrar: Motín

interface_foundationsinprogress	Cimientos en proceso
riot_underway	MOTÍN EN MARCHA
riot_status_prisoners	*X presos están amotinados
shakedown_underway	REGISTRO EN MARCHA
shakedown_found	Encontrado:

gameover_caption	Presione ESC para continuar

sector_jobs_max	Máx. trabajos *X
sector_jobs_qualified	Presos cualificados : *X
sector_jobs_required	(Requerido: *X)
sector_noaccess	SIN ACCESO
sector_insecure	NO SEGURO


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title	Pruebas de compatibilidad de Hardware
hardware_compat_message	Si te parece bien, quisiéramos obtener los siguientes datos del hardware de tu ordenador.\n\nEstos datos son totalmente anónimos y nos ayudarán a asegurarnos de que Prison Architect sea compatible con tanto hardware como sea posible.\n\n¡Gracias!
hardware_compat_accept	Aceptar
hardware_compat_decline	Cancelar

connectionmenu_connect	Conectar
connectionmenu_disconnect	Desconectar
connectionmenu_clear	Quitar
connectionmenu_done	Completado


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title	Construir
buildtoolbar_reports	Informes
buildtoolbar_bangup	Emergencia
buildtoolbar_lockdown	Confinamiento
buildtoolbar_shakedown	Registro
buildtoolbar_weaponsfree	Fuego a discrección

buildtoolbar_tooltip_reports	Abre la ventana de Informes para ver datos de los presos, el personal, los ingresos, las subvenciones, etc.
buildtoolbar_tooltip_bangup	Envía a todos los presos a sus celdas (los que quieran ir). Si dejas encerrados a los reclusos durante mucho tiempo, se enfadarán.
buildtoolbar_tooltip_lockdown	Bloquea instantáneamente todas las puertas de la prisión.
buildtoolbar_tooltip_shakedown	Ordena un registro inmediato de todas las celdas. Te llevará un ratito y sacará de sus casillas a los reclusos.
buildtoolbar_tooltip_weaponsfree	Autoriza a tus guardias a utilizar fuerza letal. Los francotiradores ya no harán disparos de advertencia antes de eliminar a un objetivo.
buildtoolbar_tooltip_nostrike	No disponible durante las huelgas del personal.

buildtoolbar_cost	Coste: *C$
buildtoolbar_cost_sqrft	Coste: *C$ por metro cuadrado
buildtoolbar_wages	Sueldo: *W$ al día
buildtoolbar_upkeep	Mantenimiento: *W$ por día
buildtoolbar_outdoor	Solo exterior
buildtoolbar_indoor	Solo interior
buildtoolbar_walk_speed	Velocidad de paso: *S
buildtoolbar_walk_speed_slow	Lenta
buildtoolbar_walk_speed_norm	Normal
buildtoolbar_walk_speed_fast	Rápida
buildtoolbar_locked	BLOQUEADO
buildtoolbar_locked_research	BLOQUEADO (Necesitas *B)
buildtoolbar_locked_administrator	BLOQUEADO (*B requerida)
buildtoolbar_room	Sala

buildtoolbar_electrical	- Electrificado
buildtoolbar_highpower	- Alto voltaje
buildtoolbar_water	- Necesita conexión a la llave de agua
buildtoolbar_wired	- Cableado (se conecta a otros objetos cableados)
buildtoolbar_modcontent	- Contenido del mod

buildtoolbar_popup_foundations	Construye/Demole los edificios para ir dando forma a la prisión.
buildtoolbar_popup_construction	Diferentes tipos de suelos y paredes.
buildtoolbar_popup_planning	Planifica tu prisión sin miedo a que tus obreros no sigan tus órdenes.
buildtoolbar_popup_designation	Designa áreas con una función específica.
buildtoolbar_popup_objects	Coloca objetos útiles alrededor de tu prisión.
buildtoolbar_popup_overlays	Echa un vistazo e identifica fallos en el diseño de tu prisión.
buildtoolbar_popup_utilities	Fontanería y sistemas eléctricos.
buildtoolbar_popup_staff	Contrata al personal necesario para mantener tu prisión en funcionamiento.
buildtoolbar_popup_deployment	Asigna personal en las diferentes áreas de tu prisión.
buildtoolbar_popup_logistics	Asigna a reclusos para trabajar en prisión. También controla manualmente el funcionamiento de la lavandería y comedor.
buildtoolbar_popup_research	Desbloquea opciones nuevas para tu prisión.
buildtoolbar_popup_emergencies	Llama a Emergencias si las cosas se ponen chungas.
buildtoolbar_popup_clone	Copia y pega tus estructuras existentes.
buildtoolbar_popup_properties	Saber más sobre los trapicheos.
buildtoolbar_popup_contraband	Te enseña las fuentes de contrabando y el contrabando incautado en la prisión. También muestra quiénes son tus informantes confidenciales y su información.
buildtoolbar_popup_grading	Consulta la calificación global de la prisión en las cuatro métricas clave - Castigo, Reforma, Seguridad y Salud. También te enseña la tasa de reincidencia de tu prisión.
buildtoolbar_popup_prefabs	Copia y pega partes ya existentes de tu prisión o coloca salas predefinidas.
buildtoolbar_popup_room_cell	Donde viven los reclusos.
buildtoolbar_popup_room_holdingcell	La sala donde se instalan los nuevos reclusos hasta que se les asigne una celda.
buildtoolbar_popup_room_solitary	Una celda completamente aislada para lo peor de lo peor.
buildtoolbar_popup_room_dormitory	Una sala de tamaño variable para alojar a varios reclusos. Cuanto más grande sea el dormitorio, más reclusos podrá alojar.
buildtoolbar_popup_room_familycell	Donde viven tus reclusos si tienen bebés.
buildtoolbar_popup_room_sharedcell	Una celda de ocupación múltiple para varios reclusos. Caben hasta 8 reclusos.
buildtoolbar_popup_room_canteen	Donde tus reclusos comen y se toman su té de la tarde.
buildtoolbar_popup_room_kitchen	Lugar donde los cocineros les preparan la comida a tus reclusos.
buildtoolbar_popup_room_shower	Sirve para mantener a los reclusos completamente limpios y sin piojos.
buildtoolbar_popup_room_yard	Permite a tus prisioneros ver la luz del sol un par de horas al día bajo la atenta mirada de los francotiradores.
buildtoolbar_popup_room_storage	Lugar donde se almacenan los materiales que necesita tu personal.
buildtoolbar_popup_room_deliveries	Lugar donde se almacenan bienes, materiales e incluso presos.
buildtoolbar_popup_room_garbage	Es, básicamente, el vertedero.
buildtoolbar_popup_room_execution	Lugar donde envías a tus presos para que mueran.
buildtoolbar_popup_room_workshop	Lugar donde envías a tus presos para que mueran de aburrimiento mientras fabrican matrículas de coche.
buildtoolbar_popup_room_security	Oficinas para los oficiales.
buildtoolbar_popup_room_office	Despacho de tu personal administrativo.
buildtoolbar_popup_room_medicalward	Lugar donde trabaja tu personal médico. Los prisioneros inconscientes tardarán más en recuperarse, pero no te preocupes: están en buenas manos.
buildtoolbar_popup_room_morgue	Lugar donde envías a tus presos fallecidos y a algún miembro del personal.
buildtoolbar_popup_room_commonroom	Permite a tus prisioneros tener tiempo libre para relajarse.
buildtoolbar_popup_room_kennel	Lugar donde viven tus perros.
buildtoolbar_popup_room_chapel	¿Qué ocurre cuando una junta burocrática se reúne para diseñar una solución a las necesidades religiosas de los reclusos? Pues que se crea una Sala Multi-Oración La llamaremos Capilla.
buildtoolbar_popup_room_paroleroom	Tus reclusos serán aptos para libertad condicional tras  haber cumplido el 50% y el 75% de sus condenas Su destino lo deciden el Alcaide y el Jefe e esta sala.\n\nTen en mente que necesitarás seguridad adicional ya que los reclusos se ponen bastante nerviosos cuando se les deniega la condicional.
buildtoolbar_popup_room_library	Se enviarán a tu prisión cajas de libros de segunda mano provenientes de todo el país. Los presos tendrán que ordenar los libros en las estanterías.
buildtoolbar_popup_room_intake	Lugar donde se lleva a los presos recién llegados.
buildtoolbar_popup_room_nursery	Sala de actividades para reclusos con bebés.
buildtoolbar_popup_room_shop	Las tiendas ofrecen a tus reclusos un lugar en el que gastar el dinero que han conseguido a base de esfuerzo para satisfacer sus necesidades de lujos. También pueden proporcionar higiene, alimentos y entretenimiento. Recibirás dinero por cada venta, además de una comisión diaria por el total de artículos vendidos.

buildtoolbar_popup_obj_bed	Ni demasiado blando, ni demasiado duro, en su punto. Bueno, en realidad, muy duro y demasiado pequeño.
buildtoolbar_popup_obj_toilet	Un derecho fundamental del ser humano, según dice esa panda de locos.
buildtoolbar_popup_obj_table	Pega genial con una silla.
buildtoolbar_popup_obj_chair	Pega genial con una mesa.
buildtoolbar_popup_obj_bench	Para sentarse.
buildtoolbar_popup_obj_electricchair	Para descargar 2000V de justicia.
buildtoolbar_popup_obj_jaildoor	Mantén a los presos en su sitio.
buildtoolbar_popup_obj_jaildoorlarge	Mantén a muchos de tus presos en su sitio.
buildtoolbar_popup_obj_door	Puerta simple.
buildtoolbar_popup_obj_solitarydoor	Puerta maciza para detener hasta al más fuerte de los presos que intente escapar.
buildtoolbar_popup_obj_staffdoor	Puerta cerrada que pueden abrirla no sólo los guardias, sino también cualquier miembro del personal.
buildtoolbar_popup_obj_window	Para admirar la luz del sol.
buildtoolbar_popup_obj_windowlarge	Para admirar la luz del sol en grandes cantidades.
buildtoolbar_popup_obj_tree	Tenemos que tomar medidas contra el calentamiento global.
buildtoolbar_popup_obj_light	Asegúrate de que puedes observar a sus presos 24 horas al día.
buildtoolbar_popup_obj_cooker	Dales a tus presos comida caliente para que tengan una vida de lujo.
buildtoolbar_popup_obj_fridge	Evita que los alimentos se echen a perder.
buildtoolbar_popup_obj_bin	Es importante tomar medidas drásticas en cuanto al contrabando.
buildtoolbar_popup_obj_sink	Todos los empleados deben lavarse las manos. Actuará más rápido si se conecta al agua caliente.
buildtoolbar_popup_obj_servingtable	Sirve comida a tus presos.
buildtoolbar_popup_obj_officedesk	Tus empleados tienen que tomar apuntes, proporciónales un escritorio para poder hacerlo.
buildtoolbar_popup_obj_filingcabinet	Tus empleados deben ordenar bien sus apuntes.
buildtoolbar_popup_obj_morgueslab	Asegúrate de que los fallecidos tengan un lugar para descansar en paz antes de transportarlos.
buildtoolbar_popup_obj_drain	Retira el agua del suelo.
buildtoolbar_popup_obj_sprinkler	Pulveriza automáticamente la zona con agua en caso de incendio.
buildtoolbar_popup_obj_metaldetector	Detecta el contrabando de los presos. Necesitarás tener un guardia cerca para confiscar el contrabando.
buildtoolbar_popup_obj_weightsbench	Permite a los presos hacer ejercicio, lo que les genera endorfinas.
buildtoolbar_popup_obj_tv	Pacifica a tus reclusos obnubilándolos en mediocridad. Necesitas poner la televisión en un lugar donde los reclusos puedan sentarse a verla.
buildtoolbar_popup_obj_largetv	Permite que una multitud de reclusos compartan la experiencia de la podredumbre cerebral. Necesitas poner la televisión en un lugar donde los reclusos puedan sentarse a verla.
buildtoolbar_popup_obj_pooltable	Evita la monotonía con una partida de billar.
buildtoolbar_popup_obj_dismantleobject	Elimina un objeto de tu prisión.
buildtoolbar_popup_obj_altar	Envía tus peticiones directamente a tu superior.
buildtoolbar_popup_obj_pews	Asientos para los fieles. Hechos de la madera más dura e incómoda que existe.
buildtoolbar_popup_obj_prayermat	Evita que tus presos pisen un suelo sucio mientras realizan sus oraciones.

buildtoolbar_popup_staff_guard	Sirve para mantener a los presos bajo control sin que den problemas.
buildtoolbar_popup_staff_armedguard	Los presos se lo pensarán dos veces antes de atacar a este hombre armado con una escopeta.\n\nNota: Cada guardia armado necesita su propia taquilla en la Armería.
buildtoolbar_popup_staff_doctor	Cura automáticamente a todas las personas heridas sin importar si son guardias o prisioneros.
buildtoolbar_popup_staff_cook	Alimenta a tus presos con la comida que preparan.
buildtoolbar_popup_staff_gardener	Se asegura de que tus terrenos estén siempre bonitos y ordenados.
buildtoolbar_popup_staff_janitor	Se asegura de que el interior de tu prisión esté bonito y ordenado. También puede ayudar con la colada.

buildtoolbar_popup_uts_powerstation	Genera electricidad para que puedas utilizarla en la prisión. También se puede conectar a un transformador para exportar la energía.
buildtoolbar_popup_uts_capacitor	Si se coloca al lado de una planta de electricidad, aumenta la cantidad de electricidad generada.
buildtoolbar_popup_uts_electricalcable	Distribuye la electricidad por la prisión.
buildtoolbar_popup_uts_powerswitch	Alterna la disponibilidad de electricidad para todos los cables conectados a la misma.\n\nPulsa con el botón derecho del ratón para cambiar el estado de encendido/apagado.
buildtoolbar_popup_uts_waterpumpstation	Proporciona agua a tu prisión.
buildtoolbar_popup_uts_pipevalve	Alterna la disponibilidad de agua de cualquier tubería conectada a la misma.
buildtoolbar_popup_uts_pipelarge	Distribuye una gran cantidad de agua por la prisión. Lo suficientemente grande para alguien que anhela su libertad se arrastre a través de sus casi 500 metros llenos de mierda y residuos.\n\nNota: no suelen utilizarse para conectarse a los lavamanos, alcachofas de ducha, etc. La presión  es demasiado grande. Para eso, utiliza una cañería pequeña.
buildtoolbar_popup_uts_pipesmall	Se utiliza para conectar objetos como aseos, duchas, lavamanos, etc. a una red de cañerías grandes. La presión es mucho menor, así que estas cañerías tienen un límite antes de que la presión sea demasiado baja.
buildtoolbar_popup_uts_cctv	Echa un ojo a lo que pasa en prisión sin necesitar a tus guardias.\n\nTienes que conectar un monitor a esta cámara de seguridad para que funcione.
buildtoolbar_popup_uts_cctvmonitor	Diseñado para construirse en una Sala de Seguridad, operado por un Guardia. Monitoriza a distancia las cámaras de seguridad  de tu prisión.\n\nUtiliza la herramienta de Conectar para conectar este monitor a sus cámaras de seguridad.\n\nNota: Solo se puede visualizar un máximo de ocho cámaras a la vez. Si conectas más de ocho cámaras, el monitor rotará por ellas, dándote solo información parcial.
buildtoolbar_popup_uts_DoorControlSystem	Diseñado para construirse en una Sala de Seguridad, operado por un Guardia. Puede utilizarse para abrir puertas por la prisión a distancia.\n\nUtiliza la herramienta de Conectar para conectar este sistema a tu servo.\n\nNota: puedes conectarlo a tantos servos como quieras pero el guardia que opere el sistema solo puede abrir un máximo de dos puertas por segundo.
