# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Tüm Değişiklikler
object_fencegatevisitor	Çit Kapısı (Ziyaretçi)












object_walllight	Duvar Lambası
object_securedoor	Kapı (Güvenli)
object_secretdoor	Kapı (Gizli)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	Çamur, hem de besbedava!
buildtoolbar_popup_mat_yutaniwall	Temellerin üstüne bilim kurgu tarzında duvarlar inşa ederek yeni alanlar veya odalar yap. Kargo veya Solaco zeminlere çok iyi uyar.

buildtoolbar_popup_mat_newbblockwall	Temellerin üstüne briket duvarlar inşa ederek yeni alanlar veya odalar yap.
buildtoolbar_popup_mat_newbarredwall	Temellerin üstüne parmaklıklı duvar bölümleri inşa ederek yeni alanlar veya odalar yap.
buildtoolbar_popup_mat_newtiledwall	Temellerin üstüne seramik kaplı duvar bölümleri inşa ederek yeni alanlar veya odalar yap.
buildtoolbar_popup_mat_newhedgewall	Yüksek ama dayanıksız çalı çitler. Güvenlikten çok hoş bir görünüm sağlar.









buildtoolbar_popup_mat_solacofloor	Hapishanemizin zeminlerine bilim kurgu tarzı bir görüntü verir. Yutani duvarlara çok iyi uyar.
buildtoolbar_popup_mat_gratefloor	Hapishanemizin zeminlerine bilim kurgu tarzı bir görüntü verir.
buildtoolbar_popup_mat_newcargofloor	Hapishanemizin zeminlerine ısmarlama yapılmış gibi bir görüntü verir.
buildtoolbar_popup_mat_newironfloor	Hapishanemizin zeminlerine ısmarlama yapılmış gibi bir görüntü verir.
buildtoolbar_popup_mat_newcheckeredfloor	Bunlar Mutfağına ya da Yemekhanene çok yakışabilir.
buildtoolbar_popup_mat_snow	Su gibi ama daha soğuk ve güzel.





buildtoolbar_popup_obj_snowyconifertree	En çok karlı toprağa uyar.


buildtoolbar_popup_obj_palmtree	Normalde sadece kurak yerlerde yetişir ama artık istediğin yere dikebilirsin.


buildtoolbar_popup_obj_bush	Dış alanları dekore etmek için.

buildtoolbar_popup_obj_streetlamp	Yolları ve patikaları aydınlatmak için.

buildtoolbar_popup_obj_floodlight	Avlu gibi alanları aydınlatabilecek, yüksek bir dış mekân ışığı.








buildtoolbar_popup_obj_bleachers	Mahkûmların grup halinde oturup bir sonraki hamlelerini düşünebileceği açık hava stadyumu sıraları.
buildtoolbar_popup_obj_smallbench	Üzerine oturmak için.
buildtoolbar_popup_obj_smalltable	Üzerinde yemek yemek için.
buildtoolbar_popup_obj_showerpillar	Bir duş odasının ortasına kurup her yüzüne bir Duş Başlığı takmak için.


buildtoolbar_popup_obj_doorMat	Kapı önlerine yakışabilecek, ucuz, lastikten bir paspas.


buildtoolbar_popup_obj_guardPavilion	Gardiyanların ve Silahlı Gardiyanların mahkumları gözetlemesi için Avlulara ve açık alanlara yerleştir.\n	Gardiyanları Yerleştirme menüsünden ata.\n -Bölgedeki Bastırma düzeyini arttırır.\n -Gardiyanları hava koşullarına karşı korur.
buildtoolbar_popup_obj_guardPavilionCorner	Gardiyanların ve Silahlı Gardiyanların mahkumları gözetlemesi için Avluların ve açık alanların köşelerine yerleştir.\n	Gardiyanları Yerleştirme menüsünden ata.\n -Bölgedeki Bastırma düzeyini arttırır.\n -Gardiyanları hava koşullarına karşı korur.

buildtoolbar_popup_obj_officeChair	Çalışanların Ofis Masası'nın ortasında oturması için bir masa.




















buildtoolbar_popup_obj_visitorDoor	Hapishane ziyaretçilerinin, bir gardiyanın açmasına gerek olmadan geçmesine izin veren bir kapı. Gardiyanlar ve personel de bu kapıyı kullanabilir ama mahkûmlar kullanamaz.
buildtoolbar_popup_obj_ironingBoardShort	Daha kısa bir Ütü Masası.
buildtoolbar_popup_obj_fencegatestaff	Çitlere çok yakışan ve normal bir kapı gibi çalışan bir Kapı çeşidi.
buildtoolbar_popup_obj_fencegatestandard	Çitlere çok yakışan ve normal bir kapı gibi çalışan bir Kapı çeşidi.
buildtoolbar_popup_obj_fencegatevisitor	Çitlere çok yakışan ve normal bir kapı gibi çalışan bir Kapı çeşidi.












buildtoolbar_popup_obj_walllight	Duvara takılabilecek, sığınak tarzı bir ışık.
buildtoolbar_popup_obj_securedoor	Hücre Hapsi hücreleri için tasarlanmış, yiyecek uzatmak için kapağı olan bir kapı. Yemek dağıtan gardiyanlar tepsiyi kapaktan iterler  ve hücreye girmelerine gerek kalmaz.


interfacedeployment_guards	Gardiyan Ata
buildtoolbar_deployment_Guards	Gardiyanları hapishanenin bölgelerine ata.

interfacedeployment_Dogs	Köpek Eğiticisi Ata
buildtoolbar_deployment_Dogs	Köpek Eğiticilerini hapishanenin bölgelerine ata.

interfacedeployment_ArmedGuards	Silahlı Gardiyan Ata
buildtoolbar_deployment_ArmedGuards	Silahlı Gardiyanları hapishanenin bölgelerine ata.

interfacedeployment_patrols	Gardiyan Ata
buildtoolbar_deployment_Patrols	Gardiyanları hapishanenin Devriye Güzergâhlarına ata.

interfacedeployment_dogpatrols	Köpek Eğiticisi Ata
buildtoolbar_deployment_DogPatrols	Köpek Eğiticilerini hapishanenin Devriye Güzergâhlarına ata.

interfacedeployment_armedpatrols	Silahlı Gardiyan Ata
buildtoolbar_deployment_ArmedPatrols	Silahlı Gardiyanları hapishanenin Devriye Güzergâhlarına ata.

buildtoolbar_popup_help_Guards_1	Gardiyanlar aracı, bölgelere Gardiyan atamana imkân tanır. Görevlendirilmiş bir gardiyan, atandığı bölgede rastgele olarak gezinir ve bu alanda, kapıları açmak gibi Gardiyan görevlerini yerine getirir.\n\n
buildtoolbar_popup_help_Guards_2	~Bir bölgeye yerleştirilmiş Köpek Eğiticisi sayısını artırmak için Sol Tıkla. Köpek Eğiticisini iptal etmek için Sağ Tıkla.\n\n
buildtoolbar_popup_help_Guards_3	^İpuçları
buildtoolbar_popup_help_Guards_4	- Eğer Mikro yönetimin kilidi açıksa, Yerleştirme Yöneticisine erişim elde edersin. Bu seçenekle, gardiyanların belirli alanlara ne zaman atanacağına dair bir çizelge oluşturursun. Örneğin, eğer Gardiyanlarının Öğün esnasında Kantinde görev almasını istiyorsan, Öğünün ile aynı hizaya gelen Planlayıcının her bir bloğuna tıklamalı, ardından zaman çubuğunu ilgili bloğa kaydırmalı ve ardından gardiyan atamak için Kantinine tıklamalısın.
buildtoolbar_popup_help_Guards_5	- Hapishanenin ihtiyaçlarını karşılayan karmaşık yerleştirme rutinleri oluşturmana izin veren 9 taneye kadar farklı Planlama zaman bloğunun yanı sıra varsayılan olarak Daima Aktif moduna sahipsin.
buildtoolbar_popup_help_Guards_6	- Köpek Eğiticilerini görevlendirirken belirli bir zaman bloğunu manuel olarak seçmezsen, Planlayıcı mevcut zamanı kullanır; Yerleştirme düzenini değiştirirken doğru zamanın seçili olduğundan emin ol!

buildtoolbar_popup_help_Dogs_1	Köpek Eğiticisi aracı, bölgelere Köpek Eğiticisi atamana imkân tanır. Görevlendirilmiş bir gardiyan, atandığı bölgede rastgele olarak gezinir ve bu alanda, kapıları açmak gibi Gardiyan görevlerini yerine getirir.\n\n
buildtoolbar_popup_help_Dogs_2	~Bir bölgeye yerleştirilmiş Köpek Eğiticisi sayısını artırmak için Sol Tıkla. Köpek Eğiticisini iptal etmek için Sağ Tıkla.\n\n
buildtoolbar_popup_help_Dogs_3	^İpuçları
buildtoolbar_popup_help_Dogs_4	- Eğer Mikro yönetimin kilidi açıksa, Yerleştirme Yöneticisine erişim elde edersin. Bu seçenekle, Köpek Eğiticilerinin belirli alanlara ne zaman atanacağına dair bir çizelge oluşturursun. Örneğin, eğer Köpek Eğiticilerinin Öğün esnasında Kantinde görev almasını istiyorsan, Öğünün ile aynı hizaya gelen Planlayıcının her bir bloğuna tıklamalı, ardından zaman çubuğunu ilgili bloğa kaydırmalı ve ardından Köpek Eğiticisi atamak için Kantinine tıklamalısın.
buildtoolbar_popup_help_Dogs_5	- Hapishanenin ihtiyaçlarını karşılayan karmaşık yerleştirme rutinleri oluşturmana izin veren 9 taneye kadar farklı Planlama zaman bloğunun yanı sıra varsayılan olarak Daima Aktif moduna sahipsin.
buildtoolbar_popup_help_Dogs_6	- Köpek Eğiticilerini görevlendirirken belirli bir zaman bloğunu manuel olarak seçmezsen, Planlayıcı mevcut zamanı kullanır; Yerleştirme düzenini değiştirirken doğru zamanın seçili olduğundan emin ol!

buildtoolbar_popup_help_ArmedGuards_1	Silahlı Gardiyanlar aracı, bölgelere Silahlı Gardiyan atamana imkân tanır. Görevlendirilmiş bir gardiyan, atandığı bölgede rastgele olarak gezinir ve bu alanda, kapıları açmak gibi Gardiyan görevlerini yerine getirir.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Bir bölgeye atanmış Gardiyan sayısını artırmak için Sol Tıkla. Gardiyanı iptal etmek için Sağ Tıkla.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^İpuçları
buildtoolbar_popup_help_ArmedGuards_4	- Eğer Mikro yönetimin kilidi açıksa, Yerleştirme Yöneticisine erişim elde edersin. Bu seçenekle, Silahlı Gardiyanların belirli alanlara ne zaman atanacağına dair bir çizelge oluşturursun. Örneğin, eğer Silahlı Gardiyanlarının Öğün esnasında Kantinde görev almasını istiyorsan, Öğünün ile aynı hizaya gelen Planlayıcının her bir bloğuna tıklamalı, ardından zaman çubuğunu ilgili bloğa kaydırmalı ve ardından Silahlı Gardiyan atamak için Kantinine tıklamalısın.
buildtoolbar_popup_help_ArmedGuards_5	- Hapishanenin ihtiyaçlarını karşılayan karmaşık yerleştirme rutinleri oluşturmana izin veren 9 taneye kadar farklı Planlama zaman bloğunun yanı sıra varsayılan olarak Daima Aktif moduna sahipsin.
buildtoolbar_popup_help_ArmedGuards_6	- Silahlı Gardiyanları görevlendirirken belirli bir zaman bloğunu manuel olarak seçmezsen, Planlayıcı mevcut zamanı kullanır; Yerleştirme düzenini değiştirirken doğru zamanın seçili olduğundan emin ol!

interfacedeployment_PrioritizeArea	Bölgeye Öncelik Ver (*X)
buildtoolbar_deployment_PrioritizeGuard	Atadığın gardiyanların, hapishanenin çeşitli bölgelerini korumaya öncelik vermesi için bu seçeneği kullan. Personelin yetersizse, gardiyanlar ilk olarak öncelik verdiğin alanları korumaya çalışacaktır. İki öncelik düzeyi vardır: "Yüksek" (>>) ve "Çok Yüksek" (>>>).

interfacedeployment_BluePatrol	Mavi Devriye
buildtoolbar_deployment_BluePatrol	Renkli devriye güzergâhları sayesinde güzergâhları kesiştirebilir ve onlara ayrı gardiyanlar atayabilirsin. Mavi bir devriye güzergâhı oluşturmak için tıkla ve sürükle. Bir devriye güzergâhına gardiyan eklemek için Gardiyan Ata düğmelerine tıkla.

interfacedeployment_MagentaPatrol	Pembe Devriye
buildtoolbar_deployment_MagentaPatrol	Renkli devriye güzergâhları sayesinde güzergâhları kesiştirebilir ve onlara ayrı gardiyanlar atayabilirsin. Pembe bir devriye güzergâhı oluşturmak için tıkla ve sürükle. Bir devriye güzergâhına gardiyan eklemek için Gardiyan Ata düğmelerine tıkla.

interfacedeployment_PrioritizePatrol	Devriyeye Öncelik Ver
buildtoolbar_deployment_PrioritizePatrol	Atadığın gardiyanların, hapishanenin çeşitli güzergâhlarını dolaşmaya öncelik vermesi için bu seçeneği kullan. Personelin yetersizse, gardiyanlar ilk olarak öncelik verdiğin güzergâhlarda bulunmaya çalışacaktır. İki öncelik düzeyi vardır: "Yüksek" (>>) ve "Çok Yüksek" (>>>).

buildtoolbar_popup_filter_title	Listeyi Filtrele
buiildtoolbar_popup_filter_toggle	Kapatıp açmak için düğmeye tıkla
buildtoolbar_popup_filter_default	Varsayılan
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	Sahip Olunanlar
buildtoolbar_popup_filter_costhighlow	Masraf (Yüksek-Düşük)
buildtoolbar_popup_filter_costlowhigh	Masraf (Düşük-Yüksek)
buildtoolbar_popup_filter_indooroutdoor	İç Mekân-Dış Mekân
buildtoolbar_popup_filter_outdoorindoor	Dış Mekân-İç Mekân
buildtoolbar_popup_filter_quantity	Sahip Olunan Miktar
buildtoolbar_popup_filter_byroom	Odaya Göre






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	ÇİFT TIKLAMA: Nesneyi Taşı

double_click_add_door	Kapı eklemek için sol tuşla çift tıkla

codex_option_bureaucracyresearched	Bürokrasi Araştırması
codex_tooltip_bureaucracyresearched	Yeni bir oyuna Bürokrasi ağacın tamamen araştırılmış olarak başla.

codex_option_jungle	Cangıl Arsa
codex_tooltip_jungle	Sık bir tropik ormana benzeyen bir arsayla başla.

codex_option_snowy	Karlı Arsa
codex_tooltip_snowy	Karla kaplı bir arsada başla.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Yıkıyor

action_Stretching	Egzersiz Yapıyor
action_PlayChess	Satranç Oynuyor


plant_tree_location	*X Konumuna Ağaç Dik

report_intake_cat_SuperMax	SüperMaks

interface_undo	Geri alma

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	Hapishane kaydedilemedi.
codex_changelog_next	İleri >
codex_changelog_prev	< Geri
codex_credits	Yapımda Emeği Geçenler

codex_options_screenshotmode	Ekran Görüntüsü Modu
codex_tooltip_screenshotmode	Ekran Görüntüsü Modu'ndayken [*K] tuşuna basılı tutup [*E] tuşuna basarak TÜM arayüz ve HUD öğelerini kapatabilirsin.
codex_sso_content_message	Paradox hesabın başarıyla açıldı!\n\nTeşekkür hediyesi olarak oyununa yeni Gardiyan Kuleleri eklendi. Bunları Nesneler menüsünde bulabilirsin.
codex_options_borderless_windowed	Çerçevesiz
codex_options_monitor	Monitör


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Görüntü Modu
codex_options_borderless_fullscreen	Çerçevesiz Tam Ekran
codex_options_display_monitor	Monitörü Göster
codex_options_windowed_resolution	Pencere Modu Çözünürlüğü

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Duvar (Art Deco)
material_blueWall	Duvar Şık (Mavi Çizgili)
material_burgundyWall	Duvar Şık (Bordo)
material_greenWall	Duvar Şık (Yeşil)
material_orientalWall	Duvar (Asya)
material_cushionedwall	Duvar (Dolgulu)

material_sandstone	Kumtaşı
material_limestonefloor	Kireçtaşı
material_blueCarpet	Halı (Mavi)
material_redCarpet	Halı (Kırmızı)
material_brownCarpet	Halı (Kahverengi)
material_paddedfloor	Dolgulu
material_grassstones	Çimenler ve Taşlar
material_grasscornerfloor	Köşe Çimen
material_grasscornerfloor1	Köşe Çimen
material_grasscornerfloor2	Köşe Çimen
material_grasscornerfloor3	Köşe Çimen
material_lunarfloor	Ay

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Ağaç (Korkunç)
object_cactustree	Ağaç (Kaktüs)
object_sakuratree	Ağaç (Sakura)
object_plantcactus	Bitki (Kaktüs)
object_tyrestack	Lastik yığını
object_lamp	Işık (Lamba)
object_bathroomSink	Banyo Lavabosu
object_bathroomHandDryer	El Kurutucu
object_chestOfDrawers	Şifonyer
object_woodenStool	Ahşap Tabure
object_woodenTable	Ahşap Masa
object_bucket	Kova
object_shortbookcase	Kitaplık (Kısa)
object_outdoorTable	Dış Mekân Masası
object_mooseHead	Geyik Başı
object_toiletSign	Tabela (Tuvalet)
object_rightArrowSign	Tabela (Sağ Ok)
object_leftArrowSign	Tabela (Sol Ok)
object_infirmarySign	Tabela (Revir)
object_canteenSign	Tabela (Kantin)
object_showerSign	Tabela (Duş)
object_armourySign	Tabela (Cephanelik)
object_jaildoorred	Hapis Kapısı (Kırmızı)
object_jaildoorgrey	Hapis Kapısı (Gri)
object_jaildoororange	Hapis Kapısı (Turuncu)
object_jaildoorYellow	Hapis Kapısı (Sarı)
object_jaildoorlargered	Hapis Kapısı (Kırmızı)
object_jaildoorlargegrey	Büyük Hapis Kapısı (Gri)
object_jaildoorlargeorange	Büyük Hapis Kapısı (Turuncu)
object_jaildoorlargeyellow	Büyük Hapis Kapısı (Sarı)
object_coatstand	Palto Askılığı
object_dogbowl	Köpek Tabağı
object_footbridge	Yaya Köprüsü
object_footbridgesteel	Çelik Yaya Köprüsü
object_footbridgeb	Yaya Köprüsü B
object_footbridgesteelb	Çelik Yaya Köprüsü B
object_windowclassy	Pencere Şık
object_windowclassyLarge	Pencere Şık (Büyük)
object_gravestone	Mezar Taşı
object_psychiatrist	Psikiyatrist
object_orderly	Hastabakıcı
object_rorschachTest	Rorschach Testi
object_anatomyModel	Anatomi Maketi
object_flipboard	Not Tahtası
object_medicineCabinetPsych	İlaç Dolabı
object_leatherchair	Deri Koltuk
object_leatherSofa	Deri Kanepe
object_parkbench	Bank (Park)
object_fencegateguard	Çit Kapısı (Gardiyan)
object_oaktable	Masa (Meşe)
object_oakbench	Bank (Meşe)
object_BoomBoxRoundHouse	Seyyar Teyp

object_classic	Klasik
object_dalmation	Dalmaçyalı
object_husky	Husky
object_companion	Yoldaş
object_cat	Kedi
object_direwoof	Toraman

equipment_fountainPen	Dolmakalem
equipment_goldPocketWatch	Altın Cep Saati
equipment_sedativeShot	Yatıştırıcı İğne (Şırınga)
equipment_sedativesyringe	Yatıştırıcı (Şırınga)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Hapishaneye 1920'lerin mimari havasını vermek için Art Deco Duvarlar inşa et.
buildtoolbar_popup_mat_blueWall	Temellerin üzerine şık duvarlar inşa ederek yeni personel alanları veya odalar yap.
buildtoolbar_popup_mat_burgundywall	Temellerin üzerine şık duvarlar inşa ederek yeni personel alanları veya odalar yap.
buildtoolbar_popup_mat_greenwall	Temellerin üzerine şık duvarlar inşa ederek yeni personel alanları veya odalar yap.
buildtoolbar_popup_mat_orientalwall	Asya tarzı duvarlar inşa ederek hapishanede antik Japonya atmosferine sahip alanlar oluştur.
buildtoolbar_popup_mat_cushionedwall	Temellerin üstüne duvar bölümleri inşa ederek zengin görünümlü, deri kaplamalı yeni alanlar veya odalar yap.
buildtoolbar_popup_mat_sandstone	Dış mekanlara kumtaşı karolar döşe.
buildtoolbar_popup_mat_limestonefloor	Zemin kireçtaşı sarısı.
buildtoolbar_popup_mat_blueCarpet	Konforlu halı ser. Personel alanları için ideal.
buildtoolbar_popup_mat_redCarpet	Konforlu halı ser. Personel alanları için ideal.
buildtoolbar_popup_mat_brownCarpet	Konforlu halı ser. Personel alanları için ideal.
buildtoolbar_popup_mat_paddedfloor	Dolgulu duvarlarla birlikte Suç İşleyebilen Deli mahkumlar için yumuşak duvarlı ve zeminli bir hücre oluşturur.
buildtoolbar_popup_mat_grassstones	Köşe taşları olan çimenlik bir alan.
buildtoolbar_popup_mat_grassscornerfloor	Topraklı, köşe bir çimenlik. Dik açılı yollar yapmak için ideal.
buildtoolbar_popup_mat_lunarfloor	Dünyadışı bir görünüşü olan, sert, kayalık bir zemin.
buildtoolbar_popup_obj_spookytree	Ürkütücü, yaşlı bir ağaç.
buildtoolbar_popup_obj_cactustree	Kurak alanlara uygun bir görünüşü var.
buildtoolbar_popup_obj_sakuratree	Pembe çiçekleri olan çok güzel bir kiraz ağacı.
buildtoolbar_popup_obj_plant	Sevimli bir saksı bitkisi.
buildtoolbar_popup_obj_plantcactus	İç mekanda bakılan saksı kaktüsü.
buildtoolbar_popup_obj_tyrestack	Mahkumların ve personelin etrafından dolaşacağı bir duvar işlevi görür.
buildtoolbar_popup_obj_lamp	Ayaklı, süslemeli bir lamba. Ofisler ve personel alanları için ideal.
buildtoolbar_popup_obj_bathroomSink	Her hijyenik tuvalete lazım.
buildtoolbar_popup_obj_bathroomHandDryer	Banyo Lavabosu'na çok yakışır.
buildtoolbar_popup_obj_chestOfDrawers	Ahşap bir şifonyer.
buildtoolbar_popup_obj_woodenStool	Ahşap Masa'ya çok yakışır.
buildtoolbar_popup_obj_woodenTable	Ahşap Tabure'ye çok yakışır.
buildtoolbar_popup_obj_bucket	Kova işte.
buildtoolbar_popup_obj_shortbookcase	Kitaplar için daha kısa bir kitaplık.
buildtoolbar_popup_obj_outdoorTable	Mahkumların dışarıda oturup yemek yemesi için.
buildtoolbar_popup_obj_mooseHead	El yapımı, bir plakaya monte edilmiş güzel bir geyik kafası.
buildtoolbar_popup_obj_toiletSign	Üzerinde tuvalet simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_rightArrowSign	Sağa işaret eden bir duvar tabelası.
buildtoolbar_popup_obj_leftArrowSign	Sola işaret eden bir duvar tabelası.
buildtoolbar_popup_obj_infirmarySign	Üzerinde revir simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_canteenSign	Üzerinde kantin simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_showerSign	Üzerinde duş simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_armourySign	Üzerinde cephanelik simgesi olan bir duvar tabelası.
buildtoolbar_popup_obj_jaildoorred	Yüksek Güvenlikli hücrelerini işaretleyebilmen için renkli bir hapis kapısı.
buildtoolbar_popup_obj_jaildoorgrey	Düşük Güvenlikli hücrelerini işaretleyebilmen için renkli bir hapis kapısı.
buildtoolbar_popup_obj_jaildoororange	Orta Güvenlikli hücrelerini işaretleyebilmen için renkli bir hapis kapısı.
buildtoolbar_popup_obj_jaildooryellow	Koruyucu Gözaltı hücrelerini işaretleyebilmen için renkli bir hapis kapısı.
buildtoolbar_popup_obj_jaildoorlargered	Yüksek Güvenlikli hücrelerini işaretleyebilmen için renkli, büyük bir hapis kapısı.
buildtoolbar_popup_obj_jaildoorlargegrey	Düşük Güvenlikli hücrelerini işaretleyebilmen için renkli, büyük bir hapis kapısı.
buildtoolbar_popup_obj_jaildoorlargeorange	Orta Güvenlikli hücrelerini işaretleyebilmen için renkli, büyük bir hapis kapısı.
buildtoolbar_popup_obj_jaildoorlargeYellow	Koruyucu Gözaltı hücrelerini işaretleyebilmen için renkli, büyük bir hapis kapısı.
buildtoolbar_popup_obj_coatstand	Personelin şapkalarını ve paltolarını asabileceği bir yer.
buildtoolbar_popup_obj_dogbowl	Yorgun bekçi köpekleri için su ve mama konur.\nKöpeğin dayanıklılığını az miktarda arttırır.
buildtoolbar_popup_obj_secretdoor	Kitaplık süsü verilmiş, personelin geçmesi için kayarak açılan gizli bir kapı.
buildtoolbar_popup_obj_parkbench	Dış mekan için park bankı.
buildtoolbar_popup_obj_fencegateguard	Çitlere çok yakışan ve sadece gardiyanların açabildiği bir Kapı çeşidi.
buildtoolbar_popup_obj_oaktable	Üzerinde yemek yemek için.
buildtoolbar_popup_obj_oakbench	Üzerine oturmak için. Meşe Masa'ya çok yakışır.

buildtoolbar_popup_obj_classic	İlk Bekçi Köpeği. Yaşlı ama tecrübeli.
buildtoolbar_popup_obj_dalmation	Aslında çiftlikte yaşıyormuş ama artık firar önlemede çalışıyor.
buildtoolbar_popup_obj_husky	Karda yürüyen bir firari için ölümcül bir tuzak.
buildtoolbar_popup_obj_companion	Gardiyanın en iyi dostu.
buildtoolbar_popup_obj_cat	Herkes köpek sevecek diye bir şey yok.
