
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Yeni
interface_action_doormodelockedopen	Kilit açık
interface_action_switchon	Aç
interface_action_switchoff	Kapat
interface_action_sellobject	Nesneyi Sat
interface_action_dismiss	İşten Çıkar
interface_action_connect	Bağla
interface_action_clearconnections	Bağlantıları Temizle
interface_action_servoopen	Harekete Geçtiğinde Açıl
interface_action_servoclose	Harekete Geçtiğinde Kapan
interface_action_follow	Takip Et
interface_action_rapsheet	Sabıka Kaydını Göster

interface_contents_container	İçerik: *X
interface_contents_stack	İçerik: *X x *Y

interface_skip	ATLA

interface_error_riotmove	Girilemiyor: İsyan

interface_foundationsinprogress	Temel atılıyor
riot_underway	İSYAN SÜRÜYOR
riot_status_prisoners	*X mahkum isyan ediyor
shakedown_underway	HÜCRE ARAMASI SÜRÜYOR
shakedown_found	Bulunan:

gameover_caption	Devam etmek için ESC'ye bas

sector_jobs_max	Maks İş *X
sector_jobs_qualified	Vasıflı Mahkumlar: *X
sector_jobs_required	Gereken: *X
sector_noaccess	ERİŞİM YOK
sector_insecure	EMNİYETSİZ


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title	Donanım Uyumluluğu Testi
hardware_compat_message	İzninle bilgisayarın donanımı hakkında bilgi toplamak istiyoruz.\n\nBu bilgiler tamamıyla gizli tutulacak ve Prison Architect'in çeşitli bilgisayar donanımlarında desteklenmesini sağlamamız için bize yardımcı olacak.
hardware_compat_accept	Kabul Et
hardware_compat_decline	Reddet

connectionmenu_connect	Bağla
connectionmenu_disconnect	Bağlantıyı Kes
connectionmenu_clear	Temizle
connectionmenu_done	Tamam


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title	İnşa Et
buildtoolbar_reports	Raporlar
buildtoolbar_bangup	Hücreye Tık
buildtoolbar_lockdown	Tecrit Hücresine Tık
buildtoolbar_shakedown	Hücre Araması
buildtoolbar_weaponsfree	Atış Serbest

buildtoolbar_tooltip_reports	Mahkumların, personelin, gelirin, hibelerin ve daha fazlası hakkında bilgiyi görmek için raporlar penceresini aç.
buildtoolbar_tooltip_bangup	İstekli olan tüm mahkumları hücrelerine geri gönder. Eğer çok uzun süre mahkumları burada kilitli tutarsan çok kızgın olacaklardır.
buildtoolbar_tooltip_lockdown	Hapishanedeki tüm kapıları hemen kapat.
buildtoolbar_tooltip_shakedown	Tüm Hücreleri derhal arama emri ver. Bu biraz zaman alacak ve mahkumları çok rahatsız edecek.
buildtoolbar_tooltip_weaponsfree	Gardiyanlarına ölümcül güç kullanma yetkisi verir. Keskin nişancıların artık bir hedefe ateş ederken öncesinde uyarı atışı atmayacak.
buildtoolbar_tooltip_nostrike	Personel Grevleri esnasında mümkün değil.

buildtoolbar_cost	Maliyet: $*C
buildtoolbar_cost_sqrft	Maliyet: $*C /kare
buildtoolbar_wages	Maaş: $*W /gün
buildtoolbar_upkeep	Genel Bakım: Günde $*W
buildtoolbar_outdoor	Sadece dışarısı
buildtoolbar_indoor	Sadece içerisi
buildtoolbar_walk_speed	Yürüme Hızı: *S
buildtoolbar_walk_speed_slow	Yavaş
buildtoolbar_walk_speed_norm	Normal
buildtoolbar_walk_speed_fast	Hızlı
buildtoolbar_locked	KİLİTLİ
buildtoolbar_locked_research	KİLİTLİ (*B ihtiyacın var)
buildtoolbar_locked_administrator	KİLİTLİ (*B gerekli)
buildtoolbar_room	Oda

buildtoolbar_electrical	- Elektrik
buildtoolbar_highpower	- Yüksek Güç
buildtoolbar_water	- Su Bağlantısı Gerektirir
buildtoolbar_wired	- Telli (diğer Telli nesnelere bağlanır)
buildtoolbar_modcontent	Mod İçeriği

buildtoolbar_popup_foundations	Hapishaneni şekillendirmek için binaları Oluştur/Yık.
buildtoolbar_popup_construction	Farklı türden zemin ve duvarlar.
buildtoolbar_popup_planning	Çalışanlar plan dışına çıkacak korkusu olmadan planlama yap.
buildtoolbar_popup_designation	Hapishane alanlarını belirli işlevler için belirle.
buildtoolbar_popup_objects	Hapishanene kullanışlı öğeler yerleştir.
buildtoolbar_popup_overlays	Hapishane yerleşimindeki zayıflıkları görsel olarak tespit et.
buildtoolbar_popup_utilities	Sıhhi tesisat ve elektrik sistemleri.
buildtoolbar_popup_staff	Hapishaneyi işler vaziyette tutmak için gerekli kişileri işe al.
buildtoolbar_popup_deployment	Hapishanenin alanlarına personel ata.
buildtoolbar_popup_logistics	Mahkumları hapishanede çalışmak üzere görevlendir. Ayrıca kantin ve çamaşır atamalarını elle kontrol etme.
buildtoolbar_popup_research	Hapishanen için yeni imkanların kilidini aç
buildtoolbar_popup_emergencies	Eğer işler daha kötüye gidiyorsa acil servisi ara.
buildtoolbar_popup_clone	Mevcut yapılarını kopyala ve yapıştır.
buildtoolbar_popup_properties	Bu lanet şeyi öğren.
buildtoolbar_popup_contraband	Hapishanedeki kaçak malların kaynaklarını ve son ele geçirilen tüm kaçak malları gösterir. Ayrıca Gizli Muhbirlerini ve onların bilgilerini gösterir.
buildtoolbar_popup_grading	Dört temel ölçütle hapishanenin genel derecelendirmesine bak - Cezalandırma, Düzen, Güvenlik ve Sağlık. Ayrıca hapishanendeki yeniden suç işleme oranını da gösterir.
buildtoolbar_popup_prefabs	Cezaevinin mevcut bölümlerini kopyala ve yapıştır ya da önceden hazırlanmış odaları yerleştir.
buildtoolbar_popup_room_cell	Mahkumların yaşayacağı yer.
buildtoolbar_popup_room_holdingcell	Mahkumlar için hücre bulunana kadar bu odaya yerleştirilirler.
buildtoolbar_popup_room_solitary	En kötünün en kötüsü için bir izole hapis biçimi.
buildtoolbar_popup_room_dormitory	Çok sayıda mahkum için değişken boyutlu bir oda. Koğuş ne kadar büyük olursa, içerisinde o kadar fazla mahkum kalabilir.
buildtoolbar_popup_room_familycell	Bebeği olan mahkumlarının yaşadığı yer.
buildtoolbar_popup_room_sharedcell	Çok sayıda mahkumun kalabileceği çok kişilik bir hücre. En fazla 8 adet mahkum kalabilir.
buildtoolbar_popup_room_canteen	Mahkumlarının öğleden sonra çay içebilecekleri bir yer.
buildtoolbar_popup_room_kitchen	Mahkumlarına yemek hazırlayan aşçıların alanı.
buildtoolbar_popup_room_shower	Mahkumlarının bitlerden arınmış ve tertemiz tutulması için kullanılır.
buildtoolbar_popup_room_yard	Mahkumlarının günde birkaç saat keskin nişancı kulelerin gözetimi altında güneşlenmelerine izin ver.
buildtoolbar_popup_room_storage	Hapishane personelinin ihtiyacı olan malzemeyi tutmak için belirlenmiş alan.
buildtoolbar_popup_room_deliveries	Malların, malzemelerin ve mahkumların indirildiği yer.
buildtoolbar_popup_room_garbage	Atığının toplandığı yer.
buildtoolbar_popup_room_execution	Mahkumlarını ölüme gönderdiğin yer.
buildtoolbar_popup_room_workshop	Sana iskele levhaları yaparken can sıkıntısından ölmeleri için mahkumlarını gönderdiğin yer.
buildtoolbar_popup_room_security	Memurların için ofis.
buildtoolbar_popup_room_office	İdari personelinin çalışma alanı.
buildtoolbar_popup_room_medicalward	Tıbbi personelinin çalışma alanı. Bilinci kapalı mahkumların iyileşmesi daha uzun sürer ancak merak etme, emin ellerdeler.
buildtoolbar_popup_room_morgue	Ölen mahkumları ve personeli gönderdiğin yer.
buildtoolbar_popup_room_commonroom	Mahkumlarının biraz dinlenmelerine izin vereceğin yer.
buildtoolbar_popup_room_kennel	Köpeklerinin yaşadığı yer.
buildtoolbar_popup_room_chapel	Bürokratik heyetin bir araya gelip mahkumların dini ihtiyaçlarına çözüm bulduğunda ne olur? Bir 'Çoklu İnanç Dua Odası' olur. Biz bunu Şapel olarak adlandırıyoruz.
buildtoolbar_popup_room_paroleroom	Mahkumların, cezalarının %50 ve %75'ini çektikten sonra şartlı tahliye edilmeyi hak ederler. Onların kaderlerine bu odada Hapishane Müdürü ve Şef karar verecek.\n\nNb Ek güvenlik tavsiye edilir. Şartlı tahliyeleri reddedildiğinde mahkumların çok sinirlendikleri bilinmektedir.
buildtoolbar_popup_room_library	Hapishanene ülke çapından kutularca atılmış ve kullanılmış kitap gönderilecek. Mahkumlar bu kitapları raflara dizmeli.
buildtoolbar_popup_room_intake	Mahkumların ilk geldiklerinde götürüldükleri yer.
buildtoolbar_popup_room_nursery	Bebekleri olan mahkumlar için aktivite odası.
buildtoolbar_popup_room_shop	Mağazalar, mahkumlarının güçlükle kazandıkları parayı lüks ihtiyaçlarını karşılayabilmek için harcayabilecekleri yerlerdir. Hijyen, yiyecek ve eğlence konusunda da faydalı olabilir. Satış gelirinin yanı sıra, satılan tüm ürünler için her gün komisyon kazanacaksın.

buildtoolbar_popup_obj_bed	Çok yumuşak değil, çok sert de değil, sadece doğru olanı. Peki, aslında, çok sert ve çok küçük.
buildtoolbar_popup_obj_toilet	Eğer tüm bu kaçık şeylere inanıyorsan, bu temel bir insan hakkı.
buildtoolbar_popup_obj_table	Bir sandalye ile mükemmel gider.
buildtoolbar_popup_obj_chair	Bir masa ile ışıl ışıl gider.
buildtoolbar_popup_obj_bench	Üzerine oturmak için.
buildtoolbar_popup_obj_electricchair	Adaletin 2000V'sini vermek için.
buildtoolbar_popup_obj_jaildoor	Mahkumlarını olmaları gereken yerde tutar.
buildtoolbar_popup_obj_jaildoorlarge	Çok sayıda mahkumunu olmaları gereken yerde tutar.
buildtoolbar_popup_obj_door	Basit bir kapı.
buildtoolbar_popup_obj_solitarydoor	En güçlü mahkumların bile kaçmalarını önleyecek sağlam bir kapı.
buildtoolbar_popup_obj_staffdoor	Kilitli bir kapıyı sadece Gardiyanlar değil, herhangi bir personel de açabilir.
buildtoolbar_popup_obj_window	Güneşi görebilmek için.
buildtoolbar_popup_obj_windowlarge	Daha fazla güneş görebilmek için.
buildtoolbar_popup_obj_tree	Küresel ısınmaya karşı atılacak adımlar bizim sorumluluğumuzda.
buildtoolbar_popup_obj_light	Mahkumları gün boyu görebilmeni sağlar.
buildtoolbar_popup_obj_cooker	Mahkumlarına sıcak yemek ile lüks hayatı yaşat.
buildtoolbar_popup_obj_fridge	Gıda stokunu çürümekten korur..
buildtoolbar_popup_obj_bin	Kaçak mallar söz konusu olduğunda düzenlilik önemlidir.
buildtoolbar_popup_obj_sink	Tüm çalışanların ellerini yıkamaları gerekmektedir. Sıcak suya bağlanırsa daha hızlı çalışacaktır.
buildtoolbar_popup_obj_servingtable	Mahkumlarına yemek servisi yap.
buildtoolbar_popup_obj_officedesk	Personelinin çok not tutması gerekli. Bunun için onlara parlak bir masa ver.
buildtoolbar_popup_obj_filingcabinet	Personelinin yazdığı şeyleri derli toplu tutabilmesi gerekli.
buildtoolbar_popup_obj_morgueslab	Mezara göndermeden önce ölülerin huzurlu bir yerde kalmasını sağla.
buildtoolbar_popup_obj_drain	Zeminden suyu temizle.
buildtoolbar_popup_obj_sprinkler	Bir yangın çıkınca o alana otomatik olarak su püskürtür.
buildtoolbar_popup_obj_metaldetector	Bu cihazdan geçen mahkumlarda kaçak malları bulur. Kaçak malı almak için yakınlarında bir gardiyan gerekir.
buildtoolbar_popup_obj_weightsbench	Mahkumlarının egzersiz yapmalarına izin vererek onları mutlu tut.
buildtoolbar_popup_obj_tv	Zihin uyuşturan bir sıradanlık ile mahkumlarını sakinleştir. Mahkumların TV karşısında oturabilmesi için bir alana ihtiyaç duyar.
buildtoolbar_popup_obj_largetv	Çoğu mahkumunun beyin çürümesi deneyimlerini paylaşmalarına izin ver. Mahkumların TV karşısında oturabilmesi için bir alana ihtiyaç duyar.
buildtoolbar_popup_obj_pooltable	Bilardo ile hapishanenin monotonluğuna son ver.
buildtoolbar_popup_obj_dismantleobject	Hapishanenden bir nesneyi kaldır.
buildtoolbar_popup_obj_altar	Dualarını doğrudan yüksek seçim gücüne gönderir.
buildtoolbar_popup_obj_pews	İnançlı olana uygun. En sert, doldurulmamış tahtadan yapılmış.
buildtoolbar_popup_obj_prayermat	Mahkumların dua ederken onları kirli zeminden korur.

buildtoolbar_popup_staff_guard	Mahkumlarını kontrol altında ve beladan uzak tutmak için kullanılır.
buildtoolbar_popup_staff_armedguard	Pompalı taşıyan bu arkadaşa mahkumlar saldırmadan önce iki kez düşünecek.\n\nNot: Her silahlı gardiyanın Cephanelik'te kendine has bir dolabı olması gerekir.
buildtoolbar_popup_staff_doctor	Gardiyan da olsa mahkum da olsa yakınındaki tüm yaralı kişileri otomatik olarak iyileştirir.
buildtoolbar_popup_staff_cook	Hazırladığı yemeklerle mahkumlarının karnını doyurur.
buildtoolbar_popup_staff_gardener	Hapishanenin zeminini güzel ve düzenli tutar.
buildtoolbar_popup_staff_janitor	Hapishanenin içini güzel ve düzenli tutar. Ayrıca çamaşırhaneye yardım edebilir.

