
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Nieuw
interfaceplanning_zone5	Zone 5
interfaceplanning_zone6	Zone 6
interfaceplanning_zone7	Zone 7
interfaceplanning_zone8	Zone 8
interfaceplanning_zone9	Zone 9

interfacecontraband_source	Gevaren
interfacecontraband_day	-24 uur
interfacecontraband_week	-7 dagen
interfacecontraband_alltime	-30 dagen
interfacecontraband_stolenfrom	Gestolen van
interfacecontraband_informants	Informanten
interfacecontraband_gangs	Bendes

interfacecallout_fireengine	Brandweerwagen
interfacecallout_riotpolice	Oproerpolitie
interfacecallout_armedpolice	Gewapende politie
interfacecallout_paramedics	Paramedici
interfacecallout_soldiers	Soldaten

interfaceclone_copy	Kopiëren
interfaceclone_paste	Plakken
interfaceclone_cancel	Snel bouwen annuleren
interfaceclone_clone	Klonen

interfacetopbar_todo	Takenlijst
interfacetopbar_balance	Bank *B
interfacetopbar_budget	Cashflow *C
interfacetopbar_income	Inkomsten *I
interfacetopbar_expenses	Kosten *C
interfacetopbar_day	DAG *D

interfacetopbar_title_balance	Saldo
interfacetopbar_title_budget	Dagelijkse cashflow
interfacetopbar_title_cctv	Bewakingscamera's
interfacetopbar_title_day	Dag
interfacetopbar_title_prisoners	Gevangenen
interfacetopbar_title_guards	Bewakers
interfacetopbar_title_tension	Gevaar
interfacetopbar_title_weathericon	Weer

interfacetopbar_tooltip_balance	Het bedrag dat je op de bank hebt staan.\n\nKlik om meer geld in te zamelen met subsidies.
interfacetopbar_tooltip_budget	Het bedrag dat je elke dag ontvangt, gebaseerd op je huidige inkomsten en onkosten.\n\nKlik om toegang te krijgen tot een gedetailleerd financieel overzicht van inkomsten en onkosten.
interfacetopbar_tooltip_cctv	Het aantal bewakingscamera's en monitors op dit moment.
interfacetopbar_tooltip_day	Hoe lang je je gevangenis al beheert.
interfacetopbar_tooltip_prisoners	Het aantal gevangenen op dit moment en het maximale aantal dat in je gevangenis past.
interfacetopbar_tooltip_guards	Het aantal bewakers dat tot je beschikking staat.
interfacetopbar_tooltip_tension	Het algehele gevarenniveau van je gevangenis volgens het hoofd beveiliging.
interfacetopbar_tooltip_weathericon	Het weer en de temperatuur op dit moment.

interfacetopbar_tooltip_recenttransactions	Recente transacties

interfacetopbar_tooltip_gametime	Totale speelduur: *X uur, *Y minuten, *Z seconden

interfacetopbar_tooltip_totalguards	Totaal aantal bewakers: *X
interfacetopbar_tooltip_guardincapacitated	Uitgeschakeld: *X
interfacetopbar_tooltip_guardstationed	Ingezet: *X
interfacetopbar_tooltip_guardpatrolling	Op patrouille: *X
interfacetopbar_tooltip_guardavailable	Beschikbaar: *X
interfacetopbar_tooltip_guardresting	Rusten uit: *X
interfacetopbar_tooltip_guardonbreak	*X hebben pauze
interfacetopbar_tooltip_guardwantsabreak	(*X hebben pauze nodig)
interfacetopbar_tooltip_guardactive	(reageren op incidenten: : *X)
interfacetopbar_tooltip_guarddoingjob	Aan het werk: : *X
interfacetopbar_tooltip_idle	(Doen niets: : *X)
interfacetopbar_tooltip_guardsstriking	*X STAKEN

interfacetopbar_tooltip_regularguards	Er zijn *X gewone bewakers
interfacetopbar_tooltip_armedguards	Er zijn *X gewapende bewakers
interfacetopbar_tooltip_dogs	Er zijn *X hondengeleiders
interfacetopbar_tooltip_snipers	Er zijn *X scherpschutters

interfacetopbar_unlimitedfunds	ONBEPERKT GELD
interfacetopbar_cheatsenabled	CHEATS INGESCHAKELD

interfacetopbar_budget_moneyin	Inkomsten: $*M /dag
interfacetopbar_budget_moneyout	Uitgaven: $*M /dag
interfacetopbar_budget_cantgonegative	Je kunt geen negatieve cashflow hebben (oftewel: meer onkosten dan inkomsten) tot je een accountant hebt aangenomen die je financiën controleert.

interfacetopbar_prisoners_types	Je hebt momenteel *X gevangenen:
interfacetopbar_prisoners_capacity	Maximale veilige capaciteit: *X
interfacetopbar_prisonercells_shared	Capaciteit gemeenschappelijke cellen: *X
interfacetopbar_prisonercells_unlocked	Capaciteit vrije zones: *X
interfacetopbar_prisonercells_minseconly	Minimum capaciteit: *X
interfacetopbar_prisonercells_medseconly	Gemiddelde capaciteit: *X
interfacetopbar_prisonercells_maxseconly	Maximum capaciteit: *X
interfacetopbar_prisonercells_protectedonly	Beveiligingscapaciteit: *X
interfacetopbar_prisonercells_supermaxonly	Capaciteit SuperMax: *X
interfacetopbar_prisonercells_deathrowonly	Capaciteit dodencellen: *X
interfacetopbar_prisonercells_staffonly	Niet beschikbaar: *X
interfacetopbar_prisoners_nocells	*X gevangenen kunnen geen cel krijgen
interfacetopbar_prisonercells_parents	Bovenliggende capaciteit: *X

interfacetopbar_cctv_current	Er draaien momenteel *C bewakingscamera's
interfacetopbar_cctv_cap	Ruimte voor *C bewakingscamera's

interfacetopbar_tension_currentlevel	Het gevarenniveau is *X
interfacetopbar_tension_currentlevellow	Laag
interfacetopbar_tension_currentlevelmedium	Gemiddeld
interfacetopbar_tension_currentlevelhigh	Hoog
interfacetopbar_tension_increasing	en neemt toe
interfacetopbar_tension_decreasing	en neemt af
interfacetopbar_tension_description	FACTOREN:
interfacetopbar_tension_happyprisoners	- *X gevangenen zeggen dat ze goed behandeld worden
interfacetopbar_tension_unhappyprisoners	+ *X gevangenen hebben serieuze klachten
interfacetopbar_tension_lockedupprisoners	+ *X gevangenen zitten vastgebonden in hun cel of in eenzame opsluiting
interfacetopbar_tension_riotingprisoners	+ *X gevangenen zijn aan het rellen
interfacetopbar_tension_wellfedprisoners	- *X gevangenen krijgen goed te eten
interfacetopbar_tension_suppressedprisoners	= *X gevangenen worden onderdrukt (volgzaam)
interfacetopbar_tension_activeriotguards	+ *X ME-agenten zijn aanwezig
interfacetopbar_tension_activearmedguards	+ *X gewapende bewakers zijn in dienst
interfacetopbar_tension_recentdeaths	+ *X mensen zijn onlangs vermoord
interfacetopbar_tension_recentsearches	+ *X gevangenen zijn onlangs onnodig gefouilleerd
interfacetopbar_tension_angrygangmembers	+ *X BENDELEDEN ZIJN WOEDEND (omdat de leider wordt gestraft)
interfacetopbar_tension_recentpunishments	= (AFSCHRIKMIDDEL) *X straffen zijn onlangs uitgedeeld
interfacetopbar_tension_recentcalmed	- *X gevangenen zijn onlangs gekalmeerd
interfacetopbar_tension_staffmorale_low	+ Moreel van personeel is laag
interfacetopbar_tension_staffmorale_high	- Moreel van personeel is hoog
interfacetopbar_tension_staffonstrike	+ Je personeel staakt
interfacetopbar_tension_dangerzone	+ GEVAARZONE!

interfacetopbar_staffmorale_title	MOREEL PERSONEEL
interfacetopbar_staffmorale_happystaff	+ *X personeelsleden zijn gelukkig op het werk
interfacetopbar_staffmorale_unhappystaff	- *X personeelsleden hebben ernstige klachten
interfacetopbar_staffmorale_injuredstaff	- *X personeelsleden zijn verwond
interfacetopbar_staffmorale_staffdeaths	- *X personeelsleden zijn overleden tijdens hun dienst
interfacetopbar_staffmorale_staffpayverygood	+ Het personeel wordt zeer goed betaald
interfacetopbar_staffmorale_staffpaygood	+ Het personeel wordt goed betaald
interfacetopbar_staffmorale_staffpaybad	- Het personeel wordt niet genoeg betaald

interfacecontrol_mainmenu	Hoofdmenu (Esc)
interfacecontrol_mainmenu_tooltip	Wisselt tussen opties in het hoofdmenu (nieuw, laden, opslaan, afsluiten, enzovoorts)
interfacecontrol_todo	Takenlijst
interfacecontrol_todo_tooltip	Door taken bladeren
interfacecontrol_research	Bureaucratie
interfacecontrol_research_tooltip	Opent het scherm 'Bureaucratie' waar je je administrateurs de opdracht kunt geven om nieuwe voorwerpen, personeelsleden en faciliteiten te ontgrendelen.
interfacecontrol_grading	Gevangeniscijfers
interfacecontrol_grading_tooltip	Opent het scherm 'Gevangeniscijfers'. Hier vind je de algehele waardering van je gevangenis.

interface_confirmlandbuy	Weet je zeker dat je dit stuk land wilt kopen voor $ *X?
interface_loadconfirm	Weet je zeker dat je deze kaart wilt laden? Alle voortgang die niet is opgeslagen, zal verloren gaan.
interface_saveconfirm	Weet je zeker dat je het spel wilt opslaan met deze bestandsnaam? Bestaande gegevens worden overschreven.

interface_landbuylabel	*Xm x *Ym. Totale grootte *A vierkante meter. *C

interface_action_dismantle	Ontmantelen
interface_action_dump	Lozen
interface_action_repair	Repareren
interface_action_medicalbay	Ziekenboeg
interface_action_search	Fouilleren
interface_action_searchcell	Cel doorzoeken
interface_action_searchcellblock	Celblok doorzoeken
interface_action_searchtoilets	Toiletten zoeken
interface_action_sack	Ontslaan
interface_action_dooropen	Open deur
interface_action_doormodenormal	Status van deur: Normaal
interface_action_doormodelockedshut	Gesloten
interface_action_doormodelockedopen	Open
interface_action_switchon	Inschakelen
interface_action_switchoff	Uitschakelen
interface_action_sellobject	Voorwerp verkopen
interface_action_dismiss	Wegsturen
interface_action_connect	Verbinden
interface_action_clearconnections	Verbindingen wissen
interface_action_servoopen	Openen na activatie
interface_action_servoclose	Sluiten na activatie
interface_action_follow	Volgen
interface_action_rapsheet	Strafblad tonen

interface_contents_container	Inhoud: *X
interface_contents_stack	Inhoud: *X x *Y

interface_skip	OVERSLAAN

interface_error_riotmove	Kan niet worden gestart: Rel

interface_foundationsinprogress	Fundering wordt aangelegd
riot_underway	ER BREKEN RELLEN UIT
riot_status_prisoners	*X gevangenen zijn aan het rellen
shakedown_underway	GRONDIG ONDERZOEK GAANDE
shakedown_found	Gevonden:

gameover_caption	Druk op ESC om door te gaan

sector_jobs_max	Max. banen: *X
sector_jobs_qualified	Gekwalificeerde gevangenen: *X
sector_jobs_required	(Vereist: *X)
sector_noaccess	GEEN TOEGANG
sector_insecure	ONVEILIG


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title	Compatibiliteitstest hardware
hardware_compat_message	We willen graag je toestemming om de volgende gegevens over de hardware van je computer te verzamelen.\n\nDeze informatie is volkomen anoniem en zorgt ervoor dat wij Prison Architect voor zoveel mogelijk soorten hardware kunnen ontwikkelen.\n\nAlvast bedankt!
hardware_compat_accept	Accepteren
hardware_compat_decline	Weigeren

connectionmenu_connect	Verbinden
connectionmenu_disconnect	Verbinding verbreken
connectionmenu_clear	Leeg
connectionmenu_done	Klaar


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title	Gebouwen
buildtoolbar_reports	Verslagen
buildtoolbar_bangup	Terug naar cel
buildtoolbar_lockdown	Opsluiting
buildtoolbar_shakedown	Grondig onderzoek
buildtoolbar_weaponsfree	Dodelijk geweld

buildtoolbar_tooltip_reports	Open het scherm 'Verslagen' voor informatie over je gevangenen, personeel, inkomsten, subsidies en meer.
buildtoolbar_tooltip_bangup	Stuur alle (bereidwillige) gevangenen terug naar hun cellen. Je gevangenen worden woedend als je ze te lang opsluit in hun cellen.
buildtoolbar_tooltip_lockdown	Vergrendel meteen alle sloten in de gevangenis.
buildtoolbar_tooltip_shakedown	Laat alle cellen grondig doorzoeken. Dit kan even duren en de gevangenen vinden het ontzettend irritant.
buildtoolbar_tooltip_weaponsfree	Geeft je bewakers toestemming om dodelijk geweld te gebruiken. Scherpschutters geven geen waarschuwingsschoten meer voordat ze hun doelwit neerschieten.
buildtoolbar_tooltip_nostrike	Niet beschikbaar tijdens staking personeel.

buildtoolbar_cost	Kosten: $*C
buildtoolbar_cost_sqrft	Kosten: $*C /vierkante meter
buildtoolbar_wages	Lonen: $*W per dag
buildtoolbar_upkeep	Onderhoud: $*W per dag
buildtoolbar_outdoor	Alleen buiten
buildtoolbar_indoor	Alleen binnen
buildtoolbar_walk_speed	Loopsnelheid: *S
buildtoolbar_walk_speed_slow	Langzaam
buildtoolbar_walk_speed_norm	Normaal
buildtoolbar_walk_speed_fast	Snel
buildtoolbar_locked	VERGRENDELD
buildtoolbar_locked_research	VERGRENDELD (je hebt *B nodig)
buildtoolbar_locked_administrator	VERGRENDELD (*B vereist)
buildtoolbar_room	Kamer

buildtoolbar_electrical	- Elektrisch
buildtoolbar_highpower	- Veel vermogen
buildtoolbar_water	- Aansluiting op waterleiding vereist
buildtoolbar_wired	- Voor aansluiting (op andere apparatuur)
buildtoolbar_modcontent	- Modcontent

buildtoolbar_popup_foundations	Bouw/sloop gebouwen om je gevangenis te verbouwen.
buildtoolbar_popup_construction	Meerdere soorten vloeren en muren
buildtoolbar_popup_planning	Ontwerp je gevangenis zonder bang te zijn dat bouwvakkers daadwerkelijk iets doen.
buildtoolbar_popup_designation	Geef bepaalde zones in je gevangenis een bepaalde functie.
buildtoolbar_popup_objects	Plaats handige voorwerpen in je gevangenis.
buildtoolbar_popup_overlays	Vind zwakke punten in de indeling van je gevangenis.
buildtoolbar_popup_utilities	Waterleidingen en elektra.
buildtoolbar_popup_staff	Neem genoeg mensen aan om je gevangenis draaiende te houden.
buildtoolbar_popup_deployment	Wijs personeel toe aan bepaalde zones in je gevangenis.
buildtoolbar_popup_logistics	Wijs gevangenen toe om in je gevangenis te werken. Je kunt de kantine en wasserette handmatig besturen.
buildtoolbar_popup_research	Ontgrendel nieuwe mogelijkheden voor je gevangenis.
buildtoolbar_popup_emergencies	Roep de hulp van de nooddiensten in als het uit de hand loopt.
buildtoolbar_popup_clone	Kopieer en plak je bestaande bouwwerken.
buildtoolbar_popup_properties	Leer zoveel mogelijk.
buildtoolbar_popup_contraband	Laat de bronnen van smokkelwaar zien en alle onlangs gevonden smokkelwaar in je gevangenis. Laat ook je vertrouwelijke informanten en hun informatie zien.
buildtoolbar_popup_grading	Bekijk het algehele cijfer van je gevangenis in vier categorieën: straffen, hervorming, veiligheid en gezondheid. Laat ook het recidivecijfer van je gevangenis zien.
buildtoolbar_popup_prefabs	Kopieer en plan bestaande delen van je gevangenis of plaats vooraf gedefinieerde cellen.
buildtoolbar_popup_room_cell	Waar je gevangenen wonen.
buildtoolbar_popup_room_holdingcell	Een kamer waar nieuwe aanwinsten terechtkomen tot er een cel voor ze is.
buildtoolbar_popup_room_solitary	Een eenzame cel voor het allerergste tuig.
buildtoolbar_popup_room_dormitory	Een cel van variabele grootte voor het onderbrengen van meerdere gevangenen. Hoe groter de slaapzaal, hoe meer gevangenen hierin kunnen worden ondergebracht.
buildtoolbar_popup_room_familycell	Waar je gevangenen wonen als ze baby's hebben.
buildtoolbar_popup_room_sharedcell	Een cel voor meerdere gevangenen. Hier kunnen maximaal 8 gevangenen in.
buildtoolbar_popup_room_canteen	Waar je gevangenen 's middags thee drinken.
buildtoolbar_popup_room_kitchen	Zone waar koks maaltijden bereiden voor je gevangenen.
buildtoolbar_popup_room_shower	Wordt gebruikt om je gevangenen schoon en vrij van luizen te houden.
buildtoolbar_popup_room_yard	Laat je gevangenen een paar uur per dag genieten van de zon terwijl ze in de gaten worden gehouden door bewakers in torens.
buildtoolbar_popup_room_storage	Zone waar je materialen bewaart die je personeel heeft.
buildtoolbar_popup_room_deliveries	Waar goederen, materialen en gevangenen worden afgeleverd.
buildtoolbar_popup_room_garbage	Waar je afval wordt opgehaald.
buildtoolbar_popup_room_execution	Waar je je gevangenen naartoe stuurt om te sterven.
buildtoolbar_popup_room_workshop	Waar je je gevangenen naartoe stuurt om dood te gaan van verveling terwijl ze nummerborden voor je maken.
buildtoolbar_popup_room_security	Kantoren voor je agenten.
buildtoolbar_popup_room_office	Een zone voor je administratieve medewerkers.
buildtoolbar_popup_room_medicalward	Een zone voor je medische personeel. Bewusteloze gevangenen hebben meer tijd nodig om te herstellen, maar wees gerust; ze zijn in goede handen.
buildtoolbar_popup_room_morgue	Waar je overleden gevangenen en personeelsleden naartoe gaan.
buildtoolbar_popup_room_commonroom	Hier kunnen je gevangenen soms even ontspannen.
buildtoolbar_popup_room_kennel	Waar je honden leven.
buildtoolbar_popup_room_chapel	Wat krijg je als een bureaucratisch comité bij elkaar komt en een oplossing bedenkt voor de religieuze behoeften van de gevangenen? Een ruimte waar alle gelovigen mogen bidden, zoiets. Wij noemen het de kapel.
buildtoolbar_popup_room_paroleroom	Je gevangenen komen in aanmerking voor vervroegde vrijlating als ze 50% of 75% van hun straf hebben uitgezeten. Hun lot wordt in deze kamer beslist door de gevangenisdirecteur en de hoofd beveiliging.\n\nLet op: extra bewaking wordt aanbevolen. Gevangenen staan erom bekend om nogal kwaad te worden als ze niet in aanmerking komen voor vervroegde vrijlating.
buildtoolbar_popup_room_library	Je gevangenen krijgt dozen vol oude boeken uit het hele land. Gevangenen moeten deze boeken sorteren en op schappen zetten.
buildtoolbar_popup_room_intake	Waar je gevangenen meteen naartoe worden gebracht als ze arriveren.
buildtoolbar_popup_room_nursery	Activiteitenruimte voor gevangenen met baby's.
buildtoolbar_popup_room_shop	Winkels zijn plaatsen waar gevangenen hun zuurverdiende geld kunnen besteden om te voldoen aan hun behoefte voor luxeproducten. Kan ook de hygiëne, voeding en amusement verhogen. Je krijgt geld bij elke verkoop, en elke dag ontvang je commissie voor het totale aantal verkochte producten op die dag.

buildtoolbar_popup_obj_bed	Niet te zacht, niet te hard, precies goed. Nou eigenlijk keihard en veel te klein.
buildtoolbar_popup_obj_toilet	Een grondrecht, als je al die idioten moet geloven.
buildtoolbar_popup_obj_table	Past heel goed bij een stoel.
buildtoolbar_popup_obj_chair	Past heel goed bij een tafel.
buildtoolbar_popup_obj_bench	Om op te zitten.
buildtoolbar_popup_obj_electricchair	Zorgt voor 2000 volt gerechtigheid.
buildtoolbar_popup_obj_jaildoor	Houdt je gevangenen op hun plek.
buildtoolbar_popup_obj_jaildoorlarge	Houdt heel veel gevangenen op hun plek.
buildtoolbar_popup_obj_door	Een eenvoudige deur.
buildtoolbar_popup_obj_solitarydoor	Een zware deur die zelfs de zwaarste criminelen tegenhoudt.
buildtoolbar_popup_obj_staffdoor	Een vergrendelde deur die door al het personeel geopend kan worden, niet alleen door bewakers.
buildtoolbar_popup_obj_window	Om een glimp van de zon op te vangen.
buildtoolbar_popup_obj_windowlarge	Om veel zonlicht op te vangen.
buildtoolbar_popup_obj_tree	Het is onze verantwoordelijkheid om het broeikaseffect tegen te gaan.
buildtoolbar_popup_obj_light	Zorg ervoor dat je je gevangenen altijd in de gaten kunt houden.
buildtoolbar_popup_obj_cooker	Geef je gevangenen een luxe leventje met een warme maaltijd.
buildtoolbar_popup_obj_fridge	Voorkom dat je etenswaren bederven.
buildtoolbar_popup_obj_bin	Er moet voorzichtig worden omgegaan met smokkelwaar.
buildtoolbar_popup_obj_sink	Alle werknemers moeten hun handen wassen. Werkt sneller wanneer aangesloten op warm water.
buildtoolbar_popup_obj_servingtable	Schep eten op voor je gevangenen.
buildtoolbar_popup_obj_officedesk	Je personeelsleden moeten veel opschrijven. Geef ze een mooi bureau waar ze aan kunnen schrijven.
buildtoolbar_popup_obj_filingcabinet	Je personeelsleden moeten hun aantekeningen netjes ordenen.
buildtoolbar_popup_obj_morgueslab	Om de doden met respect te behandelen voor ze naar hun laatste rustplaats gaan.
buildtoolbar_popup_obj_drain	Dweil water op van de vloer.
buildtoolbar_popup_obj_sprinkler	Besproeit de ruimte automatisch met water als er brand is uitgebroken.
buildtoolbar_popup_obj_metaldetector	Vind smokkelwaar op je gevangenen die hier doorheen lopen. Er moet een bewaker bij staan die de smokkelwaar afpakt.
buildtoolbar_popup_obj_weightsbench	Al je gevangenen mogen sporten, daar worden ze gelukkig van.
buildtoolbar_popup_obj_tv	Hou je gevangenen lekker stil met oersaaie bezigheidstherapie. Vereist een plaats voor gevangenen om voor de tv te zitten.
buildtoolbar_popup_obj_largetv	Laat de hersenen van veel gevangenen wegrotten. Vereist een plaats voor gevangenen om voor de tv te zitten.
buildtoolbar_popup_obj_pooltable	Onderbreek de eentonigheid van het gevangenisleven met een potje pool.
buildtoolbar_popup_obj_dismantleobject	Verwijder een voorwerp uit je gevangenis.
buildtoolbar_popup_obj_altar	Stuurt je gebeden rechtstreeks door naar de gewenste hogere macht.
buildtoolbar_popup_obj_pews	Stoelen voor de gelovigen. Gemaakt van het hardste hout dat er bestaat.
buildtoolbar_popup_obj_prayermat	Bescherm je gevangenen tegen de vieze vloer tijdens het bidden.

buildtoolbar_popup_staff_guard	Wordt gebruikt om je gevangenen in het gareel te houden.
buildtoolbar_popup_staff_armedguard	Gewapend met een geweer zodat gevangenen wel twee keer nadenken voor ze deze knakker lastigvallen.\n\nLet op: elke gewapende bewaker heeft zijn eigen kluisje nodig in de wapenkamer.
buildtoolbar_popup_staff_doctor	Geneest automatisch alle gewonden in de buurt, of ze nu bewakers of gevangenen zijn.
buildtoolbar_popup_staff_cook	Geeft je gevangenen de maaltijden die ze bereiden.
buildtoolbar_popup_staff_gardener	Houdt het gevangenisterrein schoon en netjes.
buildtoolbar_popup_staff_janitor	Houdt de binnenkant van je gevangenis schoon en netjes. Kan ook helpen met de was van de gevangenis.

buildtoolbar_popup_uts_powerstation	Genereert elektriciteit die gebruikt kan worden in je gevangenis. Kan ook verbonden worden met een transformator om stroom te exporteren.
buildtoolbar_popup_uts_capacitor	Vergroot de hoeveelheid elektriciteit die wordt gegenereerd wanneer je dit naast een krachtcentrale plaatst.
buildtoolbar_popup_uts_electricalcable	Verdeelt elektriciteit over je gevangenis.
buildtoolbar_popup_uts_powerswitch	Schakelt de toevoer van elektriciteit naar een aangesloten kabel aan of uit.\n\nKlik met rechts om aan/uit te zetten.
buildtoolbar_popup_uts_waterpumpstation	Voorziet je gevangenis van water.
buildtoolbar_popup_uts_pipevalve	Schakelt de toevoer van water naar een waterleiding aan of uit.
