# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lijst van wijzigingen
buildtoolbar_popup_help_Dogs_3	^Tips
buildtoolbar_popup_help_Dogs_4	- Als je Micromanagement hebt ontgrendeld, heb je toegang tot de Taakplanner. Hiermee kun je een tijdschema maken van wanneer hondengeleiders aan bepaalde zones zijn toegewezen. Bijvoorbeeld, als je alleen hondengeleiderss wilt inzetten in de kantine tijdens de maaltijden, kun je op elk blok in het schema klikken dat overeenkomt met etenstijd, en vervolgens de tijdregelaar in dat blok verplaatsen en op je kantine klikken om hondengeleiders toe te wijzen.
buildtoolbar_popup_help_Dogs_5	- Er zijn 9 verschillende tijdsblokken beschikbaar in het schema, plus de standaardmodus Altijd actief, waarmee je complexe inzetroutines kunt maken volgens de behoeften van je gevangenis.
buildtoolbar_popup_help_Dogs_6	- Als je niet handmatig een tijdsblok selecteert wanneer je hondentrainers toewijst, gebruikt de planner de huidige tijd. Zorg er dus voor dat je de juiste tijd kiest wanneer je wijzigingen maakt!

buildtoolbar_popup_help_ArmedGuards_1	Met de tool Gewapende bewakers kun je gewapende bewakers op post zetten in zones. Een bewaker die op post staat, wandelt willekeurig rond in de toegewezen zone en voert daar alle taken van bewakers uit, zoals het openen van deuren.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Klik links om het aantal ingezette bewakers in een zone te verhogen. Klik rechts om een bewaker te verwijderen.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^Tips
buildtoolbar_popup_help_ArmedGuards_4	- Als je Micromanagement hebt ontgrendeld, heb je toegang tot de Taakplanner. Hiermee kun je een tijdschema maken van wanneer gewapende bewakers aan bepaalde zones zijn toegewezen. Bijvoorbeeld, als je alleen gewapende bewakers wilt inzetten in de kantine tijdens de maaltijden, kun je op elk blok in het schema klikken dat overeenkomt met etenstijd, en vervolgens de tijdregelaar in dat blok verplaatsen en op je kantine klikken om gewapende bewakers toe te wijzen.
buildtoolbar_popup_help_ArmedGuards_5	- Er zijn 9 verschillende tijdsblokken beschikbaar in het schema, plus de standaardmodus Altijd actief, waarmee je complexe inzetroutines kunt maken volgens de behoeften van je gevangenis.
buildtoolbar_popup_help_ArmedGuards_6	- Als je niet handmatig een tijdsblok selecteert wanneer je gewapende bewakers toewijst, gebruikt de planner de huidige tijd. Zorg er dus voor dat je de juiste tijd kiest wanneer je wijzigingen maakt!

interfacedeployment_PrioritizeArea	Prioriteit geven aan gebied (*X)
buildtoolbar_deployment_PrioritizeGuard	Gebruik deze optie om prioriteit toe te kennen aan toegewezen bewakers om in specifieke sectoren in je gevangenis te patrouilleren. Als je weinig personeel hebt, zullen bewakers proberen eerst in de gebieden met prioriteit te patrouilleren. Er zijn twee prioriteiten beschikbaar: "Hoog" (>>) en "Zeer hoog" (>>>).

interfacedeployment_BluePatrol	Blauwe patrouille
buildtoolbar_deployment_BluePatrol	Gekleurde patrouilles kun je laten overlappen en je kunt er aparte bewakers aan toewijzen. Klik en sleep om een blauwe patrouilleroute op te zetten. Klik rechts en sleep om een blauwe patrouilleroute te verwijderen. Gebruik de knoppen Bewakers toewijzen om bewakers aan een route toe te voegen.

interfacedeployment_MagentaPatrol	Rode patrouille
buildtoolbar_deployment_MagentaPatrol	Gekleurde patrouilles kun je laten overlappen en je kunt er aparte bewakers aan toewijzen. Klik en sleep om een rode patrouilleroute op te zetten. Klik rechts en sleep om een rode patrouilleroute te verwijderen. Gebruik de knoppen Bewakers toewijzen om bewakers aan een route toe te voegen.

interfacedeployment_PrioritizePatrol	Prioriteit voor patrouille
buildtoolbar_deployment_PrioritizePatrol	Gebruik deze optie om toegewezen bewakers prioriteit te laten geven aan specifieke patrouilles in je gevangenis. Als je weinig personeel hebt, zullen bewakers proberen eerst de patrouilleroutes met prioriteit te doen. Er zijn twee prioriteiten beschikbaar: "Hoog" (>>) en "Zeer hoog" (>>>).

buildtoolbar_popup_filter_title	Filterlijst
buiildtoolbar_popup_filter_toggle	Klik op de knop om te wisselen
buildtoolbar_popup_filter_default	Standaard
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	In bezit
buildtoolbar_popup_filter_costhighlow	Kosten (hoog-laag)
buildtoolbar_popup_filter_costlowhigh	Kosten (laag-hoog)
buildtoolbar_popup_filter_indooroutdoor	Binnen-buiten
buildtoolbar_popup_filter_outdoorindoor	Buiten-binnen
buildtoolbar_popup_filter_quantity	Hoeveelheid in bezit
buildtoolbar_popup_filter_byroom	Op kamer






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	DUBBELKLIKKEN: Voorwerp verplaatsen

double_click_add_door	Dubbelklik links om deuren toe te voegen.

codex_option_bureaucracyresearched	Bureaucratie onderzocht
codex_tooltip_bureaucracyresearched	Begin een nieuw spel met je hele bureaucratiestructuur volledig onderzocht.

codex_option_jungle	Jungleperceel
codex_tooltip_jungle	Geneer een startperceel dat op een dichtbegroeide jungle lijkt.

codex_option_snowy	Besneeuwd perceel
codex_tooltip_snowy	Geneer een startperceel dat met sneeuw bedekt is.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Wast

action_Stretching	Traint
action_PlayChess	Speelt schaak


plant_tree_location	Plant boom in *X

report_intake_cat_SuperMax	SuperMax

interface_undo	omgekeerde

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	De gevangenis redden is mislukt.
codex_changelog_next	Volgende >
codex_changelog_prev	< Vorige
codex_credits	Credits

codex_options_screenshotmode	Schermfotomodus
codex_tooltip_screenshotmode	In de Schermfotomodus houd je de [*K] TOETS ingedrukt en druk je op [*E] om ALLE gebruikersinterface-informatie en informatie op het scherm aan/uit te zetten.
codex_sso_content_message	Je hebt je geregistreerd voor een Paradox-account.\n\nAls dank je wel zijn nu nieuwe wachttorens in het spel ontgrendeld! Je vindt ze in het menu Voorwerpen.
codex_options_borderless_windowed	Randloos
codex_options_monitor	Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Weergavemodus
codex_options_borderless_fullscreen	Volledig scherm randloos
codex_options_display_monitor	Monitor
codex_options_windowed_resolution	Resolutie in venster

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Muurt (art deco)
material_blueWall	Muur stijlvol (blauwe strepen)
material_burgundyWall	Muur stijlvol (bordeaux)
material_greenWall	Muur stijlvol (groen)
material_orientalWall	Muur (oosters)
material_cushionedwall	Muur (kussens)

material_sandstone	Zandsteen
material_limestonefloor	Leisteen
material_blueCarpet	Tapijt (blauw)
material_redCarpet	Tapijt (rood)
material_brownCarpet	Tapijt (bruin)
material_paddedfloor	Gestoffeerd
material_grassstones	Gras en steen
material_grasscornerfloor	Grashoek
material_grasscornerfloor1	Grashoek
material_grasscornerfloor2	Grashoek
material_grasscornerfloor3	Grashoek
material_lunarfloor	Maan

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Boom (griezelig)
object_cactustree	Boom (cactus)
object_sakuratree	Boom (kersenbloesem)
object_plantcactus	Plant (cactus)
object_tyrestack	Stapel banden
object_lamp	Licht (lamp)
object_bathroomSink	Wastafel
object_bathroomHandDryer	Handdroger
object_chestOfDrawers	Ladenkist
object_woodenStool	Houten stoel
object_woodenTable	Houten tafel
object_bucket	Emmer
object_shortbookcase	Boekenkast (klein)
object_outdoorTable	Tuintafel
object_mooseHead	Elandkop
object_toiletSign	Bord (toilet)
object_rightArrowSign	Bord (pijl rechts)
object_leftArrowSign	Bord (pijl links)
object_infirmarySign	Bord (ziekenboeg)
object_canteenSign	Bord (kantine)
object_showerSign	Bord (douche)
object_armourySign	Bord (wapenkamer)
object_jaildoorred	Gevangenisdeur (rode)
object_jaildoorgrey	Gevangenisdeur (grijze)
object_jaildoororange	Gevangenisdeur (oranje)
object_jaildoorYellow	Gevangenisdeur (gele)
object_jaildoorlargered	Grote gevangenisdeur (rode)
object_jaildoorlargegrey	Grote gevangenisdeur (grijze)
object_jaildoorlargeorange	Grote gevangenisdeur (oranje)
object_jaildoorlargeyellow	Grote gevangenisdeur (gele)
object_coatstand	Kapstok
object_dogbowl	Hondenvoerbak
object_footbridge	Loopbrug
object_footbridgesteel	Stalen loopbrug
object_footbridgeb	Loopbrug B
object_footbridgesteelb	Stalen loopbrug B
object_windowclassy	Raam stijlvol
object_windowclassyLarge	Raam stijlvol (groot)
object_gravestone	Grafsteen
object_psychiatrist	Psychiater
object_orderly	Ziekenbroeder
object_rorschachTest	Rorschachtest
object_anatomyModel	Anatomisch model
object_flipboard	Flipover
object_medicineCabinetPsych	Medicijnkast
object_leatherchair	Leren stoel
object_leatherSofa	Leren sofa
object_parkbench	Bank (park)
object_fencegateguard	Hekpoort (wachter)
object_oaktable	Tafel (eiken)
object_oakbench	Bank (eiken)
object_boomboxroundouse	Boombox

object_classic	Klassiek
object_dalmation	Dalmatiër
object_husky	Husky
object_companion	Kompaan
object_cat	Kat
object_direwoof	Schrikwoef

equipment_fountainPen	Vulpen
equipment_goldPocketWatch	Gouden zakhorloge
equipment_sedativeShot	Verdovingsshot (spuit)
equipment_sedativesyringe	Verdovend middel (spuit)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Bouw art deco muren om de gevangenis een jaren 20 look te geven.
buildtoolbar_popup_mat_blueWall	Bouw stijlvolle muren boven op funderingen om nieuwe personeelsruimtes of kamers te maken.
buildtoolbar_popup_mat_burgundywall	Bouw stijlvolle muren boven op funderingen om nieuwe personeelsruimtes of kamers te maken.
buildtoolbar_popup_mat_greenwall	Bouw stijlvolle muren boven op funderingen om nieuwe personeelsruimtes of kamers te maken.
buildtoolbar_popup_mat_orientalwall	Bouw oosterse muren om ruimtes te creëren in de gevangenis met een oude Japanse uitstraling.
buildtoolbar_popup_mat_cushionedwall	Bouw muren boven op funderingen om nieuwe ruimtes of kamers te creëren met een luxe, leren uitstraling.
buildtoolbar_popup_mat_sandstone	Leg zandstenen tabletten op buitengebieden.
buildtoolbar_popup_mat_limestonefloor	De vloer heeft de kleur van verkleurde limoenen.
buildtoolbar_popup_mat_blueCarpet	Leg comfortabel tapijt neer. Ideaal voor personeelsruimtes.
buildtoolbar_popup_mat_redCarpet	Leg comfortabel tapijt neer. Ideaal voor personeelsruimtes.
buildtoolbar_popup_mat_brownCarpet	Leg comfortabel tapijt neer. Ideaal voor personeelsruimtes.
buildtoolbar_popup_mat_paddedfloor	Past bij de gestoffeerde muren om een volledig gestoffeerde cel te maken voor gestoorde criminelen.
buildtoolbar_popup_mat_grassstones	Een grasgebied met flagstones.
buildtoolbar_popup_mat_grassscornerfloor	Een grashoek met modder. Handig voor bochten in een pad.
buildtoolbar_popup_mat_lunarfloor	Een hard stenen oppervlak met een intergalactisch uiterlijk.
buildtoolbar_popup_obj_spookytree	Een griezelige oude boom.
buildtoolbar_popup_obj_cactustree	Zou niet misstaan op droog land.
buildtoolbar_popup_obj_sakuratree	Een prachtige kersenboom met roze bloesems.
buildtoolbar_popup_obj_plant	Een aangename huisplant.
buildtoolbar_popup_obj_plantcactus	Een cactus in een pot.
buildtoolbar_popup_obj_tyrestack	Dient als een kleine muur waar gevangenen en personeel omheen lopen.
buildtoolbar_popup_obj_lamp	Een sierlijke, staande lamp. Ideaal voor kantoren en personeelsruimtes.
buildtoolbar_popup_obj_bathroomSink	Noodzakelijk voor elk hygiënisch toilet.
buildtoolbar_popup_obj_bathroomHandDryer	Past perfect bij een wastafel.
buildtoolbar_popup_obj_chestOfDrawers	Een houten ladenkist.
buildtoolbar_popup_obj_woodenStool	Zou goed passen bij een houten tafel.
buildtoolbar_popup_obj_woodenTable	Zou mooi passen bij een houten stoel.
buildtoolbar_popup_obj_bucket	Gewoon een emmer.
buildtoolbar_popup_obj_shortbookcase	Een kleinere plank voor boeken.
buildtoolbar_popup_obj_outdoorTable	Hiermee kunnen gevangenen zitten en eten in de buitenlucht.
buildtoolbar_popup_obj_mooseHead	Een prachtige, handgemaakte elandkop op een schild.
buildtoolbar_popup_obj_toiletSign	Een bord met een toiletsymbool.
buildtoolbar_popup_obj_rightArrowSign	Een bord met een pijl die naar rechts wijst.
buildtoolbar_popup_obj_leftArrowSign	Een bord met een pijl die naar links wijst.
buildtoolbar_popup_obj_infirmarySign	Een bord met een ziekenboegsymbool.
buildtoolbar_popup_obj_canteenSign	Een bord met een kantinesymbool.
buildtoolbar_popup_obj_showerSign	Een bord met een douchesymbool.
buildtoolbar_popup_obj_armourySign	Een bord met een wapenkamersymbool.
buildtoolbar_popup_obj_jaildoorred	Een gekleurde gevangenisdeur om je maximaal beveiligde celblokken te markeren.
buildtoolbar_popup_obj_jaildoorgrey	Een gekleurde gevangenisdeur om je licht beveiligde celblokken te markeren.
buildtoolbar_popup_obj_jaildoororange	Een gekleurde gevangenisdeur om je gemiddeld beveiligde celblokken te markeren.
buildtoolbar_popup_obj_jaildooryellow	Een gekleurde gevangenisdeur om je afzonderingscelblokken te markeren.
buildtoolbar_popup_obj_jaildoorlargered	Een grote gekleurde gevangenisdeur om je maximaal beveiligde celblokken te markeren.
buildtoolbar_popup_obj_jaildoorlargegrey	Een grote gekleurde gevangenisdeur om je licht beveiligde celblokken te markeren.
buildtoolbar_popup_obj_jaildoorlargeorange	Een grote gekleurde gevangenisdeur om je gemiddeld beveiligde celblokken te markeren.
buildtoolbar_popup_obj_jaildoorlargeYellow	Een grote gekleurde gevangenisdeur om je afzonderingscelblokken te markeren.
buildtoolbar_popup_obj_coatstand	Een hangplek voor de jassen en hoeden van personeel.
buildtoolbar_popup_obj_dogbowl	Bevat water en voer voor vermoeide waakhonden.\nVerhoogt het uithoudingsvermogen van een hond enigszins.
buildtoolbar_popup_obj_secretdoor	Een verborgen deur die er als boekenkast uitziet en openschuift om personeel door te laten.
buildtoolbar_popup_obj_parkbench	Een parkbankje voor buiten.
buildtoolbar_popup_obj_fencegateguard	Een poort die goed bij hekken past. Kan alleen geopend worden door bewakers.
buildtoolbar_popup_obj_oaktable	Om aan te eten.
buildtoolbar_popup_obj_oakbench	Om op te zitten. Past goed bij de eiken tafel.

buildtoolbar_popup_obj_classic	De originele waakhond. Oud, maar ervaren.
buildtoolbar_popup_obj_dalmation	Woonde eerst op een boerderij, maar voorkomt nu dat gevangenen ontsnappen.
buildtoolbar_popup_obj_husky	Een dodelijke valstrik voor ontsnapte gevangenen die door de sneeuw lopen.
buildtoolbar_popup_obj_companion	Een waakzame viervoeter.
buildtoolbar_popup_obj_cat	Niet iedereen houdt van honden.
buildtoolbar_popup_obj_direwoof	Wie haalt het nog in z'n hoofd om te ontsnappen?

buildtoolbar_popup_filter_mostused	Meest gebruikt
buildtoolbar_caters_safety	Vervult de behoefte aan veiligheid.

interfacedeployment_orderly	Ziekenbroeders toewijzen
buildtoolbar_deployment_orderly	Wijs ziekenbroeders toe aan bepaalde sectoren in je gevangenis.

interfacedeployment_orderlypatrols	Ziekenbroeders toewijzen
buildtoolbar_deployment_orderlypatrols	Wijs ziekenbroeders toe aan de patrouilleroutes in je gevangenis.

room_PaddedCell	Gestoffeerde cel
room_PaddedHoldingCell	Gestoffeerde tijdelijke cel
room_PsychiatristOffice	Psychiaterskantoor

interfaceplanning_BuildPlan	Blauwdrukken bouwen
interfaceplanning_ClearPlan	Blauwdrukken annuleren
interfaceplanning_Door	Deuren

buildtoolbar_improvement	- Verbetert het cijfer voor een *R
buildtoolbar_improvement_windows	(mits naar buiten gericht)

buildplan_title	Muursoort kiezen
buildplan_message	Ben je klaar om je blauwdruk te bouwen?\n	Deze actie kan niet worden teruggedraaid.\n\n	Alle geplande muren worden gebouwd met dezelfde muursoort.\n	Hieronder kun je een andere muursoort selecteren.
clearplan_title	Blauwdrukken annuleren
clearplan_message	Weet je zeker dat je alle getekende blauwdrukken wilt annuleren?\n \n	Deze actie kan niet worden teruggedraaid.

d11_custom_planning	Blauwdrukken personaliseren

buildtoolbar_popup_planning	Ontwerp je gevangenis zonder bang te zijn dat bouwvakkers daadwerkelijk iets doen, totdat je klaar bent. Met het menu Blauwdrukken kun je alle geplande gebouwen en deuren bouwen, delen van je blauwdruk wissen of het hele ontwerp schrappen en opnieuw beginnen.

buildtoolbar_popup_help_planningDoor_1	De geselecteerde deursoort wordt gebruikt als je een deur op je blauwdruk plaatst.
buildtoolbar_popup_help_quickBuildWall_1	De geselecteerde muursoort wordt gebruikt wanneer je de volgende keer snel bouwt/s


buildtoolbar_popup_mat_blueclassywall	Bouw stijlvolle muren boven op funderingen om nieuwe personeelsruimtes of kamers te maken.
buildtoolbar_popup_mat_burgundyclassywall	Bouw stijlvolle muren boven op funderingen om nieuwe personeelsruimtes of kamers te maken.
buildtoolbar_popup_mat_greenclassywall	Bouw stijlvolle muren boven op funderingen om nieuwe personeelsruimtes of kamers te maken.

