
campaigncutscene_tooltip 				（按一下以觸發監獄故事的下一章節）
adviser_food_doninfirmary5 				但我的時間已經到了。我將死在這張該死的床上。
adviser_food_doninfirmary6 				而我們還有家族的事業要經營。巴勒莫這個名字是我們所剩的一切。因此你們這些骯髒該死的傢伙應該去做光榮的事。明白了嗎？
adviser_food_doninfirmary7				我們知道該怎麼做，老爸。
adviser_food_donchat13					這還沒有結束，尼科。
adviser_food_donchat14					小心背後。

adviser_food_founddrugs1				你不會相信我剛才得知了什麼。
adviser_food_founddrugs2				我們的人正在丟棄一些舊糧食。他們發現箱子中藏著成袋的毒品和多瓶酒精。
adviser_food_founddrugs3				我們懷疑巴勒莫家族向監獄內走私物品已經有一段時間了，但我們從來沒能確定他們是如何辦到的。
adviser_food_founddrugs4 				有些日子不只是下雨，而是傾盆大雨。

adviser_food_rebuild1                   我們還有許多工作要做。我們需要將注意力轉向更換廚房和食堂。
adviser_food_rebuild2                   首先，我們需要重建廚房。您需要安裝幾件設備，並雇傭一些廚師。
adviser_food_rebuild3					完成後，構建一個新的食堂。
adviser_food_rebuild4					全部完成後，廚師將自動開始為整所監獄烹製餐點。
adviser_food_rebuild5                   如果您不知道在任何時間該做什麼，請嘗試反白顯示任務清單中的目標，以查看一些提示。

adviser_food_fightoutro1  				太棒了。看起來巴勒莫家族的成員已經不多了。

adviser_food_sprinklerintro1 			我們很可能要面臨相當嚴重的毒品問題。但我們目前還無法應對這個問題。
adviser_food_sprinklerintro2 			我們已經讓我們的廚房和食堂投入正常使用了。我們的廚師將致力於為所有人準備食品，這應該可以讓事態平息下來。
adviser_food_sprinklers1                我很擔心，這場火災顯然是故意縱火，我們不希望這樣的事情重演。
adviser_food_sprinklers2 				在新建的廚房和食堂上方安裝自動噴水滅火系統，並將它們連接到供水總管。

adviser_food_explainneeds1 				所有囚犯都有需求，而這些需求將直接影響囚犯的行為。現在所有人都在挨餓，這就是他們吵吵嚷嚷的原因。
adviser_food_explainneeds2 				食品是他們最迫切的需求之一，無視其需求的後果由您自行承擔。幾頓飯吃不上就足以讓一所監獄陷入全面暴動。
adviser_food_explainneeds3 				您可以透過需求報告監視所有囚犯的需求，而您通常可以透過右下角的「報告」圖示存取該報告。
adviser_food_explainneeds4				此報告將顯示所有囚犯的綜合需求。紅色意味著許多囚犯對於這一特定需求沒有得到滿足而感到很生氣。
adviser_food_explainneeds5 				正如您所預料的，幾乎所有人的食品需求均顯示為紅色。但這些囚犯還感到非常無聊（娛樂需求），而環境需求和服裝需求反映出監獄處於相當破舊的狀態。
adviser_food_explainneeds6				作為常駐監獄建築師，首先要滿足哪些需求由您來決定。您可以在牢房中安裝電視，給囚犯找點事兒做，並雇傭些清潔工打掃衛生。
adviser_food_explainneeds7				或者您也可以乾脆不理會囚犯的總體需求，並依靠武力控制監獄。
adviser_food_explainneeds8 				決定留給您來做。

objective_food_needs 					（可選）滿足囚犯的需求
objective_food_handlefoodneed 			（可選）應對囚犯的食品需求
objective_food_handleboredomneed		（可選）應對囚犯的娛樂需求
objective_food_handleenvironmentneed	（可選）應對囚犯的環境需求

objective_food_needs_description 					按一下「報告」（螢幕右下角），然後再按一下「需求」，您就可以看到所有囚犯的整體需求。\n您還可以反白顯示一名囚犯，然後查看哪些需求正在影響他。\n\n需求永遠無法得到永久地滿足 — 這始終是一場持續進行的戰鬥。
objective_food_handlefoodneed_description 			我們的廚師將為所有人烹製食品，所有囚犯到下一用餐時段結束時應該都可以吃飽。
objective_food_handleboredomneed_description 		在每個人的牢房中安裝電視機可以非常有效地解決無聊的情緒。或者您可以構建一個公共活動室，並在那裡放置一些電視機和檯球桌。\n\n您還可以在食堂等共用房間放置電視機。
objective_food_handleenvironmentneed_description 	雇傭一些清潔工，他們會將這個地方逐步打掃乾淨。

adviser_food_needssuccess1 				您在滿足囚犯需求的過程中展示出令人欽佩的奉獻精神。做得好。
adviser_food_needssuccess2 				您現在可能已經注意到，囚犯之間剩餘的主要抱怨是缺少乾淨的衣服。
adviser_food_needssuccess3 				如果同樣希望滿足這一需求，您將需要運營洗衣服務，以逐步向所有囚犯提供乾淨的衣服。
adviser_food_needssuccess4 				構建洗衣房並雇傭更多清潔工，以開始向囚犯提供乾淨的衣服。

objective_food_laundry 					（可選）清洗衣服
objective_food_buildlaundry 			（可選）構建自助洗衣房
objective_food_hirejanitors             （可選）雇傭足夠的清潔工來運營洗衣房
objective_food_handleclothingneed 		（可選）應對囚犯的服裝需求。

objective_food_buildkitchen             構建廚房（約 12 平方米）
objective_food_buildkitchencookers      安裝至少 4 個爐灶
objective_food_buildkitchenfridges      安裝至少 4 個冰箱
objective_food_buildkitchensink         安裝廚房水槽
objective_food_buildkitchenbin	 		在廚房中放置垃圾箱
objective_food_buildkitchenwatermains 	將水槽連接到供水總管
objective_food_buildkitchenfloor 		（可選）改進廚房地板

objective_food_buildkitchen_description		您需要先構建地基。
objective_food_buildcanteen_description		您需要先構建地基。

objective_Food_HireChefs				雇傭至少 8 名廚師
objective_food_CookMeals				（自動）為所有囚犯烹製餐點

objective_food_buildcanteen             構建食堂（約 20 平方米）
objective_food_buildservingtables       安裝 2 個送餐桌
objective_food_buildcanteentables       安裝至少 6 個桌子
objective_food_buildcanteenchairs       在每個桌子周圍安裝 2 個長凳
objective_food_buildcanteenbin	 		在食堂中放置垃圾箱
objective_food_buildcanteenfloor 		（可選）改進食堂地板


objective_food_buildsprinklers          安裝新的自動噴水滅火系統
objective_food_buildsprinklers1         在廚房中安裝幾個噴水滅火裝置
objective_food_buildsprinklers2         在食堂中安裝幾個噴水滅火裝置
objective_food_connectwater             將廚房噴水滅火裝置連接到供水總管
objective_food_connectwater2			將食堂噴水滅火裝置連接到供水總管
objective_food_feedprisoners            透過喂飽所有囚犯，完成一次晚餐服務

objective_food_buildkitchenwatermains_description   大型管道適用於在高壓下輸送大量的水。小型管道適用於將單個項目連接到水源。\n\n使用「公用事業設施」檢視，將大型管道放置到您的建築。然後使用小型管道將大型管道與附近所有需要供水的物品連接起來。
objective_food_connectwater_description             大型管道適用於在高壓下輸送大量的水。小型管道適用於將單個項目連接到水源。\n\n使用「公用事業設施」檢視，將大型管道放置到您的建築。然後使用小型管道將大型管道與附近所有需要供水的物品連接起來。
objective_food_connectwater2_description            大型管道適用於在高壓下輸送大量的水。小型管道適用於將單個項目連接到水源。\n\n使用「公用事業設施」檢視，將大型管道放置到您的建築。然後使用小型管道將大型管道與附近所有需要供水的物品連接起來。

campaigncutscene_foodinfirmary			醫務室
campaigncutscene_foodfamily             家族
campaigncutscene_foodfeud               世仇
campaigncutscene_foodregret				後悔
campaigncutscene_foodsuccession 		傳承

campaigncutscene_foodfamily_description		巴勒莫家族曾經在整個美國東海岸販賣毒品。瞭解黑手黨頭目巴勒莫及其孩子的背景故事。

adviser_name_thedon                     黑手黨頭目巴勒莫
adviser_name_thedonangry                黑手黨頭目巴勒莫
adviser_name_nico                       尼科•塔莫萊蒂
adviser_name_nicoshower					尼科•塔莫萊蒂
adviser_name_nicosuited					尼科•塔莫萊蒂
adviser_name_sonny                      桑尼•巴勒莫
adviser_name_sonnysuited				桑尼•巴勒莫
adviser_name_sonnystrangled				桑尼•巴勒莫
adviser_name_anthonysuited				安東尼•巴勒莫
adviser_name_wiggins					威金斯
adviser_name_nicoinfirmary				尼科•塔莫萊蒂
adviser_name_vitalia					維塔利亞•巴勒莫

cutscene_foodfamily_palermo01			黑手黨頭目維克多•巴勒莫。東海岸最可怕的家族犯罪集團之一的頭目。
cutscene_foodfamily_palermo1			巴勒莫已躲避聯邦調查局數十年。
cutscene_foodfamily_palermo02			這位黑手黨頭目的長子和自然而然的繼承人安東尼•巴勒莫運營日常業務。
cutscene_foodfamily_palermo03			尼科•塔莫萊蒂並非該黑手黨的正式成員，但在迎娶這位黑手黨頭目唯一的女兒 — 維塔利亞之後，也進入了家族企業。
cutscene_foodfamily_palermo04			還有桑尼•巴勒莫。這位黑手黨頭目的次子。這個侏儒垃圾。脾氣就像頭公牛，腦子卻只有公牛一半聰明。

cutscene_foodfamily_palermo2 			他們的犯罪帝國在從緬因州到佛羅里達州的地區經營毒品貿易。
cutscene_foodfamily_palermo3			直到安東尼在犯罪時當場被抓。
cutscene_foodfamily_palermo3b           被一位妒忌的丈夫槍殺。
cutscene_foodfamily_palermo4			對這個家庭而言非常不幸的是，警方在現場於安東尼的運動挎包中發現了 12 公斤可卡因。
cutscene_foodfamily_palermo5			該證據直搗黃龍。
cutscene_foodfamily_palermo6			巴勒莫家族所建立的一切在一夜之間完全崩潰。聯邦調查局獲得了可讓他們所有人將牢底坐穿所需的一切。
cutscene_foodfamily_palermo7			而這其中不包括該黑手黨頭目的女兒維塔利亞，她也是該家族唯一沒有身陷囹圄的活著的成員。
cutscene_foodfamily_palermo8			我們對她瞭解的不多，只知道她始終沒有涉足家族生意。
cutscene_foodfamily_palermo9 			但外面肯定有人曾將這些毒品送進來。

adviser_food_findalldrugs1				食品狀況已得到處理。既然囚犯再次吃飽了，他們的心情將愉快許多。

adviser_food_findalldrugs2				我敢肯定，巴勒莫一夥人在向這裡的所有人銷售這些毒品。
adviser_food_findalldrugs3				警衛告訴我，他們看到許多囚犯都在火災後顯示出戒毒的跡象。
adviser_food_findalldrugs4				我希望您搜查每名囚犯和每間牢房。我敢打賭，我們會在監獄各處找到巴勒莫銷售的毒品。

objective_food_findalldrugs					找出監獄中的所有毒品
objective_food_findalldrugs_description 	透過按一下牢房區內的某名囚犯，然後按一下「搜查牢房區」，對各牢房區進行搜查。或使用螢幕底部工具列中的「徹底搜查」選項。

objective_food_hiremoreguards 			（可選）雇傭更多警衛以加快搜查速度

adviser_food_drugsfound1				從積極的一面來看，這還不是最糟糕的情況，但監獄肯定存在毒品和酒精依賴的問題。
adviser_food_drugsfound2				我們需要幫助這些人。這是遏制其活動和治療其症狀的唯一方法。
adviser_food_drugsfound2b 				在醫務室開設毒品治療課程。醫生將負責給這些癮君子服用有助於減輕其渴求的化學代用品。
adviser_food_drugsfound3				對於酗酒者，並沒有酒精的化學代用品，因此我建議開展集體治療方案。
adviser_food_drugsfound4				您必須構建一個新的公共活動室來召開這些會議。
adviser_food_drugsfound5				要開設新課程，移至螢幕右下角的「報告」，然後按一下「課程」。

objective_food_drugtreatment			開設毒品治療課程
objective_food_cureaddictions			（可選）開始治療囚犯的毒癮
objective_food_alcoholprogram			開設酗酒者集體治療課程
objective_Food_HelpAlcoholics			（可選）開始幫助酗酒者恢復健康
objective_food_buildcommonroom 			構建公共活動室
objective_food_buildcommonroomchairs	建立由 8 張椅子構成的會面場所

objective_food_drugtreatment_description 	按一下螢幕右下角的「報告」，然後選擇「課程」索引標籤。該課程名為「毒癮藥物治療」，上課地點為醫務室。\n\n注意：您需要在管理制度中設置至少 2 小時的工作時間，才能允許囚犯參加此課程。
objective_food_alcoholprogram_description 	按一下螢幕右下角的「報告」，然後選擇「課程」索引標籤。\n\n注意：您需要在管理制度中設置至少 2 小時的工作時間，才能允許囚犯參加此課程。

cutscene_food_feudintro1 				淋浴間有事發生。這裡有一具屍體。
cutscene_food_feudintro2 				實際上有兩具屍體。幸運的是，我們在那裡設有攝像頭。
cutscene_food_feudintro3 				如果您有時間，按一下淋浴間中的快照，我們來看看究竟發生了什麼。

objective_food_triggerfightscene		準備好之後，按一下淋浴間中的快照以繼續。
objective_food_triggerfightscene_description 	淋浴間位於設施的西北角。

cutscene_food_feud1b                    獨自一人。太棒了。
cutscene_food_feud1                     你慢慢來。
cutscene_food_feud2                     別廢話。真不曉得我那姐姐看上你哪一點了。
cutscene_food_feud2b 					這是她的主意？幹掉老頭？
cutscene_food_feud3                     你是這麼想的嗎，你這個該死的？我從來沒想傷害他。我愛他，就像他是我的親生父親一樣。
cutscene_food_feud3b 					我討厭看到這個家族因為你的愚蠢而被擊倒。
cutscene_food_feud4                     那場火是沖著你來的。
cutscene_food_feud5                     就把這看作是報恩好了。
cutscene_food_feud6                     少裝聖人了。我們都知道你打算有一天把我幹掉。
cutscene_food_feud7                     是的，你總是個很聰明的傢伙，尼科。看看你有什麼下場吧。別擔心，你不會有任何感覺。
cutscene_food_feud8                     我告訴你了。要你小心後面。
cutscene_food_feud8b                    呸呸呸啊啊！！！！！...
cutscene_food_feud8c                    啊啊啊啊啊啊啊啊！！！！
cutscene_food_feud8d                    你以前見過弗朗基嗎？他對運用鋼琴絲具有獨特的天賦。
cutscene_food_feud8e                    老實說，在他完成後，所有人都會認為是自殺。
cutscene_food_feud9                     這還沒有結束，尼科。
cutscene_food_feud9b                    你一定是在和我開玩笑。

cutscene_food_successionintro			非常好。我們讓這裡做出了真正的改變，我認為監獄又重回控制之下了。
cutscene_food_successionintro2 			您可以留在這裡並進一步改進監獄，或者我們可以繼續前往下一處設施。
cutscene_food_successionintro3 			如果您準備繼續進行接下來的遊戲，請按一下醫務室中的快照。

objective_food_runending 				準備好之後，按一下醫務室中的快照以繼續。
objective_food_runending_description	醫務室位於監獄設施的西南邊緣。

cutscene_food_succession1				維塔利亞！
cutscene_food_succession1b				...？
cutscene_food_succession2				甜妞！
cutscene_food_succession3				對不起。我搞砸了。
cutscene_food_succession4				現在別出聲。
cutscene_food_succession5				他們說老爸熬不過這周了。
cutscene_food_succession6				我知道。我是來告別的。
cutscene_food_succession7				你知道，我們現在本可以脫身的。你和我。這該死的生活。它奪走了一切。
cutscene_food_succession8				我很想。
cutscene_food_succession9				但是我不能。我是巴勒莫家的一員，尼科。
cutscene_food_succession10				爸爸走了以後，你就是他所在世界的一個局外人。而這個家族會被我們的敵人肆意淩虐踐踏。
cutscene_food_succession11 				我不能忍受這一點。我必須讓他們知道，巴勒莫家的人仍然是王者。
cutscene_food_succession12				什麼，你現在腦筋不正常嗎？在我們經歷了所有這一切以後？
cutscene_food_succession13				尼科，尼科，尼科。你太老套了。
cutscene_food_succession14 				不，親愛的。我要和你離婚。
cutscene_food_succession15				該死的？你在和我開玩笑？沒有家人在身後支撐，我在這裡如同一個死人。
cutscene_food_succession16				我知道，親愛的。但這不再是我所關心的問題了。
cutscene_food_succession17				老爸，我希望您能到一個更美好的地方去。
cutscene_food_succession18				再見了，尼科。


# =============================================================================
# Riot
# =============================================================================

campaignchapter_riot                    G.A.B.O.S
campaignchapter_riot_description		阿爾凱米科州立監獄目前發生了暴動。到那裡去，重新奪回建築。

campaigncutscene_riotintro              突發新聞

adviser_riot_newsintro_01				突發新聞！
adviser_riot_newsintro_02				阿爾凱米科州立監獄暴動 — 工作人員和保安已撤回到外圍，以等待軍事援助。
adviser_riot_newsintro_1				許多人員依然下落不明，包括公司執行長查理斯•華萊士。
adviser_riot_newsintro_2				在數名備受矚目的法官據稱因施加更嚴厲的監獄刑罰...
adviser_riot_newsintro_3				...以換取回扣而被捕後，該監獄爆發了暴動。
adviser_riot_newsintro_4				火上澆油的是，有消息說，黑社會犯罪團夥最近因一系列引人注目的謀殺案而感到震撼...
adviser_riot_newsintro_5				…包括上個月對黑幫頭目維克多•巴勒莫的暗殺未遂。
adviser_riot_newsintro_6				執行長查理斯•華萊士的代表在該職位資歷相對較淺，一直負責恢復秩序。
adviser_riot_newsintro_7				缺乏經驗在這場艱難的危機中是否會被證明為代價高昂仍然有待觀察。
adviser_riot_newsintro_8                目前正在服無期徒刑的道格拉斯•本尼迪克特被認為是這起暴力事件的罪魁禍首。

adviser_riot_newsintroheller_1 			市長卡爾文•海勒就在幾分鐘前發佈了這一聲明。
adviser_riot_newsintroheller_2 			對於那些質疑我們的懲罰性改造政策的人，這應該成為一個嚴酷的提醒。
adviser_riot_newsintroheller_3 			這些人享有免費的住房和食物。享有有償工作的特權。
adviser_riot_newsintroheller_4 			而這就是他們回報那些為他們資助舒適設施的納稅人的方式。

campaigncutscene_riothostages			人質
adviser_name_riotceo					執行長
adviser_name_riotbenedict 				本尼迪克特

adviser_riot_hostages1					聽好了。你們的執行長在我們手上。
adviser_riot_hostages1b 				呸......
adviser_riot_hostages2 					現在的規矩就是。我要什麼。你們給什麼。
adviser_riot_hostages3					有任何問題，就派個人進來，要是被我察覺有警察在，我就一槍崩了他的腦袋。
adviser_riot_hostages4 					我們要一輛不帶標記的汽車。遮光窗戶。油箱加滿。給你們一小時。我會再聯繫的。
adviser_riot_hostages5 					我們說到哪兒了。
adviser_riot_hostages5b					你當時正在那間辦公室做什麼？
adviser_riot_hostages6					我發誓，我什麼都不知道。
adviser_riot_hostages7					我進行了足夠的反思，知道自己做了錯事。
adviser_riot_hostages8					你在藏什麼？
adviser_riot_hostages9					我屬於這樣的地方。但那個孩子…延長那個孩子的服刑時間對任何人有什麼好處嗎？
adviser_riot_hostages10					你知道一些事，把它告訴我，你才能活著離開這裡。

adviser_riot_hostageheller1 			這是完全不能接受的。我們需要監視該食堂，以便能夠瞭解發生了什麼。
adviser_riot_hostageheller2 			食堂北邊有一間小保安室。我們需要保護它。
adviser_riot_hostageheller3 			在其中部署一些警衛以操縱閉路電視控制台，我們將可以看到整個牢房區。

objective_Riot_MaxSecCameras			重新奪回保安室

campaigncutscene_riotroulette			輪盤賭

adviser_riot_rouletteintro1             我們在保安室中設有一名警衛，因此將獲取來自閉路電視攝像機系統的即時畫面。
adviser_riot_rouletteintro2             讓我們來看看人質的情況。
adviser_riot_click 						<按一下>
adviser_riot_roulette1					頭兒，這可是走出這裡的最後機會。玩過雙倍輪盤賭嗎？
adviser_riot_roulette2 					兩顆子彈。四個空彈膛。
adviser_riot_roulette2b 				我曾經與許多傻瓜玩過這個。我們乾淨俐落地把他們的頭轟了下來。
adviser_riot_roulette3 					但你也會和他們一樣。
adviser_riot_roulette4 					讓我們從一個簡單的問題開始。你當時正在那間辦公室做什麼？
adviser_riot_roulette5 					我發誓，我什麼都不知道。
adviser_riot_roulette5b 				真的。
adviser_riot_roulette6 					很好。誰先來？你？我？這個傢伙怎麼樣？
adviser_riot_roulette7					你知道什麼。就像個傻瓜一樣。
adviser_riot_roulette8 					那些文件裏有什麼？
adviser_riot_roulette9 					我發誓！我不知道...
adviser_riot_roulette10 				運氣就要用光了。這裡面還有一顆子彈。我知道我看到了什麼。
adviser_riot_roulette11b 				簡直不敢相信自己的眼睛。
adviser_riot_roulette11c 				這位大公司的重要人物本人就在我的監獄裏。看起來非常心虛。
adviser_riot_roulette11d 				我猜那些文件裏的東西肯定比我的罪犯檔案還要多。
adviser_riot_roulette11					求你了…求你別。
adviser_riot_roulette11e 				賠率越來越低了，華萊士。
adviser_riot_roulette12 				我跟你說，我會為你降低點難度。
adviser_riot_roulette12b	 			好吧，廢話說夠了。
adviser_riot_roulette13 				輪到你了，混蛋。除非你把我想要知道的消息告訴我。
adviser_riot_roulette14 				我不能。求你了。
adviser_riot_roulette15 				好吧！求你了！求你了。別開槍。是錢。都是錢。
adviser_riot_roulette16 				就這樣？
adviser_riot_roulette17 				你們是有價值的商品。你們在這裡待的時間越長，我們所能創造的利潤就越高。我們只不過是變通規則。
adviser_riot_roulette17b				那份文件就是證明。
adviser_riot_roulette18 				那麼我們價值幾何？把我們關在裡面，你們能獲得什麼？
adviser_riot_roulette19 				每年 73000 美元。
adviser_riot_roulette20					每個人？王八蛋。現在是時候讓你們開始償還了。

campaigncutscene_riotassault 			違約

adviser_riot_assault01					就是這樣。是時候結束這種情況了。
adviser_riot_assault02 					整個團隊均已各就各位。
adviser_riot_assault03					我現在想要我的汽車。華萊士會與我們一起。如果我看到有人跟蹤，你們將在高速公路上找齊他的碎片。
adviser_riot_assault2 					那麼好吧，大人物。你跟我們走。在你被霰彈槍劫持的情況下，他們不會冒險做任何傻事。
adviser_riot_assault3 					我們中沒有人能離開這裡。他們想要的不是你。
adviser_riot_assault4 					你在說什麼？
adviser_riot_assault5					我做這件事是為了錢。但他做這件事是為了政治利益。刑期越長，他得到的選票就越多。
adviser_riot_assault6					該死的，你到底在說誰？
adviser_riot_assault7					海勒市長。這是他的計畫。我只是給他送了點賄賂。
adviser_riot_assault7b 					那些文件就是可以毀掉他的職業生涯的證據。
adviser_riot_assault8					你在和我說笑吧。
adviser_riot_assault9 					該死的...
adviser_riot_assault9b					他們要進來了，做好準備！
adviser_riot_assault10					我可是警告過你們了！

# Riot Objectives and help text

adviser_name_negotiator 				談判專家

adviser_riot_negotiator1 				這裡已經失控了。根本沒有人負責。
adviser_riot_negotiator2 				我們有多人傷亡，剩餘的警衛不會進入發生暴動的牢房區。我們不得不撤回到外圍。
adviser_riot_negotiator3 				弄清楚該做些什麼，然後在情況失控前，結束這一切。
adviser_riot_negotiator4 				防暴警察應該會在幾分鐘內抵達這裡。

adviser_riot_firstreinforcements1 		首支響應小組已經抵達。
adviser_riot_firstreinforcements2 	 	這些傢伙是防暴警衛，他們擁有更重型的武器裝備。使用這些傢伙來開始奪回被佔領的監獄側翼。
adviser_riot_firstreinforcements3 		我們還從附近的州立醫院召集了一些醫護人員。
adviser_riot_firstreinforcements4 		我建議您在防暴警衛重新奪回監獄時，使用他們來為防暴警衛提供緊急醫療照顧。

objective_Riot_StopTheRiot 				阻止暴動
objective_Riot_StopTheRiot_description  根本沒有人負責。您需要弄清楚該做什麼。

adviser_riot_helleradvice1				我猜我是在和執行長的代表說話吧。
adviser_riot_helleradvice2 				我明白這是個非常困難的時期，我們都受到嚴密的監視。放心吧，我會全力支持你們隨意使用任何及所有資源。
adviser_riot_deployguards1				我們已經獲得了立足點，並重新奪回了監獄的部分區域。到目前位置的傷亡情況是完全合理的。
adviser_riot_deployguards2				但在您繼續推進並奪回監獄的其餘部分之前，您應該對您已經佔領的側翼重新佈防。
adviser_riot_deployguards3				雇傭一些警衛，並透過「部署」螢幕將其指派到重新奪回的防區。他們將確保固守已佔領的側翼。
adviser_riot_deployguards4 				處理完畢後，推進到其餘區域，並鎮壓這些怪物。這些禽獸無法改造。而且無法與之談判。
adviser_riot_deployguards5 				我正在為一支武裝響應小組授權，他們將快速終結這種局面。

adviser_riot_infirmary1 				監獄各處都有人受傷，而無疑還會有更多人受傷。您不能放任他們流血至死。
adviser_riot_infirmary2 				在監獄內某處構建醫務室，並雇傭醫生來治療傷員。
adviser_riot_infirmary3 				我們還看到了不少屍體。為了他們的尊嚴著想，我們需要構建太平間並開始收集屍體。
adviser_riot_infirmary4					您將需要雇傭工人來進行施工。務必保障他們的安全。

objective_Riot_ResecureWings 			雇傭警衛並將其部署到重新奪回的區域
objective_riot_medicalneeds				（可選）滿足監獄的醫療需求
objective_Riot_Infirmary				（可選）構建醫務室並治療傷員
objective_Riot_Morgue 					（可選）構建太平間並收集屍體
objective_Riot_SecureGenPop				重新奪回普通牢房側翼（中央）
objective_Riot_SecureSpecialWing		重新奪回特殊牢房側翼（西側）
objective_Riot_SecureMaxSec				重新奪回最高安全級別牢房側翼（南側）
objective_riot_putoutfires				控制住火勢

adviser_riot_secondreinforcements1		更多防暴警衛已經抵達。

adviser_riot_armedreinforcements1		市長從附近的警局調來一些武裝警察。
adviser_riot_armedreinforcements2		當心這些傢伙。如果放任他們，您可能最終將迎來一場大屠殺。
