
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	新建
interfacetopbar_tooltip_armedguards	有 *X 名武裝警衛
interfacetopbar_tooltip_dogs	有 *X 名警犬訓練師
interfacetopbar_tooltip_snipers	有 *X 名狙擊手

interfacetopbar_unlimitedfunds	無限資金
interfacetopbar_cheatsenabled	啟用密技

interfacetopbar_budget_moneyin	收入資金：$*M /天
interfacetopbar_budget_moneyout	支出資金：$*M /天
interfacetopbar_budget_cantgonegative	在雇傭會計來管理財務之前，您的現金流不能為負（即支出大於收入）。

interfacetopbar_prisoners_types	目前關押 *X 名囚犯
interfacetopbar_prisoners_capacity	最高安全級別囚犯容量：*X
interfacetopbar_prisonercells_shared	共用區域容量：*X
interfacetopbar_prisonercells_unlocked	已解鎖容量：*X
interfacetopbar_prisonercells_minseconly	最低安全級別囚犯容量：*X
interfacetopbar_prisonercells_medseconly	中等安全級別囚犯容量：*X
interfacetopbar_prisonercells_maxseconly	最大容量：*X
interfacetopbar_prisonercells_protectedonly	受保護囚犯容量：*X
interfacetopbar_prisonercells_supermaxonly	超高安全級別囚犯容量：*X
interfacetopbar_prisonercells_deathrowonly	死囚區容量：*X
interfacetopbar_prisonercells_staffonly	不可用：*X
interfacetopbar_prisoners_nocells	*X 名囚犯無法分配到牢房。
interfacetopbar_prisonercells_parents	父母人數限制：*X 人

interfacetopbar_cctv_current	目前正在運轉 *C 台攝像機
interfacetopbar_cctv_cap	*C 台攝像機的空間

interfacetopbar_tension_currentlevel	危險級別為 *X
interfacetopbar_tension_currentlevellow	低
interfacetopbar_tension_currentlevelmedium	中
interfacetopbar_tension_currentlevelhigh	高
interfacetopbar_tension_increasing	而且正在提高
interfacetopbar_tension_decreasing	而且正在降低
interfacetopbar_tension_description	因素：
interfacetopbar_tension_happyprisoners	- *X 名囚犯說他們得到了良好的待遇
interfacetopbar_tension_unhappyprisoners	+ *X 名囚犯具有嚴重投訴
interfacetopbar_tension_lockedupprisoners	+ *X 名囚犯被拷在其牢房或單人牢房中
interfacetopbar_tension_riotingprisoners	+ *X 名囚犯正進行暴動
interfacetopbar_tension_wellfedprisoners	- *X 名囚犯吃得飽
interfacetopbar_tension_suppressedprisoners	= *X 名囚犯遭到鎮壓 (報怨)
interfacetopbar_tension_activeriotguards	+ *X 名防暴警察處於監獄內
interfacetopbar_tension_activearmedguards	+ *X 名武裝警衛正在執勤
interfacetopbar_tension_recentdeaths	+ *X 人最近被殺害
interfacetopbar_tension_recentsearches	+ *X 名囚犯最近遭到不必要的搜查
interfacetopbar_tension_angrygangmembers	+ *X 名團夥成員感到憤怒（頭目受到懲罰）
interfacetopbar_tension_recentpunishments       #REF!
interfacetopbar_tension_recentcalmed	- *X 名囚犯最近得到安撫
interfacetopbar_tension_staffmorale_low	+ 工作人員士氣低落
interfacetopbar_tension_staffmorale_high	- 工作人員士氣高昂
interfacetopbar_tension_staffonstrike	+ 你的工作人員罷工中
interfacetopbar_tension_dangerzone	+ 危險區域！

interfacetopbar_staffmorale_title	工作人員士氣
interfacetopbar_staffmorale_happystaff	+ *X 名工作人員滿意他們的工作
interfacetopbar_staffmorale_unhappystaff	- *X 名工作人員極為不滿
interfacetopbar_staffmorale_injuredstaff	- *X 名工作人員受傷
interfacetopbar_staffmorale_staffdeaths	- *X 名工作人員值勤時喪命
interfacetopbar_staffmorale_staffpayverygood	+ 名工作人員收入極高
interfacetopbar_staffmorale_staffpaygood	+ 名工作人員收入不錯
interfacetopbar_staffmorale_staffpaybad	- 名工作人員收入不足

interfacecontrol_mainmenu	主功能表 (Esc)
interfacecontrol_mainmenu_tooltip	切換主功能表（新建/載入/儲存/退出等）
interfacecontrol_todo	任務清單
interfacecontrol_todo_tooltip	切換任務清單
interfacecontrol_research	官僚機構
interfacecontrol_research_tooltip	打開「官僚機構」螢幕，您可以在其中指派管理人員解鎖新的項目、工作人員類型和設施。
interfacecontrol_grading	監獄等級
interfacecontrol_grading_tooltip	打開「監獄等級」螢幕，該螢幕會顯示您的成功程度的總體評分。

interface_confirmlandbuy	確定要以 *X 美元購買這塊土地嗎？
interface_loadconfirm	確定要載入此地圖嗎？所有未儲存的進度將遺失。
interface_saveconfirm	確定要使用此檔案名稱儲存嗎？現有的資料將被複寫。

interface_landbuylabel	*X 米 x *Y 米。總面積為 *A 平方米。*C

interface_action_dismantle	拆除
interface_action_dump	丟棄
interface_action_repair	修補
interface_action_medicalbay	醫院
interface_action_search	搜查
interface_action_searchcell	搜查牢房
interface_action_searchcellblock	搜查牢房區
interface_action_searchtoilets	搜查廁所
interface_action_sack	解雇
interface_action_dooropen	開門
interface_action_doormodenormal	門模式：普通
interface_action_doormodelockedshut	鎖上
interface_action_doormodelockedopen	開鎖
interface_action_switchon	打開
interface_action_switchoff	關閉
interface_action_sellobject	出售物品
interface_action_dismiss	遣散
interface_action_connect	連接
interface_action_clearconnections	清除連接
interface_action_servoopen	打開觸發器
interface_action_servoclose	關閉觸發器
interface_action_follow	跟隨
interface_action_rapsheet	顯示犯罪記錄

interface_contents_container	內容：*X
interface_contents_stack	內容：*X x *Y

interface_skip	跳過

interface_error_riotmove	無法進入：暴動

interface_foundationsinprogress	地基建設進行中
riot_underway	正在發生暴動
riot_status_prisoners	*X 名囚犯正進行暴動
shakedown_underway	正在進行徹底搜查
shakedown_found	已找到：

gameover_caption	按 ESC 繼續

sector_jobs_max	最多工數：*X
sector_jobs_qualified	合格囚犯：*X
sector_jobs_required	（必需：*X）
sector_noaccess	禁止入內
sector_insecure	不安全


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title	硬件相容性測試
hardware_compat_message	如果您許可，我們想要從您的電腦收集以下硬件資料。\n\n此資訊完全匿名，而且將幫助我們確保《監獄建築師》受最大範圍的電腦硬件支持\n\n謝謝！
hardware_compat_accept	接受
hardware_compat_decline	拒絕

connectionmenu_connect	連接
connectionmenu_disconnect	斷開連接
connectionmenu_clear	清除
connectionmenu_done	完成


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title	構建
buildtoolbar_reports	報告
buildtoolbar_bangup	拘禁
buildtoolbar_lockdown	禁閉
buildtoolbar_shakedown	徹底搜查
buildtoolbar_weaponsfree	自由開火

buildtoolbar_tooltip_reports	打開報告窗口，以查看有關囚犯、工作人員、收入、津貼任務等的資訊。
buildtoolbar_tooltip_bangup	將所有（願意的）囚犯送回其牢房。如果您將囚犯拘禁過長的時間，會使囚犯非常憤怒。
buildtoolbar_tooltip_lockdown	立即鎖好監獄中的所有門。
buildtoolbar_tooltip_shakedown	下命令立即搜查所有牢房。這樣做需要時間，而且將惹惱囚犯。
buildtoolbar_tooltip_weaponsfree	授權警衛使用致命武力。狙擊手擊殺目標前不再鳴槍警告。
buildtoolbar_tooltip_nostrike	在工作人員罷工期間無法使用。

buildtoolbar_cost	成本：*C 美元
buildtoolbar_cost_sqrft	成本：*C 美元/平方
buildtoolbar_wages	工資：*W 美元/天
buildtoolbar_upkeep	維修：*W 美元/天
buildtoolbar_outdoor	僅限室外
buildtoolbar_indoor	僅限室內
buildtoolbar_walk_speed	步行速度：*S
buildtoolbar_walk_speed_slow	慢速
buildtoolbar_walk_speed_norm	普通
buildtoolbar_walk_speed_fast	快速
buildtoolbar_locked	已鎖定
buildtoolbar_locked_research	已鎖定（您需要 *B）
buildtoolbar_locked_administrator	已鎖定（需要 *B）
buildtoolbar_room	房間

buildtoolbar_electrical	- 電氣
buildtoolbar_highpower	- 大功率
buildtoolbar_water	- 需要連接水源
buildtoolbar_wired	- 用鐵絲網圍住（連接其他網狀物體）
buildtoolbar_modcontent	- 模組內容

buildtoolbar_popup_foundations	構建/拆除建築來塑造您的監獄。
buildtoolbar_popup_construction	不同類型的地板和墻壁。
buildtoolbar_popup_planning	規劃您的監獄，而不必擔心工人們實際上會做任何事。
buildtoolbar_popup_designation	指定具有特定功能的監獄區域。
buildtoolbar_popup_objects	在監獄各處放置有用的物品。
buildtoolbar_popup_overlays	從視覺上識別監獄佈局的缺點。
buildtoolbar_popup_utilities	管道和電力系統。
buildtoolbar_popup_staff	雇傭必要人員來運營您的監獄。
buildtoolbar_popup_deployment	將工作人員指派到監獄的各個區域。
buildtoolbar_popup_logistics	指派囚犯在監獄各處工作。此外，人力控制食堂和洗衣房任務。
buildtoolbar_popup_research	為您的監獄解鎖新契機。
buildtoolbar_popup_emergencies	如果情況惡化，則引入應急服務機構。
buildtoolbar_popup_clone	複製並粘貼您的現有結構。
buildtoolbar_popup_properties	調查清楚。
buildtoolbar_popup_contraband	顯示違禁品的來源和最近在監獄中追回的所有違禁品。還會顯示您的秘密線人及其資訊。
buildtoolbar_popup_grading	查看您的監獄基於四項關鍵指標（懲罰、改造、安全和健康）的總體評級情況。還顯示您的監獄的再犯罪率。
buildtoolbar_popup_prefabs	複製貼上你的監獄的現有部分，或放置預製的房間。
buildtoolbar_popup_room_cell	囚犯生活的地點。
buildtoolbar_popup_room_holdingcell	在找到適合新成員的牢房之前，安置新成員的房間。
buildtoolbar_popup_room_solitary	一種隔離形式的監禁，用於懲罰最壞的囚犯。
buildtoolbar_popup_room_dormitory	不同大小的房間，可安置多名囚犯。房間愈大，可安置的囚犯就愈多。
buildtoolbar_popup_room_familycell	有嬰孩的囚犯所居住的地方。
buildtoolbar_popup_room_sharedcell	多人合住牢房，可安置多名囚犯。可安置最多 8 名囚犯。
buildtoolbar_popup_room_canteen	囚犯喝下午茶的地點。
buildtoolbar_popup_room_kitchen	廚師為囚犯準備食物的地點。
buildtoolbar_popup_room_shower	用於使囚犯非常乾淨，不長蝨子。
buildtoolbar_popup_room_yard	在位於高塔的狙擊手密切注視下，讓囚犯每天看到幾個小時的陽光。
buildtoolbar_popup_room_storage	用於存放監獄工作人員需要的任何材料的指定區域。
buildtoolbar_popup_room_deliveries	移交貨物、材料和囚犯的地點。
buildtoolbar_popup_room_garbage	廢品收集來源地。
buildtoolbar_popup_room_execution	對囚犯執行死刑的地點。
buildtoolbar_popup_room_workshop	讓囚犯製作汽車號牌，同時無聊至死的地點。
buildtoolbar_popup_room_security	官員辦公室。
buildtoolbar_popup_room_office	行政管理人員工作的區域。
buildtoolbar_popup_room_medicalward	醫護人員工作區。昏迷的囚犯需要更多時間恢復，但不用擔心，醫護人員會好好照顧他們。
buildtoolbar_popup_room_morgue	安放死亡的囚犯和工作人員的地點。
buildtoolbar_popup_room_commonroom	讓囚犯有空閒時間放鬆身心。
buildtoolbar_popup_room_kennel	警犬生活的地點。
buildtoolbar_popup_room_chapel	當官僚委員會聚在一起，並設計滿足囚犯宗教需求的解決方案時會發生什麼？將開設一間「多信仰祈禱室」。我們稱之為教堂。
buildtoolbar_popup_room_paroleroom	服刑期滿 50% 和 75% 以後，您的囚犯有資格獲得假釋。監獄長和主管將在此房間中決定他們的命運。\n\n注意：建議加強安防。大家都知道當其假釋申請被拒絕時，囚犯變得十分沮喪。
buildtoolbar_popup_room_library	囚犯將收到全國各地送來的多箱棄書和二手書。囚犯需要將這些書籍整理到書架上。
buildtoolbar_popup_room_intake	囚犯抵達時，首先會被帶到此地。
buildtoolbar_popup_room_nursery	有嬰孩的囚犯的活動室。
buildtoolbar_popup_room_shop	商店讓你的囚犯有地方花他們賺來的辛苦錢，滿足他們對於奢侈品的需求。這也有助於環境衛生、食物取得及娛樂。你將會收到每筆銷售額及每天銷售總額的佣金。

buildtoolbar_popup_obj_bed	不太軟，亦不太硬，恰到好處。嗯，其實真的很硬，而且太小了。
buildtoolbar_popup_obj_toilet	一項基本人權，前提是您相信那些瘋子的鬼話。
buildtoolbar_popup_obj_table	可與椅子構成完美搭配。
buildtoolbar_popup_obj_chair	可與桌子構成完美搭配。
buildtoolbar_popup_obj_bench	用於就座。
buildtoolbar_popup_obj_electricchair	可提供伸張正義的 2000V 電壓。
buildtoolbar_popup_obj_jaildoor	讓囚犯待在應該待的地方。
buildtoolbar_popup_obj_jaildoorlarge	讓眾多囚犯待在應該待的地方。
buildtoolbar_popup_obj_door	一扇簡單的門。
buildtoolbar_popup_obj_solitarydoor	一扇牢固結實的門，可防止最強壯的囚犯逃脫。
buildtoolbar_popup_obj_staffdoor	一扇帶鎖的門，可由任何工作人員（而非僅限警衛）開啟。
buildtoolbar_popup_obj_window	可以瞥見陽光。
buildtoolbar_popup_obj_windowlarge	可以瞥見充足的陽光。
buildtoolbar_popup_obj_tree	採取措施應對全球變暖是我們所有人的責任。
buildtoolbar_popup_obj_light	確保您時時刻刻都能看到囚犯。
buildtoolbar_popup_obj_cooker	透過熱騰騰的食物帶給囚犯豪華的生活。
buildtoolbar_popup_obj_fridge	防止食物腐爛變質。
buildtoolbar_popup_obj_bin	涉及違禁品時，整潔乾淨十分重要。
buildtoolbar_popup_obj_sink	所有員工必須洗手。若連接到熱水，工作效率會更好。
buildtoolbar_popup_obj_servingtable	為囚犯裝盛食物。
buildtoolbar_popup_obj_officedesk	您的工作人員需要做許多案頭工作。為他們提供一張可在其上處理公務的閃閃發亮的辦公桌。
buildtoolbar_popup_obj_filingcabinet	您的工作人員需要讓其撰寫的檔案整潔有序。
buildtoolbar_popup_obj_morgueslab	確保死者在轉移前可以安息在受尊重的地方。
buildtoolbar_popup_obj_drain	清除地板上的水。
buildtoolbar_popup_obj_sprinkler	火災時為其所在區域自動噴水滅火。
buildtoolbar_popup_obj_metaldetector	在經過這些地點的囚犯身上找到違禁品。需要一名警衛在旁邊收繳違禁品。
buildtoolbar_popup_obj_weightsbench	讓囚犯能夠鍛煉身體，從而讓他們保持愉快的心情。
buildtoolbar_popup_obj_tv	用麻痹頭腦的平庸之道安撫囚犯。需有一個空間讓囚犯看電視。
buildtoolbar_popup_obj_largetv	讓眾多囚犯分享其腦殘經歷。需有一個空間讓囚犯看電視。
buildtoolbar_popup_obj_pooltable	用打桌球消除監獄生活的單調乏味。
buildtoolbar_popup_obj_dismantleobject	從監獄中移除某件物品。
buildtoolbar_popup_obj_altar	將您的祈禱直接傳達給您信奉的神靈。
buildtoolbar_popup_obj_pews	供虔誠的信徒就座的座位。以最堅硬的木材製成，不帶任何軟墊。
buildtoolbar_popup_obj_prayermat	在囚犯祈禱時，避免其接觸髒兮兮的地板。

buildtoolbar_popup_staff_guard	用於使囚犯受到控制，不惹麻煩。
buildtoolbar_popup_staff_armedguard	配備獵槍，囚犯要襲擊這個傢伙應三思而行。\n\n注意：每名武裝警衛需要在軍械庫擁有自己的儲物櫃。
buildtoolbar_popup_staff_doctor	主動治療附近的受傷人員，無論是警衛還是囚犯。
buildtoolbar_popup_staff_cook	用他們烹製的餐點填飽囚犯的肚子。
buildtoolbar_popup_staff_gardener	讓監獄的庭園始終漂亮整潔。
buildtoolbar_popup_staff_janitor	讓監獄內部保持乾淨整潔。還可以幫助完成監獄的洗衣工作。

buildtoolbar_popup_uts_powerstation	發電以供監獄使用。也可連接至變電器用於輸出電能。
buildtoolbar_popup_uts_capacitor	安放到發電站旁邊後，可以提高發電量。
buildtoolbar_popup_uts_electricalcable	將電力配送到監獄各處。
buildtoolbar_popup_uts_powerswitch	可切斷或恢復與之相連的任何電纜的電力供應。\n\n按滑鼠右鍵可切換開/關狀態。
buildtoolbar_popup_uts_waterpumpstation	為監獄提供水源。
buildtoolbar_popup_uts_pipevalve	可切斷或恢復與之相連的任何管道的水源供應。
buildtoolbar_popup_uts_pipelarge	在高壓之下將大量的水分配到監獄各處。很可能容得下一個人爬過 500 碼散發惡臭的污水而奔向自由。\n\n注意：一般不會用於連接水槽和淋浴噴頭等，因為水壓太高。為此使用小型管道。
buildtoolbar_popup_uts_pipesmall	用於將馬桶、淋浴間和水槽等連接到大型管道網路。此水壓低得多，因此在水壓變得過低之前，只能在小型管道中逃出有限的距離。
buildtoolbar_popup_uts_cctv	密切留意監獄情況，無需將警衛同時指派到各處。\n\n您必須將閉路電視監視器連接到此攝像機，它才能運作。
buildtoolbar_popup_uts_cctvmonitor	專門建在保安室內，由警衛操作。可遠端監視監獄各處的閉路電視攝像機。\n\n使用「連接」工具將此監視器連接到您的閉路電視攝像機。\n\n注意：最多可以同時觀看 8 台攝像機。如果連接 8 台以上的攝像機，監視器將依次反復循環監視，因而只提供部分覆蓋。
buildtoolbar_popup_uts_DoorControlSystem	專門建在保安室內，由警衛操作。可用於遠端打開監獄各處的門。\n\n使用「連接」工具將此系統連接到您的門禁伺服系統。門禁伺服系統應建在您希望遠端控制的門的上方。\n\n注意：您可以將此裝置連接到任意數量的伺服系統，但作業系統的警衛每秒最多能打開兩扇門。
buildtoolbar_popup_uts_phonemonitor	專門建在保安室內，並由警衛操作。允許您監視囚犯的所有呼出通話，讓您瞭解到有關計劃非法活動的重要內情。\n\n使用「連接」工具將此系統連接到您的電話亭。
buildtoolbar_popup_uts_Servo	將伺服系統放置在您希望遠端控制的門的上方。請確保將電機齒輪直接放置在門的上方。\n\n安裝好後，當觸發了伺服系統時（通常由門禁控制系統或門禁計時器觸發），門將開啟。\n\n伺服系統可鏈接在一起，從而在第一扇門開啟時使其觸發後面的門。
buildtoolbar_popup_uts_LogicCircuit	僅限高級建築師。\n\n根據其輸入執行邏輯作業並相應地設定其輸出的簡便電箱。\n\n可用作業：與 / 或 / 非 / 與非 / 或非 / 異或\n\n按滑鼠右鍵可循環邏輯作業。
buildtoolbar_popup_uts_LogicBridge	僅限高級建築師。\n\n接收輸入訊號，並將其橋接到安裝在相同區域中的電纜上。該電纜會將訊號傳送到安裝在相同電纜上的其他邏輯電路。\n\n可用於在監獄各處「播送」通用訊號，例如，有助於傳送通用的「時鐘」訊號。
buildtoolbar_popup_uts_DoorTimer	可用於在一天中的特定時刻自動開門。\n\n使用「連接」工具將計時器連接到您的門禁伺服系統。
buildtoolbar_popup_uts_Wire	將您的遠端存取系統連接在一起。
buildtoolbar_popup_uts_showallwires	顯示監獄中每一條連接的電線。
buildtoolbar_popup_uts_remotedoor	牢固的金屬門，無法用鑰匙打開（只能遠端開啟）。使用此門可在囚犯獲得監獄鑰匙時，防止大規模越獄事件。
buildtoolbar_popup_uts_dismantleutility	從監獄中移除實用物品。
buildtoolbar_popup_uts_pressurepad	每當襯墊頂部具有某物時，將訊號傳送至連接的物品。
buildtoolbar_popup_uts_statuslight	點亮紅燈或綠燈，具體取決於接收的訊號。

buildtoolbar_popup_autolights_name	自動燈具
buildtoolbar_popup_autolights	自動燈具佈置
buildtoolbar_popup_autolights_desc	選中後，當新建造的建築竣工後，將在其中各處自動安放燈具。

buildtoolbar_contraband_source	顯示監獄可能被盜走違禁品的所有位置。
buildtoolbar_contraband_day	顯示過去 24 小時內沒收的所有違禁品。圖像顯示違禁品被沒收的地方。
buildtoolbar_contraband_week	顯示過去 7 天內沒收的所有違禁品。圖像顯示違禁品被沒收的地方。
buildtoolbar_contraband_alltime	顯示監獄有史以來沒收的所有違禁品。圖像顯示違禁品被沒收的地方。
buildtoolbar_contraband_stolenfrom	顯示過去 7 天內的所有違禁品。圖像顯示違禁品從何處被竊取，或從何處被走私到監獄內。
buildtoolbar_contraband_informants	顯示秘密線人收集的資訊。
buildtoolbar_contraband_gangs	顯示你的監獄內的幫派資訊。

buildtoolbar_deployment_Guards	將警衛指派到監獄的各個防區。
