# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新記錄
buildtoolbar_popup_help_Guards_2	~按左鍵增加區域內駐守的警犬訓練師人數，按右鍵移除警衛。\n\n
buildtoolbar_popup_help_Guards_3	^提示
buildtoolbar_popup_help_Guards_4	- 若你解鎖微觀管理功能，你可使用部署調度器。這可以讓你制定守衛指派至特定區域的時間表。例如，若你只想要在吃飯時間部署守衛在餐廳，你可以選取調度器上每一個與吃飯時間一致的時間區塊，然後移動時間橫條至該區塊，再點擊餐廳以指派守衛。
buildtoolbar_popup_help_Guards_5	- 共有最多 9 個不同的時間區塊供你調度，還有預設的永遠使用模式，讓你可以建立複雜的部署程序以符合你監獄的需求。
buildtoolbar_popup_help_Guards_6	- 如果你在指派警犬訓練師時，沒有手動選擇一個時間區塊，調度程序會使用當下的時間；更改部署時，請確保你選擇正確的時間！

buildtoolbar_popup_help_Dogs_1	警犬訓練師工具可以讓你在每個區域駐守警犬訓練師。駐守警衛會在其指派區域隨意走動，也會執行該區域的所有警衛工作，例如開門。\n\n
buildtoolbar_popup_help_Dogs_2	~按左鍵增加區域內駐守的警犬訓練師人數，按右鍵移除警犬訓練師。\n\n
buildtoolbar_popup_help_Dogs_3	^提示
buildtoolbar_popup_help_Dogs_4	- 若你解鎖微觀管理功能，你可使用部署調度器。這可以讓你制定訓犬員指派至特定區域的時間表。例如，若你只想要在吃飯時間部署訓犬員在餐廳，你可以選取調度器上每一個與吃飯時間一致的時間區塊，然後移動時間橫條至該區塊，再點擊餐廳以指派訓犬員。
buildtoolbar_popup_help_Dogs_5	- 共有最多 9 個不同的時間區塊供你調度，還有預設的永遠使用模式，讓你可以建立複雜的部署程序以符合你監獄的需求。
buildtoolbar_popup_help_Dogs_6	- 如果你在指派警犬訓練師時，沒有手動選擇一個時間區塊，調度程序會使用當下的時間；更改部署時，請確保你選擇正確的時間！

buildtoolbar_popup_help_ArmedGuards_1	武裝警衛工具可以讓你在每個區域駐守武裝警衛。駐守警衛會在其指派的區域隨意走動，也會執行該區域的所有警衛工作，例如開門。\n\n
buildtoolbar_popup_help_ArmedGuards_2	~按左鍵增加區域內駐守的警衛人數，按右鍵移除警衛。\n\n
buildtoolbar_popup_help_ArmedGuards_3	^提示
buildtoolbar_popup_help_ArmedGuards_4	- 若你解鎖微觀管理功能，你可使用部署調度器。這可以讓你制定武裝警衛指派至特定區域的時間表。例如，若你只想要在吃飯時間部署武裝警衛在餐廳，你可以選取調度器上每一個與吃飯時間一致的時間區塊，然後移動時間橫條至該區塊，再點擊餐廳以指派武裝警衛。
buildtoolbar_popup_help_ArmedGuards_5	- 共有最多 9 個不同的時間區塊供你調度，還有預設的永遠使用模式，讓你可以建立複雜的部署程序以符合你監獄的需求。
buildtoolbar_popup_help_ArmedGuards_6	- 如果你在指派武裝警衛時，沒有手動選擇一個時間區塊，調度器會使用當下的時間；更改部署時，請確保你選擇正確的時間！

interfacedeployment_PrioritizeArea	優先區域 (*X)
buildtoolbar_deployment_PrioritizeGuard	使用此選項，可以優先指派警衛監視你監獄周圍的特定區塊。如果你人手不足，警衛會先監視你設定的優先區域。有兩個優先級別可選，「高」(>>) 和「超高」(>>>)。

interfacedeployment_BluePatrol	藍色巡邏路線
buildtoolbar_deployment_BluePatrol	有顏色的巡邏路線允許重疊，你可以為這些路線單獨安排警衛。點選並拖曳可建立一條藍色巡邏路線。按滑鼠右鍵並拖曳可清除藍色巡邏路線。使用「指派警衛」按鈕可新增警衛至巡邏路線。

interfacedeployment_MagentaPatrol	紅色巡邏路線
buildtoolbar_deployment_MagentaPatrol	有顏色的巡邏路線允許重疊，你可以為這些路線單獨安排警衛。點選並拖曳可建立一條紅色巡邏路線。按滑鼠右鍵並拖曳可清除紅色巡邏路線。使用「指派警衛」按鈕可新增警衛至巡邏路線。

interfacedeployment_PrioritizePatrol	優先巡邏路線
buildtoolbar_deployment_PrioritizePatrol	使用此選項，可以優先指派警衛監視你監獄周圍的特定巡邏路線。如果你人手不足，警衛會先監視你設定的優先巡邏路線。有兩個優先級別可選，「高」(>>) 和「超高」(>>>)。

buildtoolbar_popup_filter_title	過濾器清單
buiildtoolbar_popup_filter_toggle	點選按鈕進行切換
buildtoolbar_popup_filter_default	預設
buildtoolbar_popup_filter_az	A - Z
buildtoolbar_popup_filter_owned	已擁有
buildtoolbar_popup_filter_costhighlow	費用（從高到低）
buildtoolbar_popup_filter_costlowhigh	費用（從低到高）
buildtoolbar_popup_filter_indooroutdoor	從室內到室外
buildtoolbar_popup_filter_outdoorindoor	從室外到室內
buildtoolbar_popup_filter_quantity	擁有數量
buildtoolbar_popup_filter_byroom	按房間






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	連按兩下：移動物品

double_click_add_door	連按兩下左鍵新增門。

codex_option_bureaucracyresearched	研發官僚機構
codex_tooltip_bureaucracyresearched	開始新遊戲時，研發全部的官僚機構樹。

codex_option_jungle	叢林地塊
codex_tooltip_jungle	產生一個形似茂密叢林的起始地塊。

codex_option_snowy	冰雪地塊
codex_tooltip_snowy	產生一個被雪覆蓋的起始地塊。

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	洗刷

action_Stretching	鍛鍊
action_PlayChess	下棋


plant_tree_location	在*X種樹

report_intake_cat_SuperMax	超重刑犯

interface_undo	撤消

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	儲存監獄失敗。
codex_changelog_next	下一步 >
codex_changelog_prev	< 上一步
codex_credits	製作團隊

codex_options_screenshotmode	螢幕擷取畫面模式
codex_tooltip_screenshotmode	在螢幕擷取畫面模式下，按住 [*K] 鍵不放，再按 [*E] 鍵，可以關閉/開啟所有 UI 和 HUD 介面。
codex_sso_content_message	您已成功註冊 Paradox 帳號。\n\n為了表示感謝，遊戲已解鎖新警衛亭！點選「物品」選單即可找到。
codex_options_borderless_windowed	無邊框
codex_options_monitor	監視器


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	顯示模式
codex_options_borderless_fullscreen	無邊框全螢幕
codex_options_display_monitor	顯示監視器
codex_options_windowed_resolution	已視窗化解析度

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	牆壁（裝飾風藝術）
material_blueWall	高級牆壁（藍色條紋）
material_burgundyWall	高級牆壁（酒紅色）
material_greenWall	高級牆壁（綠色）
material_orientalWall	牆壁（東方）
material_cushionedwall	牆壁（緩衝）

material_sandstone	砂岩
material_limestonefloor	石灰岩
material_blueCarpet	地毯（藍色）
material_redCarpet	地毯（紅色）
material_brownCarpet	地毯（棕色）
material_paddedfloor	軟墊
material_grassstones	草坪和石頭
material_grasscornerfloor	草坪轉角
material_grasscornerfloor1	草坪轉角
material_grasscornerfloor2	草坪轉角
material_grasscornerfloor3	草坪轉角
material_lunarfloor	月亮

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	樹（可怕的樹）
object_cactustree	樹（仙人掌）
object_sakuratree	樹（櫻花）
object_plantcactus	植物（仙人掌）
object_tyrestack	輪胎堆
object_lamp	燈（落地燈）
object_bathroomSink	洗手台
object_bathroomHandDryer	烘手機
object_chestOfDrawers	抽屜櫃
object_woodenStool	木凳
object_woodenTable	木桌
object_bucket	桶子
object_shortbookcase	書架（矮）
object_outdoorTable	室外桌
object_mooseHead	糜鹿頭
object_toiletSign	標誌（廁所）
object_rightArrowSign	標誌（右箭頭）
object_leftArrowSign	標誌（左箭頭）
object_infirmarySign	標誌（醫務室）
object_canteenSign	標誌（食堂）
object_showerSign	標誌（淋浴間）
object_armourySign	標誌（武器庫）
object_jaildoorred	牢門（紅色）
object_jaildoorgrey	牢門（灰色）
object_jaildoororange	牢門（橘色）
object_jaildoorYellow	牢門（黃色）
object_jaildoorlargered	大型牢門（紅色）
object_jaildoorlargegrey	大型牢門（灰色）
object_jaildoorlargeorange	大型牢門（橙色）
object_jaildoorlargeyellow	大型牢門（黃色）
object_coatstand	掛衣架
object_dogbowl	寵物狗用碗
object_footbridge	人行橋
object_footbridgesteel	鋼製人行橋
object_footbridgeb	人行橋 B
object_footbridgesteelb	鋼製人行橋 B
object_windowclassy	高級窗戶
object_windowclassyLarge	高級窗戶（大型）
object_gravestone	墓碑
object_psychiatrist	精神科醫生
object_orderly	護理人員
object_rorschachTest	羅夏墨跡測驗
object_anatomyModel	解剖模型
object_flipboard	旋轉板
object_medicineCabinetPsych	醫藥箱
object_leatherchair	皮椅
object_leatherSofa	皮沙發
object_parkbench	長椅（公園）
object_fencegateguard	柵欄門（警衛用）
object_oaktable	桌子（橡木）
object_oakbench	長椅（橡木）
object_BoomBoxRoundHouse	立體聲揚聲器

object_classic	經典
object_dalmation	大麥町狗
object_husky	哈士奇
object_companion	陪伴
object_cat	貓
object_direwoof	恐狼

equipment_fountainPen	鋼筆
equipment_goldPocketWatch	金色懷錶
equipment_sedativeShot	鎮靜針（注射）
equipment_sedativesyringe	鎮靜劑（注射）

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	建造裝飾性藝術牆壁，為監獄營造 1920 年代的建築外觀。
buildtoolbar_popup_mat_blueWall	在地基上建造高級牆壁，來建立新的員工區域或房間。
buildtoolbar_popup_mat_burgundywall	在地基上建造高級牆壁，來建立新的員工區域或房間。
buildtoolbar_popup_mat_greenwall	在地基上建造高級牆壁，來建立新的員工區域或房間。
buildtoolbar_popup_mat_orientalwall	建造東方式的牆壁，在監獄中建立日本古代風格的區域。
buildtoolbar_popup_mat_cushionedwall	在地基上建造牆壁部分，來建立具有華麗皮革外觀的新區域或房間。
buildtoolbar_popup_mat_sandstone	在室外區域鋪設砂岩板。
buildtoolbar_popup_mat_limestonefloor	地板是褪色的石灰色。
buildtoolbar_popup_mat_blueCarpet	鋪設舒適地毯，非常適合員工區域。
buildtoolbar_popup_mat_redCarpet	鋪設舒適地毯，非常適合員工區域。
buildtoolbar_popup_mat_brownCarpet	鋪設舒適地毯，非常適合員工區域。
buildtoolbar_popup_mat_paddedfloor	搭配軟墊牆壁，為精神病犯建立完整的軟墊牢房。
buildtoolbar_popup_mat_grassstones	帶有石板的草地區域。
buildtoolbar_popup_mat_grassscornerfloor	帶有泥土的草坪轉角，對於有角度的道路很有用。
buildtoolbar_popup_mat_lunarfloor	具有星際外觀的堅硬岩石表面。
buildtoolbar_popup_obj_spookytree	一棵可怕的古樹。
buildtoolbar_popup_obj_cactustree	在旱地上看起來最適合。
buildtoolbar_popup_obj_sakuratree	一棵開著粉紅色花朵的美麗櫻花樹。
buildtoolbar_popup_obj_plant	一棵令人愉悅的室內植物。
buildtoolbar_popup_obj_plantcactus	一棵室內仙人掌盆栽。
buildtoolbar_popup_obj_tyrestack	當作小型牆壁，犯人和員工走動時會繞開它。
buildtoolbar_popup_obj_lamp	一盞華麗的落地燈，非常適合辦公室和員工區域。
buildtoolbar_popup_obj_bathroomSink	沒有它，衛生浴室就不完整
buildtoolbar_popup_obj_bathroomHandDryer	與洗手台完美搭配
buildtoolbar_popup_obj_chestOfDrawers	一個木製抽屜櫃。
buildtoolbar_popup_obj_woodenStool	搭配木桌會很棒。
buildtoolbar_popup_obj_woodenTable	搭配木凳會很棒
buildtoolbar_popup_obj_bucket	只是一個桶子
buildtoolbar_popup_obj_shortbookcase	一個矮書架。
buildtoolbar_popup_obj_outdoorTable	讓犯人坐在室外吃東西。
buildtoolbar_popup_obj_mooseHead	一個手工製作的美麗糜鹿頭，裝在牆板上。
buildtoolbar_popup_obj_toiletSign	一個帶有廁所標示的牆誌。
buildtoolbar_popup_obj_rightArrowSign	一個帶有右箭頭標示的牆誌。
buildtoolbar_popup_obj_leftArrowSign	一個帶有左箭頭標示的牆誌。
buildtoolbar_popup_obj_infirmarySign	一個帶有醫務室標示的牆誌。
buildtoolbar_popup_obj_canteenSign	一個帶有食堂標示的牆誌。
buildtoolbar_popup_obj_showerSign	一個帶有淋浴間標示的牆誌。
buildtoolbar_popup_obj_armourySign	一個帶有武器庫標示的牆誌。
buildtoolbar_popup_obj_jaildoorred	彩色牢門，有助於標示重刑犯牢房。
buildtoolbar_popup_obj_jaildoorgrey	彩色牢門，有助於標示輕刑犯牢房。
buildtoolbar_popup_obj_jaildoororange	彩色牢門，有助於標示中刑犯牢房。
buildtoolbar_popup_obj_jaildooryellow	彩色牢門，有助於標示重點保護牢房。
buildtoolbar_popup_obj_jaildoorlargered	大型彩色牢門，有助於標示重刑犯牢房。
buildtoolbar_popup_obj_jaildoorlargegrey	大型彩色牢門，有助於標示輕刑犯牢房。
buildtoolbar_popup_obj_jaildoorlargeorange	大型彩色牢門，有助於標示中刑犯牢房。
buildtoolbar_popup_obj_jaildoorlargeYellow	大型彩色牢門，有助於標示重點保護牢房。
buildtoolbar_popup_obj_coatstand	放置員工外套和帽子的地方。
buildtoolbar_popup_obj_dogbowl	為疲勞的警犬提供水和食物。\n少量增加狗的耐力。
buildtoolbar_popup_obj_secretdoor	一扇偽裝成書櫃的暗門，可推開讓員工通過。
buildtoolbar_popup_obj_parkbench	一張室外公園長椅。
buildtoolbar_popup_obj_fencegateguard	一扇看起來很棒的帶柵欄大門，只有警衛可以打開。
buildtoolbar_popup_obj_oaktable	可以在這裡吃飯。
buildtoolbar_popup_obj_oakbench	可以坐在上面，搭配橡木桌會很棒。

buildtoolbar_popup_obj_classic	本來的警犬，老了但經驗豐富。
buildtoolbar_popup_obj_dalmation	本來在農場生活，但現在在預防逃走區工作。
buildtoolbar_popup_obj_husky	對於在雪地行走的逃犯而言，這是致命的陷阱。
buildtoolbar_popup_obj_companion	警衛最好的朋友
buildtoolbar_popup_obj_cat	並非每個人都喜歡狗。
buildtoolbar_popup_obj_direwoof	誰會試圖逃跑？

buildtoolbar_popup_filter_mostused	最常用
buildtoolbar_caters_safety	滿足安全所需。

interfacedeployment_orderly	分配護理人員
buildtoolbar_deployment_orderly	將護理人員配送至你監獄裡的區塊。

interfacedeployment_orderlypatrols	分配護理人員
buildtoolbar_deployment_orderlypatrols	將護理人員配送至你監獄的巡邏路線。

room_PaddedCell	軟墊牢房
room_PaddedHoldingCell	軟墊拘留牢房
room_PsychiatristOffice	精神科醫生辦公室

interfaceplanning_BuildPlan	建築規劃
interfaceplanning_ClearPlan	清除規劃
interfaceplanning_Door	門

buildtoolbar_improvement	- 升級*R
buildtoolbar_improvement_windows	（面向外面時）

buildplan_title	選擇牆壁類型
buildplan_message	準備好按照你的規劃建造了嗎？\n	此操作無法取消。\n\n	所有已規劃牆壁都將使用相同的牆壁類型來建造。\n	牆壁選擇類型可在下方更改。
clearplan_title	清除規劃
clearplan_message	確定要清除所有已繪製的規劃嗎？\n\n	此操作無法取消。

d11_custom_planning	自訂規劃

buildtoolbar_popup_planning	對監獄進行規劃，在你準備好之前不必擔心工人會進行任何實際工作。通過規劃功能表，你可以選擇建造所有規劃的建築結構和門、從規劃中清除區塊，或清除整個規劃並重新開始。

buildtoolbar_popup_help_planningDoor_1	在規劃中放置門時，會使用已選定的門型。
buildtoolbar_popup_help_quickBuildWall_1	選定的牆壁類型將用於下一次快速建造


buildtoolbar_popup_mat_blueclassywall	在地基上建造高級牆壁，來建立新的員工區域或房間。
buildtoolbar_popup_mat_burgundyclassywall	在地基上建造高級牆壁，來建立新的員工區域或房間。
buildtoolbar_popup_mat_greenclassywall	在地基上建造高級牆壁，來建立新的員工區域或房間。

buildtoolbar_popup_obj_windowclassy	讓外觀看起來大勝於實際狀態。
buildtoolbar_popup_obj_windowclassyLarge	讓外觀看起來大勝於實際狀態。
buildtoolbar_popup_obj_gravestone	你的監獄中每發生一起死亡事故就會提供一塊墓碑。

buildtoolbar_popup_staff_psychiatrist	一位高級員工，定期為精神病犯提供心理諮詢。\n一旦我們在監獄中設置了心理諮詢方案，精神科醫生便會定期提供一對一諮詢服務，來安撫我們的精神病犯。\n如果我們有很多精神病犯，我們應該聘用一些精神科醫生來幫助他們。並確保每位精神科醫生都有自己的辦公室。

buildtoolbar_popup_staff_orderly	醫務人員，受過特殊訓練，能處理精神病犯。
buildtoolbar_popup_obj_leatherchair	搭配皮革沙發。非常適合員工坐下，當然也非常適合犯人。

buildtoolbar_popup_obj_rorschachTest	在精神科醫生辦公室裡增加羅夏墨跡測驗，可改善精神科醫生對精神病犯的治療
buildtoolbar_popup_obj_anatomyModel	在精神科醫生辦公室裡增加解剖模型，可改善精神科醫生對精神病犯的治療。
buildtoolbar_popup_obj_flipboard	在精神科醫生辦公室裡增加帶有大腦圖像的旋轉板，可改善精神科醫生對精神病犯的治療。
buildtoolbar_popup_obj_medicineCabinetPsych	在精神科醫生辦公室裡增加醫藥箱，可改善精神科醫生對精神病犯的治療。
buildtoolbar_popup_obj_leatherchair	搭配皮革沙發。非常適合員工坐下，當然也非常適合犯人。
buildtoolbar_popup_obj_leatherSofa	在精神科醫生辦公室裡添加經典皮革沙發，可改善精神科醫生對精神病犯的治療。

buildtoolbar_deployment_insaneseczone	只有精神病犯能夠進入此區塊。

failuremessage_maximumcountreachedgeneric	放置數量已達上限

buildtoolbar_popup_locked_PsychiatricConsultation	*B 次精神治療後解鎖
buildtoobar_PsychConItemImproveInfo	- 升級精神科醫生辦公室。
buildtoobar_PsychConItemImproveSuppression	- 諮詢結束後，該精神病犯的\n壓抑和某些需求降低 +5%
buildtoobar_PsychConItemImproveGrace	- 諮詢結束後，在其壓抑和某些需求再次上升之前，\n為該精神病犯\n提供 1 天的額外“寬限”期。
buildtoolbar_popup_obj_Footbridge	允許犯人和員工穿過陸地和水域。無法在牆壁、柵欄和其他建築物上建造。
buildtoolbar_popup_obj_FootbridgeSteel	允許犯人和員工穿過陸地和水域。無法在牆壁、柵欄和其他建築物上建造。
buildtoolbar_popup_obj_FootbridgeB	允許犯人和員工穿過陸地和水域。無法在牆壁、柵欄和其他建築物上建造。
buildtoolbar_popup_obj_FootbridgeSteelB	允許犯人和員工穿過陸地和水域。無法在牆壁、柵欄和其他建築物上建造。
buildtoolbar_popup_obj_BoomBoxRoundHouse	在監獄中度日如年，讓囚犯聽他們最愛的男團音樂。可以使同一個房間內的囚犯略微快樂。
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	軟墊禁閉室

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	適用於精神病犯，軟墊牆壁能產生安撫效果。
buildtoolbar_popup_room_paddedholdingcell	永久性軟墊牢房準備好之前，新來的精神病犯會先放置在這裡。
buildtoolbar_popup_room_paddedsolitary	專門針對非常凶惡的精神病犯的隔離懲戒牢房。

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	軟墊（小）
quickbuild_paddedintermediatecell	軟墊（中）
quickbuild_paddedholdingcell	軟墊拘留牢房
quickbuild_paddedsolitarycell	軟墊禁閉室
quickbuild_PsychiatristOffice	精神科醫生辦公室



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	精神病防護區
interfacetopbar_PrisonerCells_insaneSecOnly	精神病犯容量：*X

roomgrading_PsychiatristOffice_info	在精神科醫生辦公室解鎖並放置額外物品，來提高對於精神病犯的治療效果。\n
Items	解鎖透過精神病罪犯參加心理諮詢課程。
roomgrading_PsychiatristOffice_Item	項目：*X
roomgrading_PsychiatristOffice_Quality	精神科醫生能力：*Q
roomgrading_PsychiatristOffice_Upgrade	升級精神科醫生辦公室，來提高他們的能力。

roomgrading_score_average	平均
roomgrading_score_good	好
roomgrading_score_verygood	非常好
roomgrading_score_outstanding	卓越

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	精神病犯側翼
