
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Нова игра
interfacecontrol_research_tooltip               Отваря екрана Бюрокрация, където можете да назначите администратори за отключване на нови предмети, видове персонал и съоръжения.
interfacecontrol_grading                        Оценка на затвора
interfacecontrol_grading_tooltip                Отваря екрана Оценка на затвора, който показва общия рейтинг на вашия успех.

interface_confirmlandbuy                        Сигурни ли сте, че искате да купите този парцел за $*X?
interface_loadconfirm                           Сигурни ли сте, че искате да заредите тази карта? Цялата незаписана информация ще бъде изгубена.
interface_saveconfirm                           Сигурни ли сте, че искате да запишете с това име на файла? Съществуващите данни ще бъдат презаписани.

interface_landbuylabel                          *Xм x *Yм. Обща площ *A кв. м. *C

interface_action_dismantle                      Демонтаж
interface_action_dump                           Изхвърли
interface_action_repair                         Ремонт
interface_action_medicalbay                     Болница
interface_action_search                         Търсене
interface_action_searchcell                     Претърси килия
interface_action_searchcellblock                Претърси сектор
interface_action_searchtoilets                  Търсене на тоалетна
interface_action_sack                           Уволни
interface_action_dooropen                       Отваряне на врата
interface_action_doormodenormal                 Режим на вратата: Нормален
interface_action_doormodelockedshut             Блокирана в затворено положение
interface_action_doormodelockedopen             Блокирана в отворено положение
interface_action_switchon                       Включи
interface_action_switchoff                      Изключи
interface_action_sellobject                     Продай обект
interface_action_dismiss                        Уволни
interface_action_connect                        Свържи
interface_action_clearconnections               Изчисти връзки
interface_action_servoopen                      Отваряне при сигнал
interface_action_servoclose                     Затваряне при сигнал
interface_action_follow                         Проследяване
interface_action_rapsheet                       Показване на списъка с провинения

interface_contents_container                    Съдържание: *X
interface_contents_stack                        Съдържание: *X x *Y

interface_skip                                  ПРОПУСНИ

interface_error_riotmove                        Не може да се влезе: Бунт

interface_foundationsinprogress                 Основите се изграждат
riot_underway                                   ИМА БУНТ
riot_status_prisoners                           *X затворници се бунтуват
shakedown_underway                              ИМА ПРЕТЪРСВАНЕ
shakedown_found                                 Намерени:

gameover_caption                                Натиснете ESC, за да продължите

sector_jobs_max                                 Макс. работи *X
sector_jobs_qualified                           Квалифицирани затворници: *X
sector_jobs_required                            (трябват: *X)
sector_noaccess                                 НЯМА ДОСТЪП
sector_insecure                                 ОПАСНО


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Тест за хардуерна съвместимост
hardware_compat_message					С ваше позволение бихме искали да съберем следната информация за хардуера на вашия компютър.\n\nТази информация е напълно анонимна и ще ни помогне да се убедим, че Prison Architect се поддържа от колкото се може по-широк спектър компютърен хардуер.\n\nБлагодарим ви!
hardware_compat_accept					Приеми
hardware_compat_decline					Откажи

connectionmenu_connect                  Свържи се
connectionmenu_disconnect               Изключи
connectionmenu_clear                    Изчисти
connectionmenu_done                     Готово


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Построй
buildtoolbar_reports                    Доклади
buildtoolbar_bangup                     Прибиране
buildtoolbar_lockdown                   Затваряне
buildtoolbar_shakedown                  Претърсване
buildtoolbar_weaponsfree                Огън

buildtoolbar_tooltip_reports			Отворете прозореца за доклади, за да видите информацията за затворниците, персонала, приходите, даренията и др.
buildtoolbar_tooltip_bangup				Изпращане на всички затворници (които искат) обратно в техните килии. Ако държите затворниците заключени прекалено дълго време, те много ще се ядосат.
buildtoolbar_tooltip_lockdown			Незабавно заключване на всички врати в затвора.
buildtoolbar_tooltip_shakedown          Незабавно претърсване на всички Килии. Това ще отнеме доста време и доста ще подразни затворниците.
buildtoolbar_tooltip_weaponsfree        Упълномощава въоръжената охрана да използва смъртоносна сила. Снайперистите вече няма да дават предупредителни изстрели преди свалянето на целта.
buildtoolbar_tooltip_nostrike           Няма налични при стачка на персонала.

buildtoolbar_cost						Цена: $*C
buildtoolbar_cost_sqrft					Цена: $*C /sq
buildtoolbar_wages						Заплати: $*W на ден
buildtoolbar_upkeep						Ремонт: $*W на ден
buildtoolbar_outdoor					Само навън
buildtoolbar_indoor						Само вътре
buildtoolbar_walk_speed					Скорост на вървене: *S
buildtoolbar_walk_speed_slow			Бавно
buildtoolbar_walk_speed_norm			Нормално
buildtoolbar_walk_speed_fast			Бързо
buildtoolbar_locked                     ЗАКЛЮЧЕНО
buildtoolbar_locked_research			ЗАКЛЮЧЕНО (трябва ви *B)
buildtoolbar_locked_administrator		ЗАКЛЮЧЕНО (*B необходимо)
buildtoolbar_room						Стая

buildtoolbar_electrical                 - Ток
buildtoolbar_highpower                  - Висока мощност
buildtoolbar_water                      - Изисква водопровод
buildtoolbar_wired                      - Свързан (свързва се с други Свързани обекти)
buildtoolbar_modcontent                 - Мод съдържание

buildtoolbar_popup_foundations			Построявайте/разрушавайте сгради за оформяне на вашия затвор.
buildtoolbar_popup_construction			Различни видове подове и стени.
buildtoolbar_popup_planning				Направете план на вашия затвор, без да се страхувате, че работниците ще започнат да правят нещо.
buildtoolbar_popup_designation			Посочете определени области от затвора със специални функции.
buildtoolbar_popup_objects				Поставете полезни обекти около затвора.
buildtoolbar_popup_overlays				Визуално показване на слабите места във вашия затвор.
buildtoolbar_popup_utilities			Водопровод и електричество.
buildtoolbar_popup_staff				Наемете необходимите хора за поддържане на затвора.
buildtoolbar_popup_deployment			Изпратете персонала в съответните области на затвора.
buildtoolbar_popup_logistics            Изпратете затворниците да работят в затвора. Ръчно управление на работата в столовата и пералнята.
buildtoolbar_popup_research				Отключете нови опции в затвора.
buildtoolbar_popup_emergencies			Извикайте аварийните служби, ако нещата се влошат.
buildtoolbar_popup_clone				Копиране и поставяне на съществуващите структури.
buildtoolbar_popup_properties			Получаване на информация.
buildtoolbar_popup_contraband           Показване на източниците на Контрабанда и наскоро намерената контрабанда в затвора. Освен това показва вашите Доносници и тяхната информация.
buildtoolbar_popup_grading              Показва общата оценка на затвора според четири основни параметъра - Наказание, Реформа, Сигурност и Здраве. Освен това показва нивото на нови престъпления след освобождаване.
buildtoolbar_popup_prefabs              Копирате и поставяте съществуващи части от вашия затвор или поставяте предварително начертани помещения.
buildtoolbar_popup_room_cell			Място, където живеят затворниците.
buildtoolbar_popup_room_holdingcell		Стая, в която се настаняват новите попълнения, докато чакат да бъдат настанени в килия.
buildtoolbar_popup_room_solitary		Изолатор за най-лошите затворници.
buildtoolbar_popup_room_dormitory       Помещение с променлив размер за настаняването на множество затворници. Колкото по-голямо е спалното помещение, толкова повече затворници могат да бъдат настанени в него.
buildtoolbar_popup_room_familycell      Мястото, където живеят затворничките, ако имат бебета.
buildtoolbar_popup_room_sharedcell      Килия за настаняването на множество затворници. Може да побере до 8 затворника.
buildtoolbar_popup_room_canteen			Място, където затворниците си пият следобедния чай.
buildtoolbar_popup_room_kitchen			Място, където готвачите приготвят храна за затворниците.
buildtoolbar_popup_room_shower			Място, което поддържа затворниците чисти и без въшки.
buildtoolbar_popup_room_yard			Място, където затворниците могат да видят слънцето за няколко часа под зоркото око на снайперистите.
buildtoolbar_popup_room_storage			Място за съхранение на материалите, от които се нуждае персоналът на затвора.
buildtoolbar_popup_room_deliveries		Място, където се доставят стоките, материалите и затворниците.
buildtoolbar_popup_room_garbage			Място, от което се събират отпадъците.
buildtoolbar_popup_room_execution		Място, на което затворниците се изпращат за екзекуция.
buildtoolbar_popup_room_workshop		Място, където изпращате затворниците да умират от скука, докато правят автомобилни номера.
buildtoolbar_popup_room_security		Офиси за вашите Надзиратели.
buildtoolbar_popup_room_office			Помещение за работа на административния персонал.
buildtoolbar_popup_room_medicalward		Помещение за работа на медицинския персонал.
buildtoolbar_popup_room_morgue			Място, на което се изпращат мъртвите затворници и персонал.
buildtoolbar_popup_room_commonroom		Място, където затворниците разпускат през свободното си време.
buildtoolbar_popup_room_kennel          Място, където живеят кучетата.
buildtoolbar_popup_room_chapel          Какво става, когато бюрократичният комитет се събере и вземе решение относно религиозните нужди на затворниците? Създава се 'Стая за различни религии'. Ние я наричаме Параклис.
buildtoolbar_popup_room_paroleroom      Затворниците имат право на пускане под гаранция след излежаване на 50% и 75% от присъдата си. Съдбата им се решава в тази стая от Директора и Главния надзирател.\n\nЗабележка: препоръчва се наличието на допълнителна охрана. Затворниците често се разстройват след отказ за пускане под гаранция.
buildtoolbar_popup_room_library         В затвора ще се изпращат кашони с ненужни и употребявани книги от цялата страна. Затворниците трябва да подреждат тези книги върху лавиците.
buildtoolbar_popup_room_intake          Място, където се отвеждат затворниците при пристигането си в затвора.
buildtoolbar_popup_room_nursery         Килия за дейности за затворнички с бебета.
buildtoolbar_popup_room_shop            Магазините предоставят на затворниците място, където да харчат трудно спечелените си пари, за да задоволят нуждата си от лукс. Могат да помогнат също така и за хигиената, храната и отдиха. Ще получавате пари за всяка продажба плюс ежедневна комисионна за всичките продадени стоки.

buildtoolbar_popup_obj_bed				Не е прекалено меко или твърдо, а точно каквото трябва да бъде. Всъщност е доста твърдо и прекалено малко.
buildtoolbar_popup_obj_toilet			Основно човешко право, ако се вярва на всички онези ненормалници.
buildtoolbar_popup_obj_table			Прекрасно върви със стол.
buildtoolbar_popup_obj_chair			Прекрасно върви с маса.
buildtoolbar_popup_obj_bench			За сядане.
buildtoolbar_popup_obj_electricchair	За раздаване на справедливост от 2000 V.
buildtoolbar_popup_obj_jaildoor			Пази затворниците там, където трябва да бъдат.
buildtoolbar_popup_obj_jaildoorlarge	Пази голям брой затворници там, където трябва да бъдат.
buildtoolbar_popup_obj_door				Обикновена врата.
buildtoolbar_popup_obj_solitarydoor		Тежка врата, която може да попречи дори на най-силните затворници да избягат.
buildtoolbar_popup_obj_staffdoor		Заключена врата, която може да се отваря от целия персонал, а не само от Надзирателите.
buildtoolbar_popup_obj_window			За гледане на слънцето.
buildtoolbar_popup_obj_windowlarge		За гледане на голямо количество слънчеви лъчи.
buildtoolbar_popup_obj_tree				Спасяването на Земята от глобалното затопляне е една от най-важните ни цели.
buildtoolbar_popup_obj_light			Помага ви да виждате затворниците по всяко време на деня.
buildtoolbar_popup_obj_cooker			Осигурете на затворниците луксозен живот с топла храна.
buildtoolbar_popup_obj_fridge			Предпазва храната от разваляне.
buildtoolbar_popup_obj_bin				Подредеността е много важна, когато става дума за контрабанда.
buildtoolbar_popup_obj_sink				Всички служители са задължени да си измият ръцете. Ще функционира по-бързо, ако е свързана с инсталация за топла вода.
buildtoolbar_popup_obj_servingtable		Сервиране на храна на затворниците.
buildtoolbar_popup_obj_officedesk		Персоналът ви често трябва да записва разни неща. Осигурете им лъскаво бюро за тази цел.
buildtoolbar_popup_obj_filingcabinet	Персоналът ви трябва да съхранява записките си добре подредени.
buildtoolbar_popup_obj_morgueslab		Осигурява на мъртвите място за почивка преди да бъдат преместени.
buildtoolbar_popup_obj_drain			Премахване на водата от пода.
buildtoolbar_popup_obj_Sprinkler	Автоматично напръсква мястото с вода в случай на пожар.
buildtoolbar_popup_obj_metaldetector	Откриване на контрабанда у затворниците, които преминават през детектора. Наблизо трябва да има надзирател, който да конфискува контрабандата.
buildtoolbar_popup_obj_weightsbench		Позволява на затворниците да тренират, което ги прави щастливи.
buildtoolbar_popup_obj_tv				Усмирете затворниците с помощта на тази хипнотизираща посредственост. Изисква да има място за затворниците да седят пред телевизора.
buildtoolbar_popup_obj_largetv			Позволява на голям брой затворници да споделят чувството на закърняване на мозъка. Изисква да има място за затворниците да седят пред телевизора.
buildtoolbar_popup_obj_pooltable		Разнообразява монотонния живот в затвора с билярд.
buildtoolbar_popup_obj_dismantleobject	Премахване на обект от затвора.
buildtoolbar_popup_obj_altar            Служи за директна връзка на затворниците с по-висша сила.
buildtoolbar_popup_obj_pews             Седалки за вярващите, направени от най-твърдото и неудобно дърво.
buildtoolbar_popup_obj_prayermat        Предпазва затворниците от мръсотията по пода по време на молитви.
buildtoolbar_popup_obj_guardtower       Кула, от която снайперистите (които се наемат отделно) могат да надзирават затвора.

buildtoolbar_popup_staff_guard			Държи затворниците под контрол и далеч от неприятности.
buildtoolbar_popup_staff_armedguard     Въоръжен с пушка. Затворниците ще се замислят преди да нападнат този юнак.\n\nЗабележка: всеки въоръжен надзирател се нуждае от собствено шкафче в Оръжейната.
buildtoolbar_popup_staff_doctor			Автоматично лекува всички ранени, независимо от това дали са надзиратели или затворници.
buildtoolbar_popup_staff_cook			Храни затворниците с ястия, които приготвя.
buildtoolbar_popup_staff_gardener		Поддържа затвора красив и спретнат.
buildtoolbar_popup_staff_janitor		Поддържа вътрешността на затвора чиста и спретната. Може да помага и с прането.

buildtoolbar_popup_uts_powerstation		Генерира ток за използване в затвора.
buildtoolbar_popup_uts_capacitor		Увеличава количеството генериран ток, когато се постави близо до електроцентралата.
buildtoolbar_popup_uts_electricalcable	Разпределя електричеството в затвора.
buildtoolbar_popup_uts_powerswitch		Включва и изключва тока във всички свързани с него кабели.\n\nЩракнете с десния бутон за включване/изключване.
