
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Új
soundeditor_instancetitle		        Szakasz típus
soundeditor_looptitle			        Loop típus
soundeditor_sourcetypetitle		        Hangtípus
soundeditor_soundnametitle		        Hang neve

soundeditor_volumetitle			        Hangerő
soundeditor_frequencytitle              Frekvencia
soundeditor_mindistancetitle            Min. távolság
soundeditor_attacktitle                 Hangkeltés
soundeditor_sustaintitle                Sustain
soundeditor_releasetitle                Halkulás
soundeditor_loopdelaytitle              Loop késleltetés
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Következő esemény

soundeditor_play                        Lejátszás
soundeditor_stop                        Állj

soundparametereditor_title              Hang paraméter
soundparametereditor_typetitle          Típus
soundparametereditor_linktitle          Csatlakozik:
soundparametereditor_updatetitle        Frissítés típus
soundparametereditor_smoothing          Simítás
soundparametereditor_chaintitle         Lánc

soundeditor_newdsp                      DSP hozzáadása
sounddspeditor_title                    DSP szerkesztő
samplebankeditor_title                  Mintabank-szerkesztő
samplebankeditor_addsample              Hang hozzáadása
samplebank                              (Mintabank)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Kész
interfacemode_destroy                         Megsemmisítés
interfacemode_foundations				      Alapok
interfacemode_construction                    Anyagok
interfacemode_planning                        Tervezés
interfacemode_objects                         Tárgyak
interfacemode_designation                     Szobák
interfacemode_utilities                       Közművek
interfacemode_staff                           Személyzet
interfacemode_deployment                      Bevetés
interfacemode_logistics                       Logisztika
interfacemode_prisoners                       Őrizetesek
interfacemode_needs                           Szükségletek
interfacemode_threats                         Fenyegetések
interfacemode_overlays                        Rétegek
interfacemode_research                        Bürokrácia
interfacemode_emergencies                     Vészhelyzetek
interfacemode_clone                           Klón
interfacemode_contraband                      Hírszerzés
interfacemode_grading                         Osztályzás
interfacemode_spawn                           (Spawn)
interfacemode_properties                      (Tulajdonságok)
interfacemode_cutscenes                       (Cutscene-ek)
interfacemode_selection                       Kiválaszt
interfacemode_prefabs                         Gyorsépítés

interfaceoverlay_security                       Biztonság
interfaceoverlay_patrols                        Őrjáratok
interfaceoverlay_decay                          Bomlás
interfaceoverlay_territory                      Terület
interfaceoverlay_contraband                     Csempészet

interfaceproperty_indoor                        Beltér
interfaceproperty_visible                       Látható
interfaceproperty_territoryprisoner             Bandák
interfaceproperty_territoryguard                Őrök
interfaceproperty_sectorprisoner                Lázadás
interfaceproperty_tunnel                        Alagút

interfacedeployment_guards                      Őrök
interfacedeployment_patrols                     Őrjáratok
interfacedeployment_dogpatrols                  Kutyás őrjáratok
interfacedeployment_armedpatrols                Fegyveres őrjáratok
interfacedeployment_removeguards                Őrök eltávolítása
interfacedeployment_clearpatrols                Őrjárat törlése
interfacedeployment_targetting                  Logisztika
interfacedeployment_targettingfood              Élelem logisztika
interfacedeployment_targettinglaundry           Mosoda logisztika
interfacedeployment_securearea                  Biztonságos  terület
interfacedeployment_sharedzone                  Közös
interfacedeployment_staffonlyzone               Csak személyzet
interfacedeployment_maxseczone                  Csak max. bizt.
interfacedeployment_medseczone                  Csak köz. Bizt.
interfacedeployment_minseczone                  Csak min. bizt.
interfacedeployment_protectedzone               Csak védett
interfacedeployment_supermaxzone                Csak SzuperMax
interfacedeployment_deathrowzone                Csak halálsor
interfacedeployment_unlockedzone                Nyitott
interfacedeployment_zonered                     Piros szárny
interfacedeployment_zonegreen                   Zöld szárny
interfacedeployment_zoneblue                    Kék szárny
interfacedeployment_zoneyellow                  Sárga szárny
interfacedeployment_zoning                      Zónák kialakítása
interfacedeployment_accessonly					Átmenő forgalom
interfacedeployment_prisonerdirection			Rabok iránya
interfacedeployment_staffdirection				Mások iránya

interfacelogistics_jobs                         Börtönmunka
interfacelogistics_removejobs                   Munka eltávolítása
interfacelogistics_targettingfood               Élelem elosztás
interfacelogistics_targettinglaundry            Mosodai elosztás
interfacelogistics_roomquality                  Szoba minőség
interfacelogistics_weathermap                   Hőmérséklet

interfaceplanning_wall							Falak
interfaceplanning_object						Tárgyak
interfaceplanning_route							Utak
interfaceplanning_clear							Tiszta
interfaceplanning_zone1							1. zóna
interfaceplanning_zone2							2. zóna
interfaceplanning_zone3							3. zóna
interfaceplanning_zone4							4. zóna
interfaceplanning_zone5							5. zóna
interfaceplanning_zone6							6. zóna
interfaceplanning_zone7							7. zóna
interfaceplanning_zone8							8. zóna
interfaceplanning_zone9							9. zóna

interfacecontraband_source                      Veszélyek
interfacecontraband_day                         -24 óra
interfacecontraband_week                        -7 nap
interfacecontraband_alltime                     -30 nap
interfacecontraband_stolenfrom					Lopás forrása
interfacecontraband_informants                  Besúgók
interfacecontraband_gangs                       Bandák

interfacecallout_fireengine                     Tűzoltóautó
interfacecallout_riotpolice                     Rohamrendőrség
interfacecallout_armedpolice                    Fegyveres rendőrök
interfacecallout_paramedics                     Egészségügyi szakemberek
interfacecallout_soldiers                       Katonák

interfaceclone_copy                             Másol
interfaceclone_paste                            Beilleszt
interfaceclone_cancel                           Gyorsépítés törlése
interfaceclone_clone                            Klónozás

interfacetopbar_todo							Teendő
interfacetopbar_balance							*B bank
interfacetopbar_budget							*C tranzakciók
interfacetopbar_income							*I bevétel
interfacetopbar_expenses						*C kiadás
interfacetopbar_day								*D NAP

interfacetopbar_title_balance					Banki egyenleg
interfacetopbar_title_budget					Napi pénzforgalom
interfacetopbar_title_cctv						CCTV
interfacetopbar_title_day						Nap
interfacetopbar_title_prisoners					Rabok
interfacetopbar_title_guards					Őrök
interfacetopbar_title_tension                   Veszély
interfacetopbar_title_weathericon               Időjárás

interfacetopbar_tooltip_balance					Ennyi pénzed van a bankban.\n\nKattints, ha többet akarsz összegyűjteni az adományok listájára.
interfacetopbar_tooltip_budget					Ezt a pénzmennyiséget kapod meg minden egyes napon az aktuális kiadásaid és bevételeid alapján. \n\nKattints, ha látni akarod jövedelmed és költségeid pontos listáját.
interfacetopbar_tooltip_cctv					CCTV kameráid és monitoraid száma.
interfacetopbar_tooltip_day						Ennyi ideje igazgatod a börtönt.
interfacetopbar_tooltip_prisoners				Őrizeteseid aktuális száma, és börtönöd kapacitása.
interfacetopbar_tooltip_guards					Rendelkezésre álló őreid száma.
interfacetopbar_tooltip_tension                 Börtönöd általános veszélyességi szintje. Biztonsági főnököd értékelése szerint.
interfacetopbar_tooltip_weathericon             Jelenlegi időjárás és hőmérséklet.

interfacetopbar_tooltip_recenttransactions      Aktuális tranzakciók

interfacetopbar_tooltip_gametime                Teljes játékidő: *X óra, Yperc, Zmásodperc

interfacetopbar_tooltip_totalguards             *X összes őr
interfacetopbar_tooltip_guardincapacitated      *X cselekvésképtelen
interfacetopbar_tooltip_guardstationed          *X állomásoztatva
interfacetopbar_tooltip_guardpatrolling         *X őrjáraton
interfacetopbar_tooltip_guardavailable          *X rendelkezésre álló
interfacetopbar_tooltip_guardresting            *X pihenő
interfacetopbar_tooltip_guardonbreak            *X pihenőn
interfacetopbar_tooltip_guardwantsabreak        (*X pihenést igényel)
interfacetopbar_tooltip_guardactive             (*X incidensekre reagál)
interfacetopbar_tooltip_guarddoingjob           *X feladatot végez
interfacetopbar_tooltip_idle                    (*X tétlen)
interfacetopbar_tooltip_guardsstriking          *X SZTRÁJKOL

interfacetopbar_tooltip_regularguards			*X normál őr van
interfacetopbar_tooltip_armedguards             *X fegyveres őr van
interfacetopbar_tooltip_dogs                    *X kutyás őr van
interfacetopbar_tooltip_snipers					*X mesterlövész van

interfacetopbar_unlimitedfunds                  KORLÁTLAN FORRÁS
interfacetopbar_cheatsenabled					CSALÁS ENGEDÉLYEZVE

interfacetopbar_budget_moneyin					Pénz be: $*M /nap
interfacetopbar_budget_moneyout					Pénz ki: $*M /nap
interfacetopbar_budget_cantgonegative           Amíg nem alkalmazol egy könyvelőt költségvetésed kezelésére, napi pénzforgalmad nem lehet negatív (bevételeid nem haladhatják meg kiadásaidat).

interfacetopbar_prisoners_types					Aktuális őrizetesek száma: *X
interfacetopbar_prisoners_capacity              Biztonságos maximális kapacitás: *X
interfacetopbar_prisonercells_shared            Megosztott kapacitás: *X
interfacetopbar_prisonercells_unlocked          Elérhető kapacitás: *X
interfacetopbar_prisonercells_minseconly        Minimális kapacitás: *X
interfacetopbar_prisonercells_medseconly        Közepes kapactiás: *X
interfacetopbar_prisonercells_maxseconly        Maximális kapacitás: *X
interfacetopbar_prisonercells_protectedonly     Védett kapacitás:  *X
interfacetopbar_prisonercells_supermaxonly      Szupermax kapacitás:  *X
interfacetopbar_prisonercells_deathrowonly      Halálsor kapacitás:  *X
interfacetopbar_prisonercells_staffonly         Nem áll rendelkezésre:  *X
interfacetopbar_prisoners_nocells               *X őrizetest nem lehet cellákba rendelni
interfacetopbar_prisonercells_parents           Szülői kapacitás: *X

interfacetopbar_cctv_current					Aktuálisan *C kamera
interfacetopbar_cctv_cap						Hely *C kamera számára

interfacetopbar_tension_currentlevel            Veszély szint: *C
interfacetopbar_tension_currentlevellow         Alacsony
interfacetopbar_tension_currentlevelmedium      Közepes
interfacetopbar_tension_currentlevelhigh        Magas
interfacetopbar_tension_increasing              növekszik
interfacetopbar_tension_decreasing              csökken
interfacetopbar_tension_description             FAKTOROK:
interfacetopbar_tension_happyprisoners          - *X őrizetes mondja, hogy jó sora van
interfacetopbar_tension_unhappyprisoners        + *X őrizetesnek komoly panaszai vannak
interfacetopbar_tension_lockedupprisoners       + *X őrizetes megbilincselve ül a cellájában, vagy sötétzárkában van
interfacetopbar_tension_riotingprisoners        + *X őrizetes lázad
interfacetopbar_tension_wellfedprisoners        - *X őrizetes jóltáplált
interfacetopbar_tension_suppressedprisoners     - *x őrizetes behódolt (engedelmeskedik)
interfacetopbar_tension_activeriotguards        + *X rohamrendőr a helyszínen
interfacetopbar_tension_activearmedguards       + *X fegyveres őr szolgálatban
interfacetopbar_tension_recentdeaths            + *X ember halt meg aktuálisan
interfacetopbar_tension_recentsearches          + *X őrizetest motoztak meg szükségtelenül az utóbbi időben
interfacetopbar_tension_angrygangmembers        + *X BANDATAG DÜHÖS  (a bandavezér üntetés alatt áll)
interfacetopbar_tension_recentpunishments       = (ELRETTENTÉS) *X büntetést osztottak ki az utóbbi időben
interfacetopbar_tension_recentcalmed            - *X őrizetes nyugodott meg az utóbbi időben
interfacetopbar_tension_staffmorale_low			+ A személyzet munkamorálja alacsony
interfacetopbar_tension_staffmorale_high		- A személyzet munkamorálja magas
interfacetopbar_tension_staffonstrike           + Az Ön személyzete sztrájkol
interfacetopbar_tension_dangerzone				+ VESZÉLYZÓNA!

interfacetopbar_staffmorale_title				SZEMÉLYZET MUNKAMORÁLJA
interfacetopbar_staffmorale_happystaff			+ A személyzet *X tagja örül a munkájának
interfacetopbar_staffmorale_unhappystaff		- A személyzet *X tagjának komoly panaszai vannak
interfacetopbar_staffmorale_injuredstaff		- A személyzet *X tagja sérült
interfacetopbar_staffmorale_staffdeaths			- A személyzet *X tagja szolgálatteljesítés közben elhunyt
interfacetopbar_staffmorale_staffpayverygood	+ A személyzet hihetetlenül jól meg van fizetve
interfacetopbar_staffmorale_staffpaygood		+ A személyzet jól fizetett
interfacetopbar_staffmorale_staffpaybad 		- A személyzet nincs megfizetve eléggé

interfacecontrol_mainmenu                       Főmenü (esc)
interfacecontrol_mainmenu_tooltip               Váltás főmenüre (Új/Töltés/Mentés/Kilépés stb)
interfacecontrol_todo                           Teendők listája
interfacecontrol_todo_tooltip                   Váltás a teendők listájára
interfacecontrol_research                       Bürokrácia
interfacecontrol_research_tooltip               Megnyitja a Bürokrácia képernyőt, ahol megbízhatod adminisztrátoraidat, hogy új tárgyakat dolgozókat és létesítményeket tegyenek számodra elérhetővé.
interfacecontrol_grading                        Börtön osztályzat
interfacecontrol_grading_tooltip                Megnyitja a Börtön Osztályzat képernyőt, amelyen megnézheted sikerességed értékelését.

interface_confirmlandbuy                        Biztosan megveszed ezt a területet $*X áron?
interface_loadconfirm                           Biztosan betöltöd ezt a térképet? Minden el nem mentett haladásod el fog veszni.
interface_saveconfirm                           Biztoan mented ezt a fájlnevet? Az eddigi adatok felülírásra kerülnek.

interface_landbuylabel                          *Xm x *Ym. Teljes terület *A négyzetméter. *C

interface_action_dismantle                      Lebont
interface_action_dump                           Kidob
interface_action_repair                         Megjavít
interface_action_medicalbay                     Gyengélkedő
interface_action_search                         Keresés
interface_action_searchcell                     Cella átkutatása
interface_action_searchcellblock                Cellablokk átkutatása
interface_action_searchtoilets                  Vécék keresése
interface_action_sack                           Kirúg
interface_action_dooropen                       Ajtó nyitása
interface_action_doormodenormal                 Ajtómód: normál
interface_action_doormodelockedshut             Zár reteszelve
interface_action_doormodelockedopen             Zár nyitva
interface_action_switchon                       Bekapcsol
interface_action_switchoff                      Kikapcsol
interface_action_sellobject                     Tárgy eladása
interface_action_dismiss                        Ellbocsát
interface_action_connect                        Kapcsolódás
interface_action_clearconnections               Kapcsolatok törlése
interface_action_servoopen                      Nyitás
interface_action_servoclose                     Zárás
interface_action_follow                         Követés
interface_action_rapsheet                       Bűnügyi nyilvántartás

interface_contents_container                    Tartalom : *X
interface_contents_stack                        Tartalom : *X x *Y

interface_skip                                  KIHAGY

interface_error_riotmove                        Belépés tiltva: lázadás

interface_foundationsinprogress                 Alapok lefektetése folyamatban
riot_underway                                   LÁZADÁS
riot_status_prisoners                           *X őrizetes lázad
shakedown_underway                              PRÓBA FOLYAMATBAN
shakedown_found                                 Talált:

gameover_caption                                Nyomj ESC-et a folytatáshoz

sector_jobs_max                                 Max. munka *X
sector_jobs_qualified                           Alkalmas őrizetesek: *X
sector_jobs_required                            (Szükséges: *X)
sector_noaccess                                 BELÉPÉS TILTVA
sector_insecure                                 NEM BIZTONSÁGOS


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Hardver kompatibilitás teszt
hardware_compat_message					Ha engedélyt adsz rá, a következő adatokat gyűjtjük számítógépedről:\n\nAz információ teljesen névtelen és a segítségével biztosítjuk, hogy a Prison Architect minél több számítógépen futhasson.\n\nKöszönjük!
hardware_compat_accept					Elfogad
hardware_compat_decline					megtagad

connectionmenu_connect                  Kapcsolódás
connectionmenu_disconnect               Kapcsolat megszakítása
connectionmenu_clear                    Töröl
connectionmenu_done                     Kész


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Épít
buildtoolbar_reports                    Jelentések
buildtoolbar_bangup                     Zárkába rendelés
buildtoolbar_lockdown                   Bezárás
buildtoolbar_shakedown                  Felrázás
buildtoolbar_weaponsfree                Éleslőszer

buildtoolbar_tooltip_reports			Nyisd meg a Jelentések ablakot, ha látni akarod az őrizetesekről, személyzetről, adományokról és bevételekről szóló információkat!
buildtoolbar_tooltip_bangup				Küldj a cellájába minden rabot, aki engedelmeskedik.  Ha azonban túl sokáig ott tartod őket, nagyon feldühödnek.
buildtoolbar_tooltip_lockdown			Azonnal lezárja a börtön összes cellájának ajtaját.
buildtoolbar_tooltip_shakedown          Rendeld el a cellák azonnali átkutatását! Ez beletelik némi időbe és rohadtul felidegesíti az őrizeteseket.
buildtoolbar_tooltip_weaponsfree        Ez felhatalmazza az őröket éles lőszer használatára. A mesterlövészek ezentúl nem adnak le figyelmeztető lövéseket.
buildtoolbar_tooltip_nostrike           Személyzeti sztrájkok alatt nem elérhető.

buildtoolbar_cost						Ár:  $*C
buildtoolbar_cost_sqrft					Ár:  $*C / nm
buildtoolbar_wages						Fizetések:  $*W naponta
buildtoolbar_upkeep						Fenntartás: $*W naponta
buildtoolbar_outdoor					Csak szabadtéren
buildtoolbar_indoor						Csak beltérben
buildtoolbar_walk_speed					Séta sebessége: *S
buildtoolbar_walk_speed_slow			Lassú
buildtoolbar_walk_speed_norm			Normál
buildtoolbar_walk_speed_fast			Gyors
buildtoolbar_locked                     LEZÁRVA
buildtoolbar_locked_research			LEZÁRVA (*B-re van szükséged)
buildtoolbar_locked_administrator		LEZÁRVA (*B szükséges)
buildtoolbar_room						Szoba

buildtoolbar_electrical                 - Elektromos
buildtoolbar_highpower                  - Nagyfeszültség
buildtoolbar_water                      - Vízvezetéket igényel
buildtoolbar_wired                      - Vezetékes(egyéb vezetékes tárgyakhoz csatlakoztatva)
buildtoolbar_modcontent                 - Mod tartalom

buildtoolbar_popup_foundations			Építs vagy rombolj le épületeket, hogy alakítsd börtönödet!
buildtoolbar_popup_construction			Különféle padlók és falak.
buildtoolbar_popup_planning				tervezd meg börtönödet és ne félj tőle, hogy munkásaid valóban csinálnak valamit!
buildtoolbar_popup_designation			Jelölj ki börtönöd speciális funkciókra szánt területeit!
buildtoolbar_popup_objects				Helyezz hasznos tárgyakat börtönöd köré!
buildtoolbar_popup_overlays				Láthatóan azonosítsd a gyengeségeket börtönöd tervrajzán!
buildtoolbar_popup_utilities			Elektromos és vízhálózat.
buildtoolbar_popup_staff				Alkalmazz börtönöd működtetéséhez szükséges embereket.
buildtoolbar_popup_deployment			Rendelj személyzetet börtönöd különböző területeire!
buildtoolbar_popup_logistics            rendelj őrizeteseket munkára börtönödben., továbbá manuális vezérlés az étkezőhöz és a mosodához.
buildtoolbar_popup_research				Nyiss meg új lehetőségeket börtönöd számára.
buildtoolbar_popup_emergencies			Hívd a vészhelyzeti szervezeteket, ha a dolgok rosszabbra fordulnak.
buildtoolbar_popup_clone				Vágd ki és másold be létező épületeidet.
buildtoolbar_popup_properties			Tudd meg, mi a szar folyik itt.
buildtoolbar_popup_contraband           Megmutatja a csempészés forrásait és minden, a közelmúltban leleplezett csempészési kísérletet börtönödben, továbbá megmutatja rejtet besúgóidat és információikat.
buildtoolbar_popup_grading              Négy kulcsfontosságú adaton keresztül mutatja meg börtönöd általános osztályzatát. Büntetés, reform biztonság és egészség, továbbá megjeleníti a visszaesési arányt.
buildtoolbar_popup_prefabs              Másold és illeszd be börtönöd meglévő részeit, vagy helyezz le előre meghatározott szobákat.
buildtoolbar_popup_room_cell			Ahol őrizeteseid élnek.
buildtoolbar_popup_room_holdingcell		Ebben a szobában vannak újoncaid, amíg cellát nem találsz nekik.
buildtoolbar_popup_room_solitary		Elkülönített helyiség a legaljának.
buildtoolbar_popup_room_dormitory       Variálható méretű szoba, ahol több rab is elfér. Minél nagyobb egy hálóterem, annál több rab fér el benne.
buildtoolbar_popup_room_familycell      Itt élnek azok a rabok, akiknek gyereke születik.
buildtoolbar_popup_room_sharedcell      Egy többszemélyes cella, egyszerre több rab fogvatartásához. Legfeljebb 8 rab fér el benne.
buildtoolbar_popup_room_canteen			Itt fogyasztják őrizeteseid a délutáni teájukat.
buildtoolbar_popup_room_kitchen			Itt készítik a szakácsok az ételt az őrizeteseknek.
buildtoolbar_popup_room_shower			Itt tarthatod a rabokat tisztán és tetvektől mentesen.
buildtoolbar_popup_room_yard			Engedd, hogy őrizeteseid láthassák a Napot néhány órán át, mesterlövészeid figyelő szeme előtt.
buildtoolbar_popup_room_storage			Ezen a területen tárolhatod az anyagokat, amikre a börtönöd személyzetének szüksége van.
buildtoolbar_popup_room_deliveries		ide érkeznek a rabok, anyagok és egyéb árucikkek.
buildtoolbar_popup_room_garbage			Itt gyűjtöd majd a hulladékot.
buildtoolbar_popup_room_execution		Ide küldöd a rabokat meghalni.
buildtoolbar_popup_room_workshop		Ide küldöd a rabokat, hogy belehaljanak az unalomba, miközben rendszámtáblákat gyártanak.
buildtoolbar_popup_room_security		Tisztjeid irodái.
buildtoolbar_popup_room_office			Az adminisztratív személyzet munkahelye.
buildtoolbar_popup_room_medicalward		Az egészségügyi személyzet munkahelye.
buildtoolbar_popup_room_morgue			Ide kerülnek a halottak, őrizetesek és személyzet egyaránt.
buildtoolbar_popup_room_commonroom		Pihenésre szánt szabadidő őrizeteseidnek.
buildtoolbar_popup_room_kennel          Ahol a kutyáid élnek.
buildtoolbar_popup_room_chapel          Mi történik, ha összeül egy bizottság, hogy megtervezze a megoldást az őrizetesek vallási életének megoldására? Egy ökumenikus imaszoba jön létre, mi más? Mi csak úgy hívjuk, hogy kápolna.
buildtoolbar_popup_room_paroleroom      Őrizeteseid kegyelmet kaphatnak, ha letöltik büntetésük 50 vagy 75 százalékát. Sorsukat itt dönti el a főnök és az igazgató.\n\nKülönleges védelem javasolt, mert a rabok gyakran agresszívvá válnak, amikor megtagadják tőlük a kegyelmet.
buildtoolbar_popup_room_library         Börtönödbe több doboznyi könyv érkezik majd az ország minden tájáról. Az őrizeteseknek szét kell ezeket válogatniuk és a polcra kell helyezniük.
buildtoolbar_popup_room_intake          Ide kerülnek a rabok, közvetlenül azután, hogy behozzák őket.
buildtoolbar_popup_room_nursery         Helyiség olyan raboknak, akiknek gyerekük van.
buildtoolbar_popup_room_shop            A rabjai az üzletekben elkölthetik a kemény munka árán megszerzett pénzüket a kívánt élvezeti cikkekre. Úgyszintén segítheti a higiéniájukat, a táplálkozási és rekreációs igényeiket. Ön pénzt kap minden egyes eladás után, valamint jutalékot az egyes napokon értékesített összes áru után.

buildtoolbar_popup_obj_bed				Nem túl kemény, nem túl puha, épp jó. Igazság szerint nagyon kemény és túl kicsi.
buildtoolbar_popup_obj_toilet			Alapvető emberi jog, ha elhiszed a holdkórosok szövegét.
buildtoolbar_popup_obj_table			Jól illik a székhez.
buildtoolbar_popup_obj_chair			Kiválóan illik az asztalhoz.
buildtoolbar_popup_obj_bench			Ülésre.
buildtoolbar_popup_obj_electricchair	2000 voltnyi igazság.
buildtoolbar_popup_obj_jaildoor			Tartsd a rabokat ott, ahová valók.
buildtoolbar_popup_obj_jaildoorlarge	Tartsd a sok rabot ott, ahova valók.
buildtoolbar_popup_obj_door				Egy egyszerű ajtó.
buildtoolbar_popup_obj_solitarydoor		Egy megerősített ajtó, ami még a legerősebb rabot is visszatartja a szökéstől.
buildtoolbar_popup_obj_staffdoor		Egy zárt ajtó, amelyet a személyzet bármely tagja ki tud nyitni, nemcsak az őrök.
buildtoolbar_popup_obj_window			Átenged egy kis napfényt.
buildtoolbar_popup_obj_windowlarge		Sok napfényt átenged.
buildtoolbar_popup_obj_tree				Mindannyiunk felelőssége, hogy cselekedjünk a globális felmelegedés ellen.
buildtoolbar_popup_obj_light			Biztosítsd, hogy a nap minden percében láthasd az őrizeteseket.
buildtoolbar_popup_obj_cooker			Add meg a raboknak a meleg étel luxusát!
buildtoolbar_popup_obj_fridge			Ne hagyd, hogy az élelmiszer megromoljon!
buildtoolbar_popup_obj_bin				A csempészethez fontos a rend.
buildtoolbar_popup_obj_sink				Minden dolgozónak kötelező a kézmosás! Melegvíz csatlakoztatásával gyorsabb lesz.
buildtoolbar_popup_obj_servingtable		Tálald fel az ételt az őrizeteseknek.
buildtoolbar_popup_obj_officedesk		A személyzet tagjainak sokat kel írniuk. Adj nekik egy szép fényes íróasztalt, hogy megtehessék.
buildtoolbar_popup_obj_filingcabinet	A személyzetnek takaros rendben kell tartania mindazt, amit írnak.
buildtoolbar_popup_obj_morgueslab		Biztosítsd a méltó helyet a halottaknak elszállításukig.
buildtoolbar_popup_obj_drain			Távolítsd el a vizet a padlóról!
buildtoolbar_popup_obj_sprinkler	Automatikusan vízzel fecskendezi tele a területet tűz esetén.
buildtoolbar_popup_obj_metaldetector	Találj csempészárut rabjaidnál, miközben átmennek rajta. Szükség lesz egy őrre a közelben, hogy el is vegye.
buildtoolbar_popup_obj_weightsbench		Engedélyezd a testmozgást az őrizeteseknek, hogy elégedettek maradjanak,.
buildtoolbar_popup_obj_tv				Békítsd meg rabjaidat az elmetompító középszerűséggel! A raboknak kell egy hely, ahol tévézhetnek.
buildtoolbar_popup_obj_largetv			Tedd lehetővé, hogy sok fogvatartottad élhesse át együtt a szellemi leépülést! A raboknak kell egy hely, ahol tévézhetnek.
buildtoolbar_popup_obj_pooltable		Küzd a börtön monotóniája ellen egy biliárdjátszmával!
buildtoolbar_popup_obj_dismantleobject	Távolíts el egy tárgyat a börtönből!
buildtoolbar_popup_obj_altar            Imáidat azonnal egy igényeid szerinti magasabb hatalomhoz irányítja.
buildtoolbar_popup_obj_pews             Ülések a hívők számára a legkeményebb fából, kárpit nélkül.
buildtoolbar_popup_obj_prayermat        Óvd meg a rabokat a föld mocskától, miközben imádkoznak!
buildtoolbar_popup_obj_guardtower       Torony, ahonnan mesterlövészeid (külön-külön felvéve) szemmel tarthatják a börtönödet.

buildtoolbar_popup_staff_guard			Ellenőrzi a rabokat és távol tarja őket a bajtól.
buildtoolbar_popup_staff_armedguard     Az őrizetesek kétszer is meggondolják majd, hogy rátámadjanak a puskás emberre. \n\nMegjegyzés: Minden fegyveres őrnek külön szekrény kell a fegyvertárban.
buildtoolbar_popup_staff_doctor			Automatikusan meggyógyít minden sérültet a közelben, akár őr, akár rab.
buildtoolbar_popup_staff_cook			Saját készítésű élelemmel látja el a rabokat.
buildtoolbar_popup_staff_gardener		Szépen rendben tartja a börtön gyepét.
buildtoolbar_popup_staff_janitor		Rendben tartja a börtön belsejét és segíthet a mosoda működtetésében is.

buildtoolbar_popup_uts_powerstation		Áramit termel, amelyet börtönödben használhatsz.
buildtoolbar_popup_uts_capacitor		az erőmű mellé telepítve megnöveli a termelt energia mennyiségét.
buildtoolbar_popup_uts_electricalcable	Elosztja az áramot a börtönben.
