# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Journal intégral des changements
mm_updatenotes_06	Nouvelle fonction 'Recherche de tunnel' qui permet d'ordonner aux gardes de fouiller toutes les toilettes à la recherche de tunnels d'évasion.
mm_updatenotes_07	Ajout de nouvelles pièces rapides au menu de Construction rapide. La construction des pièces est maintenant plus rapide et plus facile.
mm_updatenotes_08	Possibilité de suivre les prisonniers et le personnel en double-cliquant.
mm_updatenotes_09	Vous pouvez désormais déplacer et repositionner les objets ! Choisissez un objet et double-cliquez dessus.
mm_updatenotes_10	Nous espérons que ces améliorations vous plairont ! Bon jeu à tous !



############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	Boue
material_mud	Boue
material_yutaniwall	Mur (Yutani)










material_solacofloor	Solaco
material_gratefloor	Grille

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Arbre (Conifère enneigé)


object_palmtree	Arbre (Palmier)
object_plant	Plante

object_bush	Buisson

object_streetlamp	Lampadaire

object_floodlight	Lumière (Projecteur)








object_bleachers	Gradins
object_smallbench	Banc (petit)
object_smalltable	Table (petite)
object_showerpillar	Colonne de douche


object_doorMat	Paillasson

object_GuardPavilion	Pavillon des gardes
object_GuardPavilionCorner	Pavillon des gardes (Coin)

object_OfficeChair	Chaise (bureau)




















object_visitorDoor	Porte Visiteurs
object_ironingBoardShort	Planche à repasser (petite)
object_fencegatestaff	Porte de clôture (Personnel)
object_fencegatestandard	Porte de clôture (Standard)
object_fencegatevisitor	Porte de clôture (Visiteur)












object_walllight	Lumière murale
object_securedoor	Porte (sécurisée)
object_secretdoor	Porte (secret)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	C'est de la boue, et c'est gratuit !
buildtoolbar_popup_mat_yutaniwall	Construisez des murs à l'apparence moderne sur vos fondations, pour créer de nouvelles zones ou pièces. Bien assorti avec les sols Cargo et Solaco.

buildtoolbar_popup_mat_newbblockwall	Construisez des murs de brique sur vos fondations, pour créer de nouvelles zones ou pièces.
buildtoolbar_popup_mat_newbarredwall	Construisez des murs de barres sur vos fondations, pour créer de nouvelles zones ou pièces.
buildtoolbar_popup_mat_newtiledwall	Construisez des murs de dalles sur vos fondations, pour créer de nouvelles zones ou pièces.
buildtoolbar_popup_mat_newhedgewall	Des haies de grande taille mais fragiles. Décoratives, mais pas vraiment un outil de sécurité.









buildtoolbar_popup_mat_solacofloor	Donnez à vos sols de prison un aspect haute technologie. Bien assorti avec les murs Yutani.
buildtoolbar_popup_mat_gratefloor	Donnez à vos sols de prison une apparence haute technologie.
buildtoolbar_popup_mat_newcargofloor	Donnez à vos sols de prison une apparence personnalisée.
buildtoolbar_popup_mat_newironfloor	Donnez à vos sols de prison une apparence personnalisée.
buildtoolbar_popup_mat_newcheckeredfloor	Cela aura l'air très bien dans vos cuisines ou vos cantines.
buildtoolbar_popup_mat_snow	C'est comme de l'eau, mais plus froid et plus beau.





buildtoolbar_popup_obj_snowyconifertree	Cela semblerait approprié sur un terrain enneigé.


buildtoolbar_popup_obj_palmtree	Germe normalement sur la terre ferme, mais vous pouvez maintenant décider de les cultiver où vous le souhaitez.


buildtoolbar_popup_obj_bush	Donne un peu de décoration à vos zones extérieures.

buildtoolbar_popup_obj_streetlamp	Pour éclairer les routes et les sentiers.

buildtoolbar_popup_obj_floodlight	Une grande lumière extérieure pouvant couvrir de grandes surfaces comme les cours.








buildtoolbar_popup_obj_bleachers	Des gradins classiques de cours de prison pour que les détenus puissent s'asseoir et réfléchir à leur prochain mauvais coup.
buildtoolbar_popup_obj_smallbench	Pour s'assoir.
buildtoolbar_popup_obj_smalltable	Pour manger.
buildtoolbar_popup_obj_showerpillar	Placez au milieu d'une salle de douche, puis fixez un pommeau de douche de chaque côté.


buildtoolbar_popup_obj_doorMat	Un paillasson en caoutchouc bon marché qui peut avoir l'air respectable devant les portes.


buildtoolbar_popup_obj_guardPavilion	Placez dans les cours et les zones ouvertes pour que les gardes et les gardes armés surveillent vos prisonniers.\n	Affectez des gardes via le menu Déploiement.\n- Augmentez le niveau de Suppression dans cette zone.\n -Les gardes sont abrités du mauvais temps.
buildtoolbar_popup_obj_guardPavilionCorner	Placez dans les coins des cours et les zones ouvertes pour que les gardes et les gardes armés surveillent vos prisonniers.\n	Affectez des gardes via le menu Déploiement.\n- Augmentez le niveau de Suppression dans cette zone.\n -Les gardes sont abrités du mauvais temps.

buildtoolbar_popup_obj_officeChair	Une chaise qui permet aux travailleurs de s'asseoir devant leur bureau.




















buildtoolbar_popup_obj_visitorDoor	Une porte qui permet aux visiteurs de la prison de passer sans avoir besoin d’un gardien pour l’ouvrir. Les gardes et le personnel peuvent également utiliser la porte, mais pas les prisonniers.
buildtoolbar_popup_obj_ironingBoardShort	Une planche à repasser de plus petite taille.
buildtoolbar_popup_obj_fencegatestaff	Un portail qui a l'air beau avec des clôtures, et qui fonctionne de la même façon qu'une porte.
buildtoolbar_popup_obj_fencegatestandard	Un portail qui a l'air beau avec des clôtures, et qui fonctionne de la même façon qu'une porte.
buildtoolbar_popup_obj_fencegatevisitor	Un portail qui a l'air beau avec des clôtures, et qui fonctionne de la même façon qu'une porte.












buildtoolbar_popup_obj_walllight	Une lumière de style bunker à placer sur les murs.
buildtoolbar_popup_obj_securedoor	Une porte conçue pour les cellules d'isolement, avec un passe-plat. Les gardes qui apportent la nourriture peuvent faire passer le plateau sans avoir à entrer dans la cellule.


interfacedeployment_guards	Affecter des gardes
buildtoolbar_deployment_Guards	Affecter des gardes dans divers secteurs de votre prison

interfacedeployment_Dogs	Affecter des maîtres-chiens
buildtoolbar_deployment_Dogs	Affecter des maîtres-chiens dans divers secteurs de votre prison

interfacedeployment_ArmedGuards	Affecter des gardes armés
buildtoolbar_deployment_ArmedGuards	Affecte des gardes armés aux secteurs de votre prison.

interfacedeployment_patrols	Affecter des gardes
buildtoolbar_deployment_Patrols	Affecte des gardes aux chemins de patrouille de votre prison.

interfacedeployment_dogpatrols	Affecter des maîtres-chiens
buildtoolbar_deployment_DogPatrols	Affecte des maîtres-chiens aux chemins de patrouille de votre prison.

interfacedeployment_armedpatrols	Affecter des gardes armés
buildtoolbar_deployment_ArmedPatrols	Affecte des gardes armés aux chemins de patrouille de votre prison.

buildtoolbar_popup_help_Guards_1	L'outil “Gardes” vous permet de mettre en poste vos gardes dans différentes zones. Un garde en poste se déplacera aléatoirement dans sa zone et effectuera son devoir de garde dans cette zone, comme ouvrir des portes.\n\n
buildtoolbar_popup_help_Guards_2	~Faites un clic gauche pour augmenter le nombre de maîtres-chiens déployés dans une zone. Faites un clic droit pour enlever un garde.\n\n
buildtoolbar_popup_help_Guards_3	^Astuces
buildtoolbar_popup_help_Guards_4	- Si la Microgestion est débloquée, vous aurez accès au planificateur de déploiement. Il vous permet de créer un emploi du temps de l'assignation de vos gardes à certaines zones. Par exemple, si vous souhaitez que les gardes ne soient déployés dans la Cantine que durant les repas, vous pouvez cliquer sur chaque bloc du programme qui correspond aux repas puis déplacer le curseur sur ce bloc et cliquer sur la cantine pour assigner les gardes.
buildtoolbar_popup_help_Guards_5	- Vous avez jusqu'à neuf créneaux différents pour la planification, en plus du mode par défaut toujours actif, ce qui vous permet de créer des routines de déploiement qui correspondent aux besoins de la prison.
buildtoolbar_popup_help_Guards_6	- Si vous ne sélectionnez pas manuellement un créneau lors de l'affectation des maîtres-chiens, le planificateur utilisera l'heure actuelle. Assurez-vous d'avoir sélectionné l'heure correcte lors de la modification de votre déploiement !

buildtoolbar_popup_help_Dogs_1	L'outil “Maîtres-chiens” vous permet d'affecter vos maîtres-chiens dans différentes zones. Un garde en poste se déplacera aléatoirement dans sa zone et effectuera ses tâches de garde dans cette zone, comme ouvrir des portes.\n\n
buildtoolbar_popup_help_Dogs_2	~Faites un clic gauche pour augmenter le nombre de maîtres-chiens déployés dans une zone. Faites un clic droit pour enlever un maître-chien.\n\n
buildtoolbar_popup_help_Dogs_3	^Astuces
buildtoolbar_popup_help_Dogs_4	- Si la Microgestion est débloquée, vous aurez accès au planificateur de déploiement. Il vous permet de créer un emploi du temps de l'assignation de vos maîtres-chiens à certaines zones. Par exemple, si vous souhaitez que les maîtres-chiens ne soient déployés dans la Cantine que durant les repas, vous pouvez cliquer sur chaque bloc du programme qui correspond aux repas puis déplacer le curseur sur ce bloc et cliquer sur la cantine pour assigner les maîtres-chiens.
buildtoolbar_popup_help_Dogs_5	- Vous avez jusqu'à neuf créneaux différents pour la planification, en plus du mode par défaut toujours actif, ce qui vous permet de créer des routines de déploiement qui correspondent aux besoins de la prison.
buildtoolbar_popup_help_Dogs_6	- Si vous ne sélectionnez pas manuellement un créneau lors de l'affectation des maîtres-chiens, le planificateur utilisera l'heure actuelle. Assurez-vous d'avoir sélectionné l'heure correcte lors de la modification de votre déploiement !

buildtoolbar_popup_help_ArmedGuards_1	L'outil “Gardes armés” vous permet d'affecter vos gardes armés dans différentes zones. Un garde en poste se déplacera aléatoirement dans sa zone et effectuera son devoir de garde dans cette zone, comme ouvrir des portes.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Faites un clic gauche pour augmenter le nombre de gardes déployés dans une zone. Faites un clic droit pour enlever un garde.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^Astuces
buildtoolbar_popup_help_ArmedGuards_4	- Si la Microgestion est débloquée, vous aurez accès au planificateur de déploiement. Il vous permet de créer un emploi du temps de l'assignation de vos gardes armés à certaines zones. Par exemple, si vous souhaitez que les gardes armés ne soient déployés dans la Cantine que durant les repas, vous pouvez cliquer sur chaque bloc du programme qui correspond aux repas puis déplacer le curseur sur ce bloc et cliquer sur la cantine pour assigner les gardes armés.
buildtoolbar_popup_help_ArmedGuards_5	- Vous avez jusqu'à neuf créneaux différents pour la planification, en plus du mode par défaut toujours actif, ce qui vous permet de créer des routines de déploiement qui correspondent aux besoins de la prison.
buildtoolbar_popup_help_ArmedGuards_6	- Si vous ne sélectionnez pas manuellement un bloc lors de l'assignation des gardes armés, le planificateur utilisera l'heure actuelle. Assurez-vous d'avoir sélectionné l'heure correcte lors de la modification de votre déploiement !

interfacedeployment_PrioritizeArea	Priorité à un secteur (*X)
buildtoolbar_deployment_PrioritizeGuard	Utilisez cette option pour que les gardes en poste couvrent en priorité des secteurs spécifiques dans votre prison. Si vous êtes à court de personnel, les gardes essaieront d'abord de couvrir vos zones prioritaires. Deux priorités sont disponibles; “Haute” (>>) et “Très Haute” (>>>).

interfacedeployment_BluePatrol	Patrouille bleue
buildtoolbar_deployment_BluePatrol	Les itinéraires de patrouille colorés peuvent se superposer et vous pouvez attribuer des gardes distincts à chaque itinéraire. Clic droit et faites glisser pour créer un itinéraire de patrouille Bleue. Faites un clic droit et faites glisser pour effacer un itinéraire de patrouille bleu. Utilisez les boutons Affecter un garde pour ajouter des gardes à un itinéraire de patrouille.

interfacedeployment_MagentaPatrol	Patrouille Magenta
buildtoolbar_deployment_MagentaPatrol	Les itinéraires de patrouille colorés peuvent se superposer et vous pouvez attribuer des gardes distincts à chaque itinéraire. Clic droit et faites glisser pour créer un itinéraire de patrouille Magenta. Faites un clic droit et faites glisser pour effacer un itinéraire de patrouille bleu. Utilisez les boutons Affecter un garde pour ajouter des gardes à un itinéraire de patrouille.

interfacedeployment_PrioritizePatrol	Priorité à la patrouille
buildtoolbar_deployment_PrioritizePatrol	Utilisez cette option pour que les gardes en poste effectuent en priorité des patrouilles spécifiques dans votre prison. Si vous êtes à court de personnel, les gardes essaieront d'abord de couvrir vos zones prioritaires. Deux priorités sont disponibles; “Haute” (>>) et “Très Haute” (>>>).

buildtoolbar_popup_filter_title	Filtrer la liste
buiildtoolbar_popup_filter_toggle	Cliquez sur le bouton pour activer
buildtoolbar_popup_filter_default	Par défaut
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	Possédé
buildtoolbar_popup_filter_costhighlow	Coût (Haut-Bas)
buildtoolbar_popup_filter_costlowhigh	Coût (Bas-Haut)
buildtoolbar_popup_filter_indooroutdoor	Intérieur - Extérieur
buildtoolbar_popup_filter_outdoorindoor	Extérieur - Intérieur
buildtoolbar_popup_filter_quantity	Quantité possédée
buildtoolbar_popup_filter_byroom	Par pièce






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	Double clic : Déplacer les objets

double_click_add_door	Double clic gauche pour ajouter des portes.

codex_option_bureaucracyresearched	Bureaucratie disponible
codex_tooltip_bureaucracyresearched	Commencez une nouvelle partie avec votre arbre de Bureaucratie entièrement ouvert.

codex_option_jungle	Terrain Jungle
codex_tooltip_jungle	Génère un terrain de départ qui ressemble à une jungle dense.

codex_option_snowy	Terrain Neige
codex_tooltip_snowy	Génère un terrain de départ qui est recouvert de neige.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Lave

action_Stretching	S'exerce
action_PlayChess	Joue aux échecs


plant_tree_location	Planter un arbre à *X

report_intake_cat_SuperMax	Très haute sécurité

interface_undo	annuler

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	Échec de la sauvegarde de la prison.
codex_changelog_next	Suivant >
codex_changelog_prev	< Précédent
codex_credits	Crédits

codex_options_screenshotmode	Mode Capture d'écran
codex_tooltip_screenshotmode	En mode Capture d'écran, maintenez la touche [*K] enfoncée et appuyez sur [*E] pour activer ou désactiver TOUTES les UI et HUD.
codex_sso_content_message	Merci d'avoir ouvert un compte Paradox. \n\nEn remerciement, de nouvelles tours Pavillon des gardes sont désormais débloquées dans le jeu ! Retrouvez-les dans le menu Objets.
codex_options_borderless_windowed	Sans bordures
codex_options_monitor	Moniteur


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Mode d'affichage
codex_options_borderless_fullscreen	Plein écran sans bordures
codex_options_display_monitor	Moniteur d'affichage
codex_options_windowed_resolution	Résolution fenêtrée

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Mur (Art Déco)
material_blueWall	Mur Chic (rayures bleues)
material_burgundyWall	Mur Chic (Bordeaux)
material_greenWall	Mur Chic (Vert)
material_orientalWall	Mur (Oriental)
material_cushionedwall	Mur (Matelassé)

material_sandstone	Grès
material_limestonefloor	Calcaire
material_blueCarpet	Moquette (Bleue)
material_redCarpet	Moquette (Rouge)
material_brownCarpet	Moquette (Brune)
material_paddedfloor	Matelassé
material_grassstones	Herbe et cailloux
material_grasscornerfloor	Coin d'herbe
material_grasscornerfloor1	Coin d'herbe
material_grasscornerfloor2	Coin d'herbe
material_grasscornerfloor3	Coin d'herbe
material_lunarfloor	Lunaire

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Arbre (Effrayant)
object_cactustree	Arbre (Cactus)
object_sakuratree	Arbre (Sakura)
object_plantcactus	Plante (Cactus)
object_tyrestack	Pile de pneus
object_lamp	Lumière (Lampe)
object_bathroomSink	Évier pour toilettes
object_bathroomHandDryer	Séchoir à mains
object_chestOfDrawers	Coffre à tiroirs
object_woodenStool	Tabouret en bois
object_woodenTable	Table en bois
object_bucket	Seau
object_shortbookcase	Bibliothèque (petite)
object_outdoorTable	Table extérieure
object_mooseHead	Tête de caribou
object_toiletSign	Panneau (Toilettes)
object_rightArrowSign	Panneau (Flèche droite)
object_leftArrowSign	Panneau (Flèche gauche)
object_infirmarySign	Panneau (Infirmerie)
object_canteenSign	Panneau (Cantine)
object_showerSign	Panneau (Douches)
object_armourySign	Panneau (Armurerie)
object_jaildoorred	Porte de prison (rouges)
object_jaildoorgrey	Porte de prison (grises)
object_jaildoororange	Porte de prison (orange)
object_jaildoorYellow	Porte de prison (jaunes)
object_jaildoorlargered	Grande porte de prison (rouges)
object_jaildoorlargegrey	Grande porte de prison (grises)
object_jaildoorlargeorange	Grande porte de prison (orange)
object_jaildoorlargeyellow	Grande porte de prison (jaunes)
object_coatstand	Porte-manteau
object_dogbowl	Écuelle pour chien
object_footbridge	Passerelle
object_footbridgesteel	Passerelle en acier
object_footbridgeb	Passerelle B
object_footbridgesteelb	Passerelle en acier B
object_windowclassy	Fenêtre chic
object_windowclassyLarge	Fenêtre chic (Grande)
object_gravestone	Pierre tombale
object_psychiatrist	Psychiatre
object_orderly	Aide-soignant
object_rorschachTest	Test de Rorschach
object_anatomyModel	Mannequin d'anatomie
object_flipboard	Tableau basculant
object_medicineCabinetPsych	Classeur médical
object_leatherchair	Fauteuil en cuir
object_leatherSofa	Canapé en cuir
object_parkbench	Banc (Parc)
object_fencegateguard	Porte de clôture (Gardée)
object_oaktable	Table (Chêne)
object_oakbench	Banc (Chêne)
object_BoomBoxRoundHouse	Radiocassette

object_classic	Classique
object_dalmation	Dalmatien
object_husky	Husky
object_companion	Compagnon
object_cat	Chat
object_direwoof	Chien-Loup

equipment_fountainPen	Stylo-plume
equipment_goldPocketWatch	Montre-gousset en or
equipment_sedativeShot	Injection de Sédatif (Seringue)
equipment_sedativesyringe	Sédatif (Seringue)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Construisez des murs Art Déco pour donner un style architectural des années 20 à la prison.
buildtoolbar_popup_mat_blueWall	Construisez des murs chics au-dessus des fondations pour créer de nouvelles zones ou pièces pour le personnel.
buildtoolbar_popup_mat_burgundywall	Construisez des murs chics au-dessus des fondations pour créer de nouvelles zones ou pièces pour le personnel.
buildtoolbar_popup_mat_greenwall	Construisez des murs chics au-dessus des fondations pour créer de nouvelles zones ou pièces pour le personnel.
buildtoolbar_popup_mat_orientalwall	Construisez des murs de style Oriental pour donner une apparence Japon médiéval à la prison.
buildtoolbar_popup_mat_cushionedwall	Construisez des sections de murs sur vos fondations, pour créer de nouvelles zones ou pièces ayant une apparence cossue.
buildtoolbar_popup_mat_sandstone	Posez des dalles de grès sur les zones extérieures.
buildtoolbar_popup_mat_limestonefloor	Ce sol a une couleur délavée de citrons verts.
buildtoolbar_popup_mat_blueCarpet	Pose d'une moquette confortable. Idéale pour les zones réservées au personnel.
buildtoolbar_popup_mat_redCarpet	Pose d'une moquette confortable. Idéale pour les zones réservées au personnel.
buildtoolbar_popup_mat_brownCarpet	Pose d'une moquette confortable. Idéale pour les zones réservées au personnel.
buildtoolbar_popup_mat_paddedfloor	Assorti aux murs matelassés pour créer une cellule matelassée destinée aux criminels aliénés.
buildtoolbar_popup_mat_grassstones	Une zone herbeuse avec des dalles de pierre.
buildtoolbar_popup_mat_grassscornerfloor	Un angle avec de l'herbe et de la terre. Utile pour des chemins inclinés.
buildtoolbar_popup_mat_lunarfloor	Une surface rocheuse dure, avec une apparence interstellaire.
buildtoolbar_popup_obj_spookytree	Un vieil arbre à l'apparence étrange.
buildtoolbar_popup_obj_cactustree	Aurait l'air plus naturel sur un sol sec.
buildtoolbar_popup_obj_sakuratree	Un beau cerisier avec des fleurs roses.
buildtoolbar_popup_obj_plant	Une belle plante domestique
buildtoolbar_popup_obj_plantcactus	Un cactus en pot d'intérieur.
buildtoolbar_popup_obj_tyrestack	Agit comme un petit mur qui sera contourné par les détenus et le personnel.
buildtoolbar_popup_obj_lamp	Une lampe ornementale sur pied, idéale pour les bureaux ou les zones réservées au personnel.
buildtoolbar_popup_obj_bathroomSink	Élément d'hygiène indispensable dans les toilettes.
buildtoolbar_popup_obj_bathroomHandDryer	S'accommode parfaitement avec un évier pour toilettes.
buildtoolbar_popup_obj_chestOfDrawers	Un coffre en bois à tiroirs.
buildtoolbar_popup_obj_woodenStool	Bien assorti avec une table en bois.
buildtoolbar_popup_obj_woodenTable	Bien assorti avec un tabouret en bois.
buildtoolbar_popup_obj_bucket	Un simple seau
buildtoolbar_popup_obj_shortbookcase	Une petite étagère pour poser des livres.
buildtoolbar_popup_obj_outdoorTable	Pour que les détenus puissent s'asseoir et manger dehors.
buildtoolbar_popup_obj_mooseHead	Une belle tête de caribou posée sur une plaque.
buildtoolbar_popup_obj_toiletSign	Un panneau mural avec un symbole Toilettes.
buildtoolbar_popup_obj_rightArrowSign	Un panneau mural avec une flèche indiquant la droite.
buildtoolbar_popup_obj_leftArrowSign	Un panneau mural avec une flèche indiquant la gauche.
buildtoolbar_popup_obj_infirmarySign	Un panneau mural avec un symbole Infirmerie.
buildtoolbar_popup_obj_canteenSign	Un panneau mural avec un symbole Cantine.
buildtoolbar_popup_obj_showerSign	Un panneau mural avec un symbole Douches.
buildtoolbar_popup_obj_armourySign	Un panneau mural avec un symbole Armurerie.
buildtoolbar_popup_obj_jaildoorred	Une porte de prison colorée pour vous aider à distinguer vos blocs de cellules de sécurité maximum.
buildtoolbar_popup_obj_jaildoorgrey	Une porte de prison colorée pour vous aider à distinguer vos blocs de cellules de basse sécurité.
buildtoolbar_popup_obj_jaildoororange	Une porte de prison colorée pour vous aider à distinguer vos blocs de cellules de sécurité moyenne.
buildtoolbar_popup_obj_jaildooryellow	Une porte de prison colorée pour vous aider à distinguer vos blocs de cellules de Surveillance préventive.
buildtoolbar_popup_obj_jaildoorlargered	Une grande porte de prison colorée pour vous aider à distinguer vos blocs de cellules de sécurité maximum.
buildtoolbar_popup_obj_jaildoorlargegrey	Une grande porte de prison colorée pour vous aider à distinguer vos blocs de cellules de basse sécurité.
buildtoolbar_popup_obj_jaildoorlargeorange	Une grande porte de prison colorée pour vous aider à distinguer vos blocs de cellules de sécurité moyenne.
buildtoolbar_popup_obj_jaildoorlargeYellow	Une grande porte de prison colorée pour vous aider à distinguer vos blocs de cellules de Surveillance préventive.
buildtoolbar_popup_obj_coatstand	Un support pour les manteaux et les chapeaux du personnel.
buildtoolbar_popup_obj_dogbowl	De la nourriture et de l'eau pour les chiens de garde épuisés.\nAugmente légèrement l'énergie d'un chien.
buildtoolbar_popup_obj_secretdoor	Une porte secrète camouflée en bibliothèque, qui peut glisser pour laisser passer le personnel.
buildtoolbar_popup_obj_parkbench	Un banc pour parc.
buildtoolbar_popup_obj_fencegateguard	Un portail qui va bien avec une clôture, que seuls les gardes peuvent ouvrir.
buildtoolbar_popup_obj_oaktable	Pour prendre des repas.
buildtoolbar_popup_obj_oakbench	Pour s'asseoir. Bien assorti avec la table en chêne.

buildtoolbar_popup_obj_classic	Le chien de garde vétéran. Vieux mais expérimenté.
buildtoolbar_popup_obj_dalmation	Il vivait dans une ferme, mais il travaille maintenant dans la prévention des évasions.
buildtoolbar_popup_obj_husky	Un piège mortel pour un fugitif qui progresse dans la neige.
buildtoolbar_popup_obj_companion	Le meilleur ami d'un garde.
buildtoolbar_popup_obj_cat	Tout le monde n'aime pas les chiens.
buildtoolbar_popup_obj_direwoof	Qui oserait s'échapper ?

buildtoolbar_popup_filter_mostused	Le plus utilisé
buildtoolbar_caters_safety	Répond au besoin de sécurité.

interfacedeployment_orderly	Affecter des aides-soignants
buildtoolbar_deployment_orderly	Affecte des aides-soignants aux secteurs de votre prison.

interfacedeployment_orderlypatrols	Affecter des aides-soignants
buildtoolbar_deployment_orderlypatrols	Affecte des aides-soignants aux chemins de patrouille de votre prison.

room_PaddedCell	Cellule matelassée
room_PaddedHoldingCell	Cellule d'attente matelassée
room_PsychiatristOffice	Bureau de psychiatre

interfaceplanning_BuildPlan	Concevoir des plans
interfaceplanning_ClearPlan	Effacer les plans
interfaceplanning_Door	Portes

buildtoolbar_improvement	- Améliore le grade pour *R
buildtoolbar_improvement_windows	(quand orientée vers l'extérieur)

buildplan_title	Choix du type de mur
buildplan_message	Voulez-vous vraiment construire selon votre plan ?\n	Cette action ne peut pas être annulée.\n\n	Tous les murs prévus seront construits avec le même type de plan.\n	Le choix du type de mur peut être changé ci-dessous.
clearplan_title	Effacer les plans
clearplan_message	Voulez-vous vraiment effacer tous vos plans ?\n \n	Cette action ne peut pas être annulée.

d11_custom_planning	Planification personnalisée

buildtoolbar_popup_planning	Planifiez votre prison sans craindre que les travailleurs fassent quoi que ce soit, jusqu'à ce que vous soyez prêt. Le menu de planification vous permet de choisir de construire toutes les structures et portes, d'effacer des sections de vos plans ou d'effacer l'intégralité du plan et de recommencer.

buildtoolbar_popup_help_planningDoor_1	Le type de porte choisi sera utilisé quand vous placerez une porte sur votre plan.
buildtoolbar_popup_help_quickBuildWall_1	Le type de mur choisi sera utilisé dans votre prochaine construction rapide/s


buildtoolbar_popup_mat_blueclassywall	Construisez des murs chics au-dessus des fondations pour créer de nouvelles zones ou pièces pour le personnel.
buildtoolbar_popup_mat_burgundyclassywall	Construisez des murs chics au-dessus des fondations pour créer de nouvelles zones ou pièces pour le personnel.
buildtoolbar_popup_mat_greenclassywall	Construisez des murs chics au-dessus des fondations pour créer de nouvelles zones ou pièces pour le personnel.

